rank,cx,cy,score,bucket,matched_ann_id,matched_category,z_score,file_name,tumor_type
1,462.0,4110.0,3.4281008,human_rejected_label,255,2,26.781221,013.tiff,human breast cancer
2,5023.0,4564.0,3.2420797,human_correct_label,259,1,25.330006,013.tiff,human breast cancer
3,7032.0,4610.0,2.9046612,non_human_findings,-1,0,22.697687,013.tiff,human breast cancer
4,6668.0,4971.0,2.8616269,non_human_findings,-1,0,22.361961,013.tiff,human breast cancer
5,2546.0,160.0,2.8166466,human_correct_label,240,1,22.011055,013.tiff,human breast cancer
6,3738.0,5363.0,2.7831388,human_correct_label,263,1,21.749647,013.tiff,human breast cancer
7,6700.0,5392.0,2.7038383,non_human_findings,-1,0,21.130999,013.tiff,human breast cancer
8,5263.0,3977.0,2.6782,human_correct_label,260,1,20.930984,013.tiff,human breast cancer
9,5585.0,5240.0,2.6047425,human_rejected_label,266,2,20.357916,013.tiff,human breast cancer
10,2049.0,3809.0,2.592235,non_human_findings,-1,0,20.260342,013.tiff,human breast cancer
11,2546.0,4959.0,2.526777,non_human_findings,-1,0,19.749681,013.tiff,human breast cancer
12,4910.0,1084.0,2.5180082,non_human_findings,-1,0,19.681273,013.tiff,human breast cancer
13,172.0,668.0,2.4846323,human_rejected_label,269,2,19.420895,013.tiff,human breast cancer
14,1844.0,187.0,2.4364738,non_human_findings,-1,0,19.045195,013.tiff,human breast cancer
15,6021.0,4873.0,2.434435,non_human_findings,-1,0,19.029287,013.tiff,human breast cancer
16,4050.0,3811.0,2.4162998,non_human_findings,-1,0,18.88781,013.tiff,human breast cancer
17,5259.0,1970.0,2.413961,human_correct_label,246,1,18.869562,013.tiff,human breast cancer
18,6597.0,4851.0,2.3960152,non_human_findings,-1,0,18.72956,013.tiff,human breast cancer
19,454.0,5388.0,2.370944,non_human_findings,-1,0,18.533974,013.tiff,human breast cancer
20,6743.0,4262.0,2.3460743,non_human_findings,-1,0,18.339956,013.tiff,human breast cancer
1,4103.0,956.0,1.194488,human_rejected_label,2508,2,23.702349,094.tiff,human breast cancer
2,3999.0,1726.0,1.0931032,human_correct_label,2532,1,21.696,094.tiff,human breast cancer
3,5019.0,5024.0,1.0579967,human_correct_label,2643,1,21.001263,094.tiff,human breast cancer
4,4381.0,3117.0,1.0405443,human_rejected_label,2571,2,20.655888,094.tiff,human breast cancer
5,507.0,737.0,1.0305508,human_correct_label,2487,1,20.458124,094.tiff,human breast cancer
6,6140.0,4591.0,1.0091717,non_human_findings,-1,0,20.035044,094.tiff,human breast cancer
7,6297.0,1822.0,0.9794652,human_rejected_label,2545,2,19.447168,094.tiff,human breast cancer
8,3867.0,4397.0,0.97256947,human_correct_label,2619,1,19.310707,094.tiff,human breast cancer
9,4766.0,4389.0,0.9523247,human_correct_label,2622,1,18.910074,094.tiff,human breast cancer
10,4263.0,1740.0,0.9412919,human_rejected_label,2533,2,18.691742,094.tiff,human breast cancer
11,5298.0,2753.0,0.9408694,human_rejected_label,2567,2,18.68338,094.tiff,human breast cancer
12,4825.0,4065.0,0.9193861,human_rejected_label,2623,2,18.258238,094.tiff,human breast cancer
13,3753.0,1315.0,0.91131634,human_rejected_label,2509,2,18.098541,094.tiff,human breast cancer
14,6281.0,1266.0,0.90951926,human_correct_label,2518,1,18.062979,094.tiff,human breast cancer
15,1057.0,410.0,0.9038492,human_rejected_label,2658,2,17.950771,094.tiff,human breast cancer
16,5187.0,5052.0,0.9037286,human_correct_label,2644,1,17.948385,094.tiff,human breast cancer
17,2625.0,126.0,0.90171033,non_human_findings,-1,0,17.908443,094.tiff,human breast cancer
18,5805.0,4211.0,0.8988067,human_correct_label,2626,1,17.850983,094.tiff,human breast cancer
19,1668.0,3723.0,0.8978206,human_correct_label,2588,1,17.831469,094.tiff,human breast cancer
20,5791.0,3475.0,0.8891663,human_correct_label,2601,1,17.660204,094.tiff,human breast cancer
1,3496.0,2610.0,4.9203467,non_human_findings,-1,0,8.082273,201.tiff,canine lung cancer
2,2657.0,2520.0,4.4734273,human_correct_label,4453,1,7.3523693,201.tiff,canine lung cancer
3,1451.0,3601.0,4.25708,non_human_findings,-1,0,6.999034,201.tiff,canine lung cancer
4,5046.0,459.0,4.2434077,human_correct_label,4441,1,6.976704,201.tiff,canine lung cancer
5,6509.0,842.0,4.187572,non_human_findings,-1,0,6.8855143,201.tiff,canine lung cancer
6,5826.0,603.0,4.109974,human_correct_label,4444,1,6.758782,201.tiff,canine lung cancer
7,1964.0,459.0,3.9343493,non_human_findings,-1,0,6.4719543,201.tiff,canine lung cancer
8,4085.0,1290.0,3.9072838,non_human_findings,-1,0,6.4277515,201.tiff,canine lung cancer
9,3323.0,2617.0,3.870178,human_rejected_label,4455,2,6.367151,201.tiff,canine lung cancer
10,1822.0,982.0,3.8531945,non_human_findings,-1,0,6.339413,201.tiff,canine lung cancer
11,6535.0,405.0,3.8068645,non_human_findings,-1,0,6.2637477,201.tiff,canine lung cancer
12,6576.0,396.0,3.747172,non_human_findings,-1,0,6.166259,201.tiff,canine lung cancer
13,2855.0,4235.0,3.7430835,human_correct_label,4476,1,6.1595817,201.tiff,canine lung cancer
14,3355.0,79.0,3.7392344,non_human_findings,-1,0,6.1532955,201.tiff,canine lung cancer
15,4151.0,2271.0,3.7374778,non_human_findings,-1,0,6.1504264,201.tiff,canine lung cancer
16,5969.0,901.0,3.7291806,non_human_findings,-1,0,6.1368756,201.tiff,canine lung cancer
17,5790.0,1685.0,3.7113113,non_human_findings,-1,0,6.107692,201.tiff,canine lung cancer
18,4041.0,2723.0,3.6905303,non_human_findings,-1,0,6.0737524,201.tiff,canine lung cancer
19,2870.0,3727.0,3.6799533,human_correct_label,4479,1,6.056478,201.tiff,canine lung cancer
20,5216.0,1052.0,3.677887,non_human_findings,-1,0,6.0531034,201.tiff,canine lung cancer
1,627.0,2725.0,1.8108662,human_correct_label,5763,1,12.719721,233.tiff,canine lung cancer
2,5308.0,3332.0,1.7240072,non_human_findings,-1,0,12.114902,233.tiff,canine lung cancer
3,4306.0,2668.0,1.6877575,human_correct_label,5766,1,11.862487,233.tiff,canine lung cancer
4,1528.0,2658.0,1.6042951,human_correct_label,5764,1,11.281319,233.tiff,canine lung cancer
5,6490.0,440.0,1.5696094,human_rejected_label,5782,2,11.039794,233.tiff,canine lung cancer
6,5596.0,1407.0,1.567454,non_human_findings,-1,0,11.024786,233.tiff,canine lung cancer
7,4098.0,3776.0,1.5418833,human_rejected_label,5773,2,10.846731,233.tiff,canine lung cancer
8,1459.0,946.0,1.540197,non_human_findings,-1,0,10.83499,233.tiff,canine lung cancer
9,4716.0,420.0,1.536695,non_human_findings,-1,0,10.810604,233.tiff,canine lung cancer
10,6289.0,2526.0,1.53589,human_correct_label,5767,1,10.804998,233.tiff,canine lung cancer
11,188.0,2767.0,1.5276394,non_human_findings,-1,0,10.747547,233.tiff,canine lung cancer
12,660.0,2787.0,1.5272903,non_human_findings,-1,0,10.745117,233.tiff,canine lung cancer
13,5968.0,4572.0,1.4903764,non_human_findings,-1,0,10.488076,233.tiff,canine lung cancer
14,5658.0,1577.0,1.4899341,human_correct_label,5759,1,10.484997,233.tiff,canine lung cancer
15,5424.0,1142.0,1.4875231,human_rejected_label,5758,2,10.468208,233.tiff,canine lung cancer
16,5075.0,3688.0,1.4826925,non_human_findings,-1,0,10.434572,233.tiff,canine lung cancer
17,3904.0,1402.0,1.4810086,human_correct_label,5757,1,10.422847,233.tiff,canine lung cancer
18,5996.0,2856.0,1.4733459,non_human_findings,-1,0,10.36949,233.tiff,canine lung cancer
19,863.0,4050.0,1.4636134,human_correct_label,5768,1,10.30172,233.tiff,canine lung cancer
20,2973.0,4322.0,1.4567132,non_human_findings,-1,0,10.253673,233.tiff,canine lung cancer
1,1269.0,1083.0,1.3760506,non_human_findings,-1,0,6.457617,245.tiff,canine lymphosarcoma
2,4427.0,3330.0,1.3140761,non_human_findings,-1,0,6.1681476,245.tiff,canine lymphosarcoma
3,3566.0,4041.0,1.277551,non_human_findings,-1,0,5.997547,245.tiff,canine lymphosarcoma
4,1949.0,3078.0,1.2743491,human_correct_label,6334,1,5.9825916,245.tiff,canine lymphosarcoma
5,3992.0,1081.0,1.2421441,non_human_findings,-1,0,5.832169,245.tiff,canine lymphosarcoma
6,4865.0,2442.0,1.1942366,non_human_findings,-1,0,5.608404,245.tiff,canine lymphosarcoma
7,6403.0,4601.0,1.1821456,non_human_findings,-1,0,5.5519295,245.tiff,canine lymphosarcoma
8,3121.0,4092.0,1.1594945,non_human_findings,-1,0,5.446131,245.tiff,canine lymphosarcoma
9,1646.0,3975.0,1.153555,non_human_findings,-1,0,5.4183893,245.tiff,canine lymphosarcoma
10,1396.0,3384.0,1.124084,non_human_findings,-1,0,5.2807364,245.tiff,canine lymphosarcoma
11,1707.0,1883.0,1.1220654,human_rejected_label,6305,2,5.2713084,245.tiff,canine lymphosarcoma
12,2894.0,4052.0,1.1181649,non_human_findings,-1,0,5.25309,245.tiff,canine lymphosarcoma
