file_name,method,seed_ann_id,channel,mpp,match_radius_px,n_gt_mitotic_eval,recall_at_k,roi_area_mm2,sens@1fp_mm2,sens@2fp_mm2,sens@4fp_mm2,sens@8fp_mm2,sens@16fp_mm2,sens@32fp_mm2,sens@64fp_mm2,k,topk_tp,topk_fp_lookalike,topk_fp_unannotated,n_lookalike_gt,lookalike_attraction_at_k,n_mitotic_gt,mitotic_recall_at_k,lookalike_attraction,mitotic_recall,n_detections_total,n_unanimous,recall_unanimous_at_k,n_contested,recall_contested_at_k,recall_unanimous,recall_contested,all_n_detections,all_tp,all_fp_lookalike,all_fp_unannotated,all_matched_any_gt,all_matched_frac,all_precision_mitotic,all_mitotic_gt_found,all_mitotic_gt_missed,all_lookalike_gt_found,all_lookalike_gt_missed,coverage_frac,nms_radius,n_augmentations,t_match_s,n_peaks,max_peak_score,n_after_nms,n_self_hits,seed_self_score,n_detections,max_detection_score,t_postprocess_s,t_total_s,tissue_fraction,tumor_type,mitotic_recall_at_matcher_budget,matcher_budget,budget_delivered
301.tiff,find_and_suppress,14981,gray_inverted,0.2533,29.6,217,0.0967741935483871,2.0,0.0,0.0,0.0,0.013824884792626729,0.018433179723502304,0.027649769585253458,0.059907834101382486,217,21,5,191,109,0.045871559633027525,217,0.0967741935483871,0.9357798165137615,0.9953917050691244,16681,163,0.10429447852760736,54,0.07407407407407407,0.9938650306748467,1.0,16681,216,102,16363,318,0.019063605299441337,0.01294886397697902,216,1,102,7,0.9452,29.61,24.0,25.56,35333.0,0.9999995827674866,16682.0,1.0,0.9999995827674866,16681.0,0.7150103449821472,0.4,26.0,0.9967,canine cutaneous mast cell tumor,,,
301.tiff,nucleus_blobs,-1,hematoxylin,0.2533,29.6,217,0.5990783410138248,2.0,0.009216589861751152,0.09216589861751152,0.1935483870967742,0.2488479262672811,0.4055299539170507,0.5207373271889401,0.6451612903225806,217,130,32,55,109,0.29357798165137616,217,0.5990783410138248,0.981651376146789,1.0,20370,163,0.6441717791411042,54,0.46296296296296297,1.0,1.0,20370,217,107,20046,324,0.015905743740794506,0.01065292096219879,217,0,107,2,0.9359,,,,,,,,,,,,,0.9967,canine cutaneous mast cell tumor,1.0,16681.0,16681.0
301.tiff,random_in_tissue,-1,-,0.2533,29.6,217,0.018433179723502304,2.0,0.004608294930875576,0.004608294930875576,0.004608294930875576,0.004608294930875576,0.004608294930875576,0.004608294930875576,0.004608294930875576,217,4,1,212,109,0.009174311926605505,217,0.018433179723502304,0.7247706422018348,0.8018433179723502,16681,163,0.024539877300613498,54,0.0,0.803680981595092,0.7962962962962963,16681,174,79,16428,253,0.015166956417480056,0.010431029314788655,174,43,79,30,0.7712,,,,,,,,,,,,,0.9967,canine cutaneous mast cell tumor,,,
201.tiff,find_and_suppress,4457,gray_inverted,0.2482,30.2,17,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,0,17,49,0.0,17,0.0,0.9387755102040817,0.9411764705882353,15349,6,0.0,11,0.0,0.8333333333333334,1.0,15349,16,46,15287,62,0.004039351097791124,0.0010424131865267416,16,1,46,3,0.9272,30.22,24.0,27.63,32232.0,0.9999996423721313,15350.0,1.0,0.9999996423721313,15349.0,0.7275720834732056,0.39,28.1,0.9287,canine lung cancer,,,
201.tiff,nucleus_blobs,-1,hematoxylin,0.2482,30.2,17,0.23529411764705882,2.0,0.0,0.058823529411764705,0.11764705882352941,0.35294117647058826,0.4117647058823529,0.5294117647058824,0.5882352941176471,17,4,3,10,49,0.061224489795918366,17,0.23529411764705882,0.7551020408163265,0.8823529411764706,12446,6,0.3333333333333333,11,0.18181818181818182,0.8333333333333334,0.9090909090909091,12446,15,37,12394,52,0.00417804917242454,0.0012052064920455403,15,2,37,12,0.7577,,,,,,,,,,,,,0.9287,canine lung cancer,0.8823529411764706,15349.0,12446.0
201.tiff,random_in_tissue,-1,-,0.2482,30.2,17,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,0,17,49,0.0,17,0.0,0.6326530612244898,0.5882352941176471,15349,6,0.0,11,0.0,0.6666666666666666,0.5454545454545454,15349,10,31,15308,41,0.002671183790474775,0.0006515082415792135,10,7,31,18,0.7355,,,,,,,,,,,,,0.9287,canine lung cancer,,,
246.tiff,find_and_suppress,6554,gray_inverted,0.2482,30.2,115,0.043478260869565216,2.0,0.0,0.0,0.0,0.0,0.008695652173913044,0.017391304347826087,0.06086956521739131,115,5,1,109,123,0.008130081300813009,115,0.043478260869565216,0.967479674796748,0.991304347826087,17443,99,0.030303030303030304,16,0.125,1.0,0.9375,17443,114,119,17210,233,0.01335779395746068,0.0065355730092296884,114,1,119,4,0.9483,30.22,24.0,26.58,50260.0,0.9999991655349731,17444.0,1.0,0.9999991655349731,17443.0,0.6126619577407837,0.43,27.1,0.9996,canine lymphosarcoma,,,
246.tiff,nucleus_blobs,-1,hematoxylin,0.2482,30.2,115,0.33043478260869563,2.0,0.008695652173913044,0.02608695652173913,0.034782608695652174,0.12173913043478261,0.20869565217391303,0.2956521739130435,0.4434782608695652,115,38,16,61,123,0.13008130081300814,115,0.33043478260869563,1.0,0.9652173913043478,21059,99,0.36363636363636365,16,0.125,0.9696969696969697,0.9375,21059,111,123,20825,234,0.011111638729283864,0.0052709055510705505,111,4,123,0,0.9166,,,,,,,,,,,,,0.9996,canine lymphosarcoma,0.9565217391304348,17443.0,17443.0
246.tiff,random_in_tissue,-1,-,0.2482,30.2,115,0.008695652173913044,2.0,0.0,0.0,0.0,0.0,0.0,0.008695652173913044,0.017391304347826087,115,1,1,113,123,0.008130081300813009,115,0.008695652173913044,0.7804878048780488,0.8608695652173913,17443,99,0.010101010101010102,16,0.0,0.8383838383838383,1.0,17443,99,96,17248,195,0.011179269621050784,0.005675629192225783,99,16,96,27,0.7792,,,,,,,,,,,,,0.9996,canine lymphosarcoma,,,
405.tiff,find_and_suppress,20563,gray_inverted,0.2482,30.2,13,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,13,19,0.0,13,0.0,1.0,1.0,13658,9,0.0,4,0.0,1.0,1.0,13658,13,19,13626,32,0.002342949187289329,0.0009518231073362899,13,0,19,0,0.8764,30.22,24.0,26.12,32087.0,0.999999463558197,13659.0,1.0,0.999999463558197,13658.0,0.8915238380432129,0.34,26.5,0.7831,canine soft tissue sarcoma,,,
