file_name,tumor_type,variant,match_radius_px,n_peaks_pre_nms,n_after_nms,K,recall_at_k,topk_tp,all_tp,mitotic_recall,sens@8fp_mm2,sens@64fp_mm2,coverage_frac,median_survivor_score_deficit,frac_survivors_not_local_max,median_displacement_px,p90_displacement_px,mean_survivor_score
301.tiff,canine cutaneous mast cell tumor,score,29.6,16236,13353,217,0.3041,66,206,0.9493,0.1198,0.2673,0.8357,0.0,0.0145,26.24,29.05,0.6363
301.tiff,canine cutaneous mast cell tumor,x_then_rank_by_score,29.6,16236,13415,217,0.3226,70,205,0.9447,0.1198,0.2995,0.8384,0.0,0.1205,26.91,29.12,0.6278
201.tiff,canine lung cancer,score,30.2,129,127,17,0.1176,2,3,0.1765,0.1176,0.1765,0.0111,0.0,0.0,0.0,0.0,0.5261
201.tiff,canine lung cancer,x_then_rank_by_score,30.2,129,127,17,0.1176,2,3,0.1765,0.1176,0.1765,0.0111,0.0,0.0079,10.77,10.77,0.5261
246.tiff,canine lymphosarcoma,score,30.2,6,5,115,0.0174,2,2,0.0174,0.0174,0.0174,0.0005,0.0,0.0,0.0,0.0,0.5349
246.tiff,canine lymphosarcoma,x_then_rank_by_score,30.2,6,5,115,0.0174,2,2,0.0174,0.0174,0.0174,0.0005,0.0,0.0,0.0,0.0,0.5349
405.tiff,canine soft tissue sarcoma,score,30.2,4669,4479,13,0.0,0,13,1.0,0.0,0.3077,0.3723,0.0,0.0004,22.1,26.15,0.5893
405.tiff,canine soft tissue sarcoma,x_then_rank_by_score,30.2,4669,4480,13,0.0,0,13,1.0,0.0,0.3077,0.3724,0.0,0.0221,20.0,27.89,0.5884
002.tiff,human breast cancer,score,33.1,4030,3621,8,0.25,2,7,0.875,0.25,0.25,0.2893,0.0,0.0039,26.69,31.96,0.5782
002.tiff,human breast cancer,x_then_rank_by_score,33.1,4030,3624,8,0.25,2,7,0.875,0.25,0.25,0.2894,0.0,0.0513,27.16,32.28,0.5759
506.tiff,human melanoma,score,33.0,2159,2067,11,0.0909,1,5,0.4545,0.0909,0.0909,0.1683,0.0,0.0005,22.56,22.56,0.5537
506.tiff,human melanoma,x_then_rank_by_score,33.0,2159,2067,11,0.0909,1,5,0.4545,0.0909,0.0909,0.1684,0.0,0.0203,18.61,30.58,0.5532
350.tiff,human neuroendocrine tumor,score,33.0,2009,1940,3,0.0,0,1,0.3333,0.0,0.0,0.1605,0.0,0.0015,29.27,31.77,0.5541
350.tiff,human neuroendocrine tumor,x_then_rank_by_score,33.0,2009,1939,3,0.0,0,1,0.3333,0.0,0.0,0.1605,0.0,0.0155,26.77,31.6,0.5534
