file_name,method,seed_ann_id,channel,mpp,tightened_base_size,bbox_method,bbox_center_tolerance,tighten_bbox,seed_agreement_flagged,seed_n_agreement_pool,seed_n_after_border,seed_n_after_foreground,match_radius_px,n_gt_mitotic_eval,recall_at_k,roi_area_mm2,sens@1fp_mm2,sens@2fp_mm2,sens@4fp_mm2,sens@8fp_mm2,sens@16fp_mm2,sens@32fp_mm2,sens@64fp_mm2,k,topk_tp,topk_fp_lookalike,topk_fp_unannotated,n_lookalike_gt,lookalike_attraction_at_k,n_mitotic_gt,mitotic_recall_at_k,lookalike_attraction,mitotic_recall,n_detections_total,n_unanimous,recall_unanimous_at_k,n_contested,recall_contested_at_k,recall_unanimous,recall_contested,all_n_detections,all_tp,all_fp_lookalike,all_fp_unannotated,all_matched_any_gt,all_matched_frac,all_precision_mitotic,all_mitotic_gt_found,all_mitotic_gt_missed,all_lookalike_gt_found,all_lookalike_gt_missed,coverage_frac,nms_radius,n_augmentations,t_match_s,n_peaks,max_peak_score,n_after_nms,n_self_hits,seed_self_score,n_detections,max_detection_score,t_postprocess_s,t_total_s,tissue_fraction,tumor_type,mitotic_recall_at_matcher_budget,matcher_budget,budget_delivered
301.tiff,find_and_suppress,14969,rgb,0.2533,51.0,binary,0.0,False,False,164.0,162.0,162.0,29.6,217,0.018433179723502304,2.0,0.0,0.004608294930875576,0.004608294930875576,0.004608294930875576,0.004608294930875576,0.004608294930875576,0.004608294930875576,217,4,6,207,109,0.05504587155963303,217,0.018433179723502304,0.13761467889908258,0.1152073732718894,944,163,0.018404907975460124,54,0.018518518518518517,0.12269938650306748,0.09259259259259259,944,25,15,904,40,0.04237288135588732,0.026483050847429572,25,192,15,94,0.0812,29.61,1.0,4.02,958.0,0.9999988079071045,945.0,1.0,0.9999988079071045,944.0,0.6989133954048157,0.27,4.3,0.9967,canine cutaneous mast cell tumor,,,
201.tiff,find_and_suppress,4457,rgb,0.2482,51.0,binary,0.0,False,False,7.0,7.0,7.0,30.2,17,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,1,16,49,0.02040816326530612,17,0.0,0.08163265306122448,0.17647058823529413,1053,6,0.0,11,0.0,0.16666666666666666,0.18181818181818182,1053,3,4,1046,7,0.006647673314333668,0.0028490028490001434,3,14,4,45,0.0902,30.22,1.0,6.01,1188.0,0.9999999403953552,1054.0,1.0,0.9999999403953552,1053.0,0.6822283267974854,0.41,6.4,0.9287,canine lung cancer,,,
246.tiff,find_and_suppress,6548,rgb,0.2482,51.0,binary,0.0,False,False,100.0,97.0,97.0,30.2,115,0.034782608695652174,2.0,0.02608695652173913,0.034782608695652174,0.034782608695652174,0.034782608695652174,0.034782608695652174,0.034782608695652174,0.034782608695652174,115,4,1,2,123,0.008130081300813009,115,0.034782608695652174,0.008130081300813009,0.034782608695652174,7,99,0.04040404040404041,16,0.0,0.04040404040404041,0.0,7,4,1,2,5,0.7142857141836735,0.5714285713469388,4,111,1,122,0.0006,30.22,1.0,8.72,8.0,1.0,8.0,1.0,1.0,7.0,0.5758734345436096,0.41,9.2,0.9996,canine lymphosarcoma,,,
405.tiff,find_and_suppress,20563,rgb,0.2482,51.0,binary,0.0,False,False,10.0,10.0,10.0,30.2,13,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,13,0,0,13,19,0.0,13,0.0,0.42105263157894735,0.7692307692307693,2815,9,0.0,4,0.0,0.6666666666666666,1.0,2815,10,8,2797,18,0.006394316163408031,0.003552397868560017,10,3,8,11,0.2358,30.22,1.0,6.88,3253.0,1.0,2816.0,1.0,1.0,2815.0,0.8348641395568848,0.33,7.2,0.7831,canine soft tissue sarcoma,,,
002.tiff,find_and_suppress,18,rgb,0.2269,51.0,binary,0.0,False,False,7.0,7.0,7.0,33.1,8,0.25,2.01,0.25,0.25,0.25,0.25,0.375,0.5,0.5,8,2,0,6,7,0.0,8,0.25,0.8571428571428571,0.875,1860,6,0.3333333333333333,2,0.0,1.0,0.5,1860,7,6,1847,13,0.0069892473118242,0.0037634408602130304,7,1,6,1,0.157,33.05,1.0,6.96,1879.0,0.9999992847442627,1861.0,1.0,0.9999992847442627,1860.0,0.7920355796813965,0.41,7.4,0.9488,human breast cancer,,,
506.tiff,find_and_suppress,24233,rgb,0.2274,51.0,binary,0.0,False,False,8.0,8.0,8.0,33.0,11,0.09090909090909091,2.02,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,11,1,0,10,12,0.0,11,0.09090909090909091,0.16666666666666666,0.2727272727272727,914,7,0.14285714285714285,4,0.0,0.42857142857142855,0.0,914,3,2,909,5,0.005470459518593577,0.0032822757111561464,3,8,2,10,0.0774,32.98,1.0,5.23,929.0,0.9999997019767761,915.0,1.0,0.9999997019767761,914.0,0.6880623698234558,0.25,5.5,0.9194,human melanoma,,,
350.tiff,find_and_suppress,18164,rgb,0.2274,51.0,binary,0.0,False,True,4.0,4.0,4.0,33.0,3,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,3,16,0.0,3,0.0,0.3125,0.3333333333333333,956,0,,3,0.0,,0.3333333333333333,956,1,5,950,6,0.006276150627608498,0.0010460251046014164,1,2,5,11,0.081,32.98,1.0,5.13,977.0,1.0,957.0,1.0,1.0,956.0,0.7241684198379517,0.24,5.4,0.9966,human neuroendocrine tumor,,,
301.tiff,find_and_suppress,14969,hematoxylin,0.2533,51.0,binary,0.0,False,False,164.0,162.0,162.0,29.6,217,0.018433179723502304,2.0,0.0,0.0,0.0,0.0,0.0,0.009216589861751152,0.013824884792626729,217,4,5,208,109,0.045871559633027525,217,0.018433179723502304,0.06422018348623854,0.09216589861751152,755,163,0.024539877300613498,54,0.0,0.1165644171779141,0.018518518518518517,755,20,7,728,27,0.035761589403926146,0.026490066225130476,20,197,7,102,0.0653,29.61,1.0,2.01,756.0,0.9999997615814209,756.0,1.0,0.9999997615814209,755.0,0.6799611449241638,0.31,2.3,,canine cutaneous mast cell tumor,,,
201.tiff,find_and_suppress,4457,hematoxylin,0.2482,51.0,binary,0.0,False,False,7.0,7.0,7.0,30.2,17,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,17,0,0,17,49,0.0,17,0.0,0.3469387755102041,0.47058823529411764,907,6,0.0,11,0.0,0.3333333333333333,0.5454545454545454,907,8,17,882,25,0.027563395810333447,0.008820286659306703,8,9,17,32,0.079,30.22,1.0,2.11,920.0,0.9999999403953552,908.0,1.0,0.9999999403953552,907.0,0.6655367016792297,0.33,2.5,,canine lung cancer,,,
246.tiff,find_and_suppress,6548,hematoxylin,0.2482,51.0,binary,0.0,False,False,100.0,97.0,97.0,30.2,115,0.16521739130434782,2.0,0.034782608695652174,0.06086956521739131,0.09565217391304348,0.13043478260869565,0.16521739130434782,0.16521739130434782,0.16521739130434782,115,19,7,33,123,0.056910569105691054,115,0.16521739130434782,0.056910569105691054,0.16521739130434782,59,99,0.18181818181818182,16,0.0625,0.18181818181818182,0.0625,59,19,7,33,26,0.4406779660942258,0.3220338982996266,19,96,7,116,0.0051,30.22,1.0,2.14,60.0,1.0,60.0,1.0,1.0,59.0,0.6601596474647522,0.32,2.5,,canine lymphosarcoma,,,
