file_name,variant,n_templates,n_mitotic,n_nuclei_all_blobs,n_nuclei,mitotic_base_rate_pct,seed_self_score,median_score_mitotic,median_score_lookalike,median_score_nucleus,median_score_random,p90_mitotic,p99.9_nucleus,auc_mitosis_vs_nucleus,auc_lookalike_vs_nucleus,discrimination,mean_mitosis_rank,median_mitosis_rank,K
301.tiff,rgb,1,217,20370,19829,1.065,1.0,0.3475,0.3039,0.2683,0.1435,0.4821,0.6067,0.627,0.541,0.086,7400,5351,217
301.tiff,hematoxylin,1,217,20370,19829,1.065,1.0,0.382,0.3384,0.2898,0.1436,0.4884,0.5994,0.654,0.562,0.093,6852,4406,217
301.tiff,gray_inverted,1,217,20370,19829,1.065,1.0,0.3473,0.3056,0.2741,0.147,0.4925,0.6273,0.62,0.537,0.083,7535,5820,217
201.tiff,rgb,1,17,12446,12383,0.137,1.0,0.3489,0.3586,0.2353,0.1399,0.5321,0.6402,0.712,0.774,-0.062,3566,2711,17
201.tiff,hematoxylin,1,17,12446,12383,0.137,1.0,0.4698,0.4626,0.2806,0.1448,0.5416,0.6144,0.824,0.874,-0.05,2174,913,17
201.tiff,gray_inverted,1,17,12446,12383,0.137,1.0,0.334,0.3605,0.2385,0.1455,0.5369,0.6582,0.684,0.748,-0.064,3910,3315,17
246.tiff,rgb,1,115,21059,20609,0.546,1.0,0.3354,0.2894,0.165,0.1082,0.4694,0.4297,0.861,0.821,0.04,2874,464,115
246.tiff,hematoxylin,1,115,21059,20609,0.546,1.0,0.3777,0.3519,0.1847,0.1177,0.5376,0.5024,0.858,0.811,0.046,2932,559,115
246.tiff,gray_inverted,1,115,21059,20609,0.546,1.0,0.3271,0.2851,0.1706,0.1145,0.4445,0.4481,0.843,0.809,0.034,3237,812,115
405.tiff,rgb,1,13,7577,7535,0.172,1.0,0.507,0.4426,0.3271,0.1731,0.5809,0.7841,0.722,0.671,0.051,2095,1166,13
405.tiff,hematoxylin,1,13,7577,7535,0.172,1.0,0.4453,0.4121,0.2991,0.1617,0.5503,0.7683,0.722,0.685,0.037,2097,1328,13
405.tiff,gray_inverted,1,13,7577,7535,0.172,1.0,0.5246,0.4696,0.3437,0.1836,0.6285,0.8029,0.726,0.67,0.056,2066,1214,13
002.tiff,rgb,1,8,8814,8796,0.091,1.0,0.6338,0.6253,0.3578,0.1186,0.7718,0.7199,0.923,0.878,0.045,674,200,8
002.tiff,hematoxylin,1,8,8814,8796,0.091,1.0,0.6882,0.6427,0.4136,0.086,0.788,0.8072,0.895,0.851,0.043,928,315,8
002.tiff,gray_inverted,1,8,8814,8796,0.091,1.0,0.6391,0.6367,0.3763,0.1426,0.7714,0.7309,0.914,0.87,0.044,758,217,8
506.tiff,rgb,1,11,8754,8724,0.126,1.0,0.4028,0.4288,0.3183,0.1177,0.561,0.6427,0.773,0.681,0.092,1984,2396,11
506.tiff,hematoxylin,1,11,8754,8724,0.126,1.0,0.4654,0.4743,0.3792,0.1043,0.6153,0.7138,0.748,0.66,0.088,2202,2556,11
506.tiff,gray_inverted,1,11,8754,8724,0.126,1.0,0.4094,0.4198,0.3272,0.131,0.5679,0.6615,0.744,0.668,0.076,2233,2496,11
350.tiff,rgb,1,3,8173,8157,0.037,1.0,0.4406,0.4344,0.3311,0.1138,0.4975,0.6732,0.796,0.715,0.08,1666,1390,3
350.tiff,hematoxylin,1,3,8173,8157,0.037,1.0,0.5512,0.4663,0.3977,0.1126,0.6293,0.7226,0.859,0.687,0.172,1151,823,3
350.tiff,gray_inverted,1,3,8173,8157,0.037,1.0,0.4289,0.4414,0.3353,0.1218,0.4791,0.6873,0.738,0.704,0.034,2137,1747,3
