file_name,variant,n_templates,n_mitotic,n_nuclei_all_blobs,n_nuclei,mitotic_base_rate_pct,seed_self_score,median_score_mitotic,median_score_lookalike,median_score_nucleus,median_score_random,p90_mitotic,p99.9_nucleus,auc_mitosis_vs_nucleus,auc_lookalike_vs_nucleus,discrimination,mean_mitosis_rank,median_mitosis_rank,K,channel,extraction
301.tiff,rgb_raw51,1,217,20370,19829,1.065,1.0,0.3475,0.3039,0.2683,0.1435,0.4821,0.6067,0.627,0.541,0.086,7400,5351,217,rgb,raw_51px
301.tiff,rgb_tightened41,1,217,20370,19829,1.065,1.0,0.4434,0.3881,0.3591,0.1778,0.5518,0.6431,0.644,0.565,0.079,7059,4892,217,rgb,tightened
301.tiff,hematoxylin_raw51,1,217,20370,19829,1.065,1.0,0.382,0.3384,0.2898,0.1436,0.4884,0.5994,0.654,0.562,0.093,6852,4406,217,hematoxylin,raw_51px
301.tiff,hematoxylin_tightened41,1,217,20370,19829,1.065,1.0,0.4428,0.3931,0.3714,0.1749,0.5389,0.6249,0.634,0.559,0.075,7255,5392,217,hematoxylin,tightened
301.tiff,gray_inverted_raw51,1,217,20370,19829,1.065,1.0,0.3473,0.3056,0.2741,0.147,0.4925,0.6273,0.62,0.537,0.083,7535,5820,217,gray,raw_51px
301.tiff,gray_inverted_tightened41,1,217,20370,19829,1.065,1.0,0.451,0.3964,0.3683,0.1841,0.5706,0.6634,0.64,0.562,0.078,7129,5153,217,gray,tightened
201.tiff,rgb_raw51,1,17,12446,12383,0.137,1.0,0.3489,0.3586,0.2353,0.1399,0.5321,0.6402,0.712,0.774,-0.062,3566,2711,17,rgb,raw_51px
201.tiff,rgb_tightened51,1,17,12446,12383,0.137,1.0,0.3489,0.3586,0.2353,0.1399,0.5321,0.6402,0.712,0.774,-0.062,3566,2711,17,rgb,tightened
201.tiff,hematoxylin_raw51,1,17,12446,12383,0.137,1.0,0.4698,0.4626,0.2806,0.1448,0.5416,0.6144,0.824,0.874,-0.05,2174,913,17,hematoxylin,raw_51px
201.tiff,hematoxylin_tightened51,1,17,12446,12383,0.137,1.0,0.4698,0.4626,0.2806,0.1448,0.5416,0.6144,0.824,0.874,-0.05,2174,913,17,hematoxylin,tightened
201.tiff,gray_inverted_raw51,1,17,12446,12383,0.137,1.0,0.334,0.3605,0.2385,0.1455,0.5369,0.6582,0.684,0.748,-0.064,3910,3315,17,gray,raw_51px
201.tiff,gray_inverted_tightened51,1,17,12446,12383,0.137,1.0,0.334,0.3605,0.2385,0.1455,0.5369,0.6582,0.684,0.748,-0.064,3910,3315,17,gray,tightened
246.tiff,rgb_raw51,1,115,21059,20609,0.546,1.0,0.3354,0.2894,0.165,0.1082,0.4694,0.4297,0.861,0.821,0.04,2874,464,115,rgb,raw_51px
246.tiff,rgb_tightened41,1,115,21059,20609,0.546,1.0,0.4124,0.3748,0.2129,0.136,0.5805,0.521,0.881,0.83,0.052,2446,485,115,rgb,tightened
246.tiff,hematoxylin_raw51,1,115,21059,20609,0.546,1.0,0.3777,0.3519,0.1847,0.1177,0.5376,0.5024,0.858,0.811,0.046,2932,559,115,hematoxylin,raw_51px
246.tiff,hematoxylin_tightened41,1,115,21059,20609,0.546,1.0,0.4494,0.4373,0.2359,0.1462,0.639,0.5997,0.86,0.82,0.039,2890,758,115,hematoxylin,tightened
246.tiff,gray_inverted_raw51,1,115,21059,20609,0.546,1.0,0.3271,0.2851,0.1706,0.1145,0.4445,0.4481,0.843,0.809,0.034,3237,812,115,gray,raw_51px
246.tiff,gray_inverted_tightened41,1,115,21059,20609,0.546,1.0,0.4137,0.3673,0.2209,0.1447,0.5774,0.5316,0.871,0.824,0.047,2660,654,115,gray,tightened
002.tiff,rgb_raw51,1,8,8814,8796,0.091,1.0,0.6338,0.6253,0.3578,0.1186,0.7718,0.7199,0.923,0.878,0.045,674,200,8,rgb,raw_51px
002.tiff,rgb_tightened35,1,8,8814,8796,0.091,1.0,0.6411,0.5983,0.4032,0.1771,0.796,0.7766,0.884,0.787,0.097,1020,466,8,rgb,tightened
002.tiff,hematoxylin_raw51,1,8,8814,8796,0.091,1.0,0.6882,0.6427,0.4136,0.086,0.788,0.8072,0.895,0.851,0.043,928,315,8,hematoxylin,raw_51px
002.tiff,hematoxylin_tightened35,1,8,8814,8796,0.091,1.0,0.6379,0.5693,0.432,0.1534,0.7853,0.8149,0.832,0.741,0.091,1474,830,8,hematoxylin,tightened
002.tiff,gray_inverted_raw51,1,8,8814,8796,0.091,1.0,0.6391,0.6367,0.3763,0.1426,0.7714,0.7309,0.914,0.87,0.044,758,217,8,gray,raw_51px
002.tiff,gray_inverted_tightened35,1,8,8814,8796,0.091,1.0,0.6512,0.6113,0.4288,0.2059,0.7993,0.7975,0.87,0.775,0.095,1144,560,8,gray,tightened
506.tiff,rgb_raw51,1,11,8754,8724,0.126,1.0,0.4028,0.4288,0.3183,0.1177,0.561,0.6427,0.773,0.681,0.092,1984,2396,11,rgb,raw_51px
506.tiff,rgb_tightened43,1,11,8754,8724,0.126,1.0,0.45,0.4561,0.3647,0.1413,0.5771,0.6862,0.765,0.649,0.116,2053,2421,11,rgb,tightened
506.tiff,hematoxylin_raw51,1,11,8754,8724,0.126,1.0,0.4654,0.4743,0.3792,0.1043,0.6153,0.7138,0.748,0.66,0.088,2202,2556,11,hematoxylin,raw_51px
506.tiff,hematoxylin_tightened43,1,11,8754,8724,0.126,1.0,0.4881,0.4903,0.4255,0.1301,0.6645,0.7437,0.738,0.626,0.112,2290,3044,11,hematoxylin,tightened
506.tiff,gray_inverted_raw51,1,11,8754,8724,0.126,1.0,0.4094,0.4198,0.3272,0.131,0.5679,0.6615,0.744,0.668,0.076,2233,2496,11,gray,raw_51px
506.tiff,gray_inverted_tightened43,1,11,8754,8724,0.126,1.0,0.4515,0.4517,0.3749,0.1586,0.5864,0.705,0.738,0.63,0.108,2282,2671,11,gray,tightened
350.tiff,rgb_raw51,1,3,8173,8157,0.037,1.0,0.4406,0.4344,0.3311,0.1138,0.4975,0.6732,0.796,0.715,0.08,1666,1390,3,rgb,raw_51px
350.tiff,rgb_tightened41,1,3,8173,8157,0.037,1.0,0.4689,0.4773,0.3642,0.1352,0.5834,0.7116,0.778,0.72,0.057,1813,1572,3,rgb,tightened
350.tiff,hematoxylin_raw51,1,3,8173,8157,0.037,1.0,0.5512,0.4663,0.3977,0.1126,0.6293,0.7226,0.859,0.687,0.172,1151,823,3,hematoxylin,raw_51px
350.tiff,hematoxylin_tightened41,1,3,8173,8157,0.037,1.0,0.6259,0.4954,0.4237,0.1211,0.6742,0.7525,0.848,0.7,0.148,1241,331,3,hematoxylin,tightened
350.tiff,gray_inverted_raw51,1,3,8173,8157,0.037,1.0,0.4289,0.4414,0.3353,0.1218,0.4791,0.6873,0.738,0.704,0.034,2137,1747,3,gray,raw_51px
350.tiff,gray_inverted_tightened41,1,3,8173,8157,0.037,1.0,0.4433,0.4797,0.3748,0.1476,0.5761,0.7383,0.705,0.705,-0.0,2404,2422,3,gray,tightened
