file_name,seed_ann_id,base_size,match_radius_px,n_gt_mitotic_eval,recall_at_k,roi_area_mm2,sens@1fp_mm2,sens@2fp_mm2,sens@4fp_mm2,sens@8fp_mm2,sens@16fp_mm2,sens@32fp_mm2,sens@64fp_mm2,k,topk_tp,topk_fp_lookalike,topk_fp_unannotated,n_lookalike_gt,lookalike_attraction_at_k,n_mitotic_gt,mitotic_recall_at_k,lookalike_attraction,mitotic_recall,n_detections_total,n_unanimous,recall_unanimous_at_k,n_contested,recall_contested_at_k,recall_unanimous,recall_contested,all_n_detections,all_tp,all_fp_lookalike,all_fp_unannotated,all_matched_any_gt,all_matched_frac,all_precision_mitotic,all_mitotic_gt_found,all_mitotic_gt_missed,all_lookalike_gt_found,all_lookalike_gt_missed,coverage_frac,nms_radius,n_augmentations,t_match_s,n_peaks,max_peak_score,n_after_nms,n_self_hits,seed_self_score,n_detections,max_detection_score,t_postprocess_s
301.tiff,14969,51,29.6,217,0.018433179723502304,2.0,0.0,0.004608294930875576,0.004608294930875576,0.004608294930875576,0.004608294930875576,0.004608294930875576,0.004608294930875576,217,4,6,207,109,0.05504587155963303,217,0.018433179723502304,0.13761467889908258,0.1152073732718894,944,163,0.018404907975460124,54,0.018518518518518517,0.12269938650306748,0.09259259259259259,944,25,15,904,40,0.04237288135588732,0.026483050847429572,25,192,15,94,0.0812,29.61,1,6.24,958,0.9999988079071045,945,1,0.9999988079071045,944,0.6989133954048157,0.32
301.tiff,14969,41,29.6,217,0.027649769585253458,2.0,0.0,0.0,0.004608294930875576,0.004608294930875576,0.004608294930875576,0.004608294930875576,0.009216589861751152,217,6,4,207,109,0.03669724770642202,217,0.027649769585253458,0.3669724770642202,0.45161290322580644,3332,163,0.018404907975460124,54,0.05555555555555555,0.49693251533742333,0.3148148148148148,3332,98,40,3194,138,0.04141656662663823,0.029411764705873526,98,119,40,69,0.2728,29.61,1,6.55,3357,0.9999995827674866,3333,1,0.9999995827674866,3332,0.6838666200637817,0.32
201.tiff,4457,51,30.2,17,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,1,16,49,0.02040816326530612,17,0.0,0.08163265306122448,0.17647058823529413,1053,6,0.0,11,0.0,0.16666666666666666,0.18181818181818182,1053,3,4,1046,7,0.006647673314333668,0.0028490028490001434,3,14,4,45,0.0902,30.22,1,7.41,1188,0.9999999403953552,1054,1,0.9999999403953552,1053,0.6822283267974854,0.36
201.tiff,4457,51,30.2,17,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,1,16,49,0.02040816326530612,17,0.0,0.08163265306122448,0.17647058823529413,1053,6,0.0,11,0.0,0.16666666666666666,0.18181818181818182,1053,3,4,1046,7,0.006647673314333668,0.0028490028490001434,3,14,4,45,0.0902,30.22,1,6.73,1188,0.9999999403953552,1054,1,0.9999999403953552,1053,0.6822283267974854,0.32
246.tiff,6548,51,30.2,115,0.034782608695652174,2.0,0.02608695652173913,0.034782608695652174,0.034782608695652174,0.034782608695652174,0.034782608695652174,0.034782608695652174,0.034782608695652174,115,4,1,2,123,0.008130081300813009,115,0.034782608695652174,0.008130081300813009,0.034782608695652174,7,99,0.04040404040404041,16,0.0,0.04040404040404041,0.0,7,4,1,2,5,0.7142857141836735,0.5714285713469388,4,111,1,122,0.0006,30.22,1,6.57,8,1.0,8,1,1.0,7,0.5758734345436096,0.31
246.tiff,6548,41,30.2,115,0.2782608695652174,2.0,0.08695652173913043,0.09565217391304348,0.1565217391304348,0.2,0.22608695652173913,0.26956521739130435,0.2782608695652174,115,32,10,57,123,0.08130081300813008,115,0.2782608695652174,0.08130081300813008,0.2782608695652174,99,99,0.30303030303030304,16,0.125,0.30303030303030304,0.125,99,32,10,57,42,0.42424242423813896,0.32323232322905826,32,83,10,113,0.0086,30.22,1,6.88,100,0.9999995827674866,100,1,0.9999995827674866,99,0.681769073009491,0.33
002.tiff,18,51,33.1,8,0.25,2.01,0.25,0.25,0.25,0.25,0.375,0.5,0.5,8,2,0,6,7,0.0,8,0.25,0.8571428571428571,0.875,1860,6,0.3333333333333333,2,0.0,1.0,0.5,1860,7,6,1847,13,0.0069892473118242,0.0037634408602130304,7,1,6,1,0.157,33.05,1,8.51,1879,0.9999992847442627,1861,1,0.9999992847442627,1860,0.7920355796813965,0.43
002.tiff,18,35,33.1,8,0.25,2.01,0.0,0.25,0.25,0.25,0.25,0.25,0.25,8,2,0,6,7,0.0,8,0.25,0.8571428571428571,0.875,3621,6,0.3333333333333333,2,0.0,1.0,0.5,3621,7,6,3608,13,0.003590168461749906,0.0019331676332499494,7,1,6,1,0.2893,33.05,1,9.25,4030,1.0,3622,1,1.0,3621,0.8080393671989441,0.47
506.tiff,24233,51,33.0,11,0.09090909090909091,2.02,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,11,1,0,10,12,0.0,11,0.09090909090909091,0.16666666666666666,0.2727272727272727,914,7,0.14285714285714285,4,0.0,0.42857142857142855,0.0,914,3,2,909,5,0.005470459518593577,0.0032822757111561464,3,8,2,10,0.0774,32.98,1,9.17,929,0.9999997019767761,915,1,0.9999997019767761,914,0.6880623698234558,0.42
506.tiff,24233,43,33.0,11,0.09090909090909091,2.02,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,11,1,0,10,12,0.0,11,0.09090909090909091,0.3333333333333333,0.45454545454545453,2067,7,0.14285714285714285,4,0.0,0.5714285714285714,0.25,2067,5,4,2058,9,0.0043541364296060215,0.002418964683114456,5,6,4,8,0.1683,32.98,1,8.34,2159,1.0,2068,1,1.0,2067,0.735553503036499,0.36
350.tiff,18164,51,33.0,3,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,3,16,0.0,3,0.0,0.3125,0.3333333333333333,956,0,,3,0.0,,0.3333333333333333,956,1,5,950,6,0.006276150627608498,0.0010460251046014164,1,2,5,11,0.081,32.98,1,7.59,977,1.0,957,1,1.0,956,0.7241684198379517,0.36
350.tiff,18164,41,33.0,3,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,3,16,0.0,3,0.0,0.4375,0.3333333333333333,1940,0,,3,0.0,,0.3333333333333333,1940,1,7,1932,8,0.00412371134020406,0.0005154639175255075,1,2,7,9,0.1605,32.98,1,7.73,2009,1.0,1941,1,1.0,1940,0.7779251337051392,0.36
