file_name,method,rank,cx,cy,score,angle,flip,scale,bucket,matched_ann_id,matched_category
301.tiff,find_and_suppress,0,4906.0,208.0,0.9434542,0.0,False,1.0,human_correct_label,14762,1
301.tiff,find_and_suppress,1,743.0,1894.0,0.9376303,90.0,True,1.0,human_correct_label,14831,1
301.tiff,find_and_suppress,2,4510.0,3736.0,0.93658143,270.0,False,1.0,human_correct_label,14956,1
301.tiff,find_and_suppress,3,2465.0,3561.0,0.93489397,90.0,False,1.0,human_correct_label,14937,1
301.tiff,find_and_suppress,4,5551.0,130.0,0.93116367,0.0,True,1.0,human_correct_label,14773,1
301.tiff,find_and_suppress,5,324.0,4574.0,0.93054366,270.0,True,1.0,human_correct_label,14975,1
301.tiff,find_and_suppress,6,4886.0,4320.0,0.93048924,270.0,True,1.0,human_correct_label,15008,1
301.tiff,find_and_suppress,7,3267.0,2913.0,0.929826,270.0,True,1.0,human_correct_label,14903,1
301.tiff,find_and_suppress,8,1749.0,3657.0,0.9298134,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,9,3120.0,2646.0,0.9281728,0.0,True,1.0,human_correct_label,14905,1
301.tiff,find_and_suppress,10,4264.0,261.0,0.9275735,180.0,True,1.0,human_correct_label,14752,1
301.tiff,find_and_suppress,11,5496.0,3027.0,0.92685914,0.0,True,1.0,human_correct_label,14917,1
301.tiff,find_and_suppress,12,4139.0,3015.0,0.9267413,180.0,False,1.0,human_correct_label,14907,1
301.tiff,find_and_suppress,13,3469.0,1577.0,0.9262083,270.0,False,1.0,human_correct_label,14807,1
301.tiff,find_and_suppress,14,3265.0,1296.0,0.9258965,270.0,True,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,15,1801.0,3071.0,0.9249159,180.0,False,1.0,human_correct_label,14890,1
301.tiff,find_and_suppress,16,494.0,1476.0,0.9243084,270.0,True,1.0,human_correct_label,14785,1
301.tiff,find_and_suppress,17,410.0,4521.0,0.92318875,0.0,True,1.0,human_correct_label,14977,1
301.tiff,find_and_suppress,18,5235.0,642.0,0.92263615,90.0,True,1.0,human_correct_label,14770,1
301.tiff,find_and_suppress,19,2062.0,3171.0,0.9220197,90.0,True,1.0,human_correct_label,14891,1
301.tiff,find_and_suppress,20,1222.0,4461.0,0.9215352,90.0,True,1.0,human_correct_label,14982,1
301.tiff,find_and_suppress,21,5547.0,3373.0,0.9204405,180.0,True,1.0,human_rejected_label,14965,2
301.tiff,find_and_suppress,22,2393.0,4170.0,0.9203947,0.0,True,1.0,human_correct_label,14989,1
301.tiff,find_and_suppress,23,1293.0,3642.0,0.9202091,270.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,24,5281.0,3929.0,0.9198938,270.0,True,1.0,human_correct_label,14961,1
301.tiff,find_and_suppress,25,414.0,3532.0,0.9198524,0.0,False,1.0,human_correct_label,14923,1
301.tiff,find_and_suppress,26,2922.0,2562.0,0.9177435,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,27,4351.0,4624.0,0.91425073,270.0,True,1.0,human_correct_label,15000,1
301.tiff,find_and_suppress,28,2851.0,2792.0,0.91340286,180.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,29,4362.0,4416.0,0.91259897,270.0,True,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,30,2396.0,114.0,0.91224015,180.0,False,1.0,human_rejected_label,14745,2
301.tiff,find_and_suppress,31,4313.0,4473.0,0.9108951,90.0,True,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,32,248.0,3462.0,0.9105019,180.0,True,1.0,human_correct_label,14924,1
301.tiff,find_and_suppress,33,2226.0,537.0,0.9102391,0.0,True,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,34,5517.0,1241.0,0.90985805,90.0,False,1.0,human_rejected_label,14821,2
301.tiff,find_and_suppress,35,1375.0,3590.0,0.9094207,180.0,True,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,36,3262.0,3045.0,0.90871274,90.0,True,1.0,human_correct_label,15034,1
301.tiff,find_and_suppress,37,2857.0,3212.0,0.9072421,90.0,True,1.0,human_correct_label,14942,1
301.tiff,find_and_suppress,38,1368.0,1826.0,0.9058028,270.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,39,2158.0,3681.0,0.9054304,90.0,True,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,40,1862.0,1491.0,0.9049813,270.0,False,1.0,human_correct_label,14798,1
301.tiff,find_and_suppress,41,1208.0,3812.0,0.9049298,90.0,True,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,42,6268.0,4053.0,0.90436,270.0,True,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,43,2485.0,2404.0,0.90420616,0.0,True,1.0,human_rejected_label,14846,2
301.tiff,find_and_suppress,44,6226.0,1328.0,0.90381366,270.0,False,1.0,human_correct_label,14826,1
301.tiff,find_and_suppress,45,3742.0,1915.0,0.902949,180.0,True,1.0,human_correct_label,14857,1
301.tiff,find_and_suppress,46,507.0,3800.0,0.90285563,180.0,True,1.0,human_rejected_label,14925,2
301.tiff,find_and_suppress,47,1659.0,3404.0,0.9026192,180.0,False,1.0,human_correct_label,14933,1
301.tiff,find_and_suppress,48,515.0,1732.0,0.9012279,0.0,True,1.0,human_rejected_label,15040,2
301.tiff,find_and_suppress,49,259.0,2972.0,0.901189,270.0,True,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,50,4169.0,4481.0,0.9008103,0.0,False,1.0,human_correct_label,14997,1
301.tiff,find_and_suppress,51,1418.0,2000.0,0.9005566,270.0,True,1.0,human_correct_label,14834,1
301.tiff,find_and_suppress,52,4525.0,3984.0,0.8999632,180.0,False,1.0,non_human_findings,-1,0
