file_name,method,rank,cx,cy,score,angle,flip,scale,bucket,matched_ann_id,matched_category
301.tiff,find_and_suppress,0,4510.0,3736.0,0.9218294,270.0,False,1.0,human_correct_label,14956,1
301.tiff,find_and_suppress,1,4885.0,4321.0,0.91118604,180.0,False,1.0,human_correct_label,15008,1
301.tiff,find_and_suppress,2,324.0,4567.0,0.906912,0.0,True,1.0,human_correct_label,14975,1
301.tiff,find_and_suppress,3,1794.0,3070.0,0.9045226,90.0,False,1.0,human_correct_label,14890,1
301.tiff,find_and_suppress,4,2226.0,544.0,0.90116674,270.0,True,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,5,5496.0,3027.0,0.90085524,0.0,True,1.0,human_correct_label,14917,1
301.tiff,find_and_suppress,6,2857.0,3211.0,0.9008051,90.0,True,1.0,human_correct_label,14942,1
301.tiff,find_and_suppress,7,3266.0,2906.0,0.8995641,0.0,True,1.0,human_correct_label,14903,1
301.tiff,find_and_suppress,8,2465.0,3553.0,0.8985865,0.0,False,1.0,human_correct_label,14937,1
301.tiff,find_and_suppress,9,4139.0,3015.0,0.89814854,180.0,False,1.0,human_correct_label,14907,1
301.tiff,find_and_suppress,10,5547.0,3366.0,0.89660853,0.0,False,1.0,human_rejected_label,14965,2
301.tiff,find_and_suppress,11,3742.0,1914.0,0.895557,180.0,True,1.0,human_correct_label,14857,1
301.tiff,find_and_suppress,12,4169.0,4480.0,0.89472574,0.0,False,1.0,human_correct_label,14997,1
301.tiff,find_and_suppress,13,3120.0,2645.0,0.8941,0.0,True,1.0,human_correct_label,14905,1
301.tiff,find_and_suppress,14,2393.0,4177.0,0.8926489,180.0,False,1.0,human_correct_label,14989,1
301.tiff,find_and_suppress,15,1659.0,3404.0,0.8908586,180.0,False,1.0,human_correct_label,14933,1
301.tiff,find_and_suppress,16,4906.0,208.0,0.8897709,0.0,False,1.0,human_correct_label,14762,1
301.tiff,find_and_suppress,17,743.0,1894.0,0.88887,90.0,True,1.0,human_correct_label,14831,1
301.tiff,find_and_suppress,18,6267.0,3919.0,0.887813,180.0,False,1.0,human_rejected_label,14971,2
301.tiff,find_and_suppress,19,5517.0,1242.0,0.88629884,180.0,True,1.0,human_rejected_label,14821,2
301.tiff,find_and_suppress,20,2068.0,3170.0,0.8859183,0.0,True,1.0,human_correct_label,14891,1
301.tiff,find_and_suppress,21,3262.0,3045.0,0.8857593,90.0,True,1.0,human_correct_label,15034,1
301.tiff,find_and_suppress,22,494.0,1476.0,0.88571113,270.0,True,1.0,human_correct_label,14785,1
301.tiff,find_and_suppress,23,410.0,4521.0,0.88466394,0.0,True,1.0,human_correct_label,14977,1
301.tiff,find_and_suppress,24,4351.0,4625.0,0.8833585,180.0,False,1.0,human_correct_label,15000,1
301.tiff,find_and_suppress,25,4798.0,4432.0,0.8825225,0.0,False,1.0,human_rejected_label,15009,2
301.tiff,find_and_suppress,26,3069.0,3315.0,0.8811968,270.0,True,1.0,human_correct_label,14947,1
301.tiff,find_and_suppress,27,494.0,777.0,0.88090664,180.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,28,248.0,3462.0,0.87971944,180.0,True,1.0,human_correct_label,14924,1
301.tiff,find_and_suppress,29,420.0,3533.0,0.87960976,270.0,False,1.0,human_correct_label,14923,1
301.tiff,find_and_suppress,30,2387.0,2996.0,0.87944,90.0,False,1.0,human_correct_label,14889,1
301.tiff,find_and_suppress,31,642.0,552.0,0.8789396,180.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,32,2438.0,2884.0,0.8784656,0.0,True,1.0,human_correct_label,14888,1
301.tiff,find_and_suppress,33,2931.0,2735.0,0.8782956,0.0,False,1.0,human_correct_label,14897,1
301.tiff,find_and_suppress,34,371.0,1178.0,0.87751615,90.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,35,4453.0,2652.0,0.87716454,270.0,True,1.0,human_correct_label,14912,1
301.tiff,find_and_suppress,36,5280.0,3929.0,0.8767816,270.0,True,1.0,human_correct_label,14961,1
301.tiff,find_and_suppress,37,5235.0,642.0,0.87666094,90.0,True,1.0,human_correct_label,14770,1
301.tiff,find_and_suppress,38,6166.0,1312.0,0.8754997,180.0,True,1.0,human_correct_label,14825,1
301.tiff,find_and_suppress,39,107.0,4366.0,0.87387866,180.0,True,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,40,5545.0,137.0,0.8730885,180.0,True,1.0,human_correct_label,14773,1
301.tiff,find_and_suppress,41,2851.0,2791.0,0.8730462,180.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,42,515.0,1739.0,0.8726419,180.0,False,1.0,human_rejected_label,15040,2
301.tiff,find_and_suppress,43,3012.0,234.0,0.8709841,90.0,False,1.0,human_rejected_label,15048,2
301.tiff,find_and_suppress,44,4362.0,4416.0,0.8705369,180.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,45,6083.0,4275.0,0.87024975,90.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,46,3871.0,4209.0,0.8698063,90.0,False,1.0,human_correct_label,15003,1
301.tiff,find_and_suppress,47,5574.0,266.0,0.86943513,0.0,True,1.0,human_correct_label,14772,1
301.tiff,find_and_suppress,48,6217.0,322.0,0.86760366,90.0,True,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,49,556.0,2403.0,0.8674854,270.0,False,1.0,human_rejected_label,14886,2
301.tiff,find_and_suppress,50,369.0,278.0,0.8672115,180.0,True,1.0,human_correct_label,14726,1
301.tiff,find_and_suppress,51,2661.0,2453.0,0.8662797,0.0,False,1.0,human_correct_label,14849,1
301.tiff,find_and_suppress,52,4271.0,260.0,0.8658946,180.0,False,1.0,human_correct_label,14752,1
