file_name,method,seed_ann_id,channel,mpp,tightened_base_size,bbox_method,bbox_center_tolerance,seed_agreement_flagged,seed_n_agreement_pool,seed_n_after_border,seed_n_after_foreground,match_radius_px,n_gt_mitotic_eval,recall_at_k,roi_area_mm2,sens@1fp_mm2,sens@2fp_mm2,sens@4fp_mm2,sens@8fp_mm2,sens@16fp_mm2,sens@32fp_mm2,sens@64fp_mm2,k,topk_tp,topk_fp_lookalike,topk_fp_unannotated,n_lookalike_gt,lookalike_attraction_at_k,n_mitotic_gt,mitotic_recall_at_k,lookalike_attraction,mitotic_recall,n_detections_total,n_unanimous,recall_unanimous_at_k,n_contested,recall_contested_at_k,recall_unanimous,recall_contested,all_n_detections,all_tp,all_fp_lookalike,all_fp_unannotated,all_matched_any_gt,all_matched_frac,all_precision_mitotic,all_mitotic_gt_found,all_mitotic_gt_missed,all_lookalike_gt_found,all_lookalike_gt_missed,coverage_frac,nms_radius,n_augmentations,t_match_s,n_peaks,max_peak_score,n_after_nms,n_self_hits,seed_self_score,n_detections,max_detection_score,t_postprocess_s,t_total_s,tissue_fraction,tumor_type,mitotic_recall_at_matcher_budget,matcher_budget,budget_delivered
301.tiff,find_and_suppress,14976,rgb,0.2533,35.0,binary,0.0,False,164.0,162.0,136.0,29.6,217,0.3317972350230415,2.0,0.041474654377880185,0.07373271889400922,0.12442396313364056,0.15668202764976957,0.1935483870967742,0.28110599078341014,0.3271889400921659,217,72,15,130,109,0.13761467889908258,217,0.3317972350230415,0.944954128440367,0.967741935483871,16766,163,0.3619631901840491,54,0.24074074074074073,0.9631901840490797,0.9814814814814815,16766,210,103,16453,313,0.018668734343312735,0.012525348920433464,210,7,103,6,0.9325,29.61,8.0,53.21,27535.0,1.0,16767.0,1.0,1.0,16766.0,0.9218294024467468,0.6,53.9,0.9967,canine cutaneous mast cell tumor,,,
301.tiff,nucleus_blobs,-1,hematoxylin,0.2533,,,,,,,,29.6,217,0.5944700460829493,2.0,0.009216589861751152,0.09216589861751152,0.18433179723502305,0.2304147465437788,0.3824884792626728,0.511520737327189,0.6405529953917051,217,129,32,56,109,0.29357798165137616,217,0.5944700460829493,0.981651376146789,1.0,20370,163,0.6380368098159509,54,0.46296296296296297,1.0,1.0,20370,217,107,20046,324,0.015905743740794506,0.01065292096219879,217,0,107,2,0.9359,,,,,,,,,,,,,0.9967,canine cutaneous mast cell tumor,1.0,16766.0,16766.0
301.tiff,random_in_tissue,-1,-,0.2533,,,,,,,,29.6,217,0.02304147465437788,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013824884792626729,217,5,4,208,109,0.03669724770642202,217,0.02304147465437788,0.8073394495412844,0.7788018433179723,16766,163,0.018404907975460124,54,0.037037037037037035,0.7730061349693251,0.7962962962962963,16766,169,88,16509,257,0.015328641297863812,0.010079923655015503,169,48,88,21,0.7733,,,,,,,,,,,,,0.9967,canine cutaneous mast cell tumor,,,
201.tiff,find_and_suppress,4469,rgb,0.2482,51.0,binary,0.0,False,7.0,7.0,6.0,30.2,17,0.058823529411764705,2.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.23529411764705882,0.29411764705882354,17,1,3,13,49,0.061224489795918366,17,0.058823529411764705,0.4897959183673469,0.7058823529411765,925,6,0.16666666666666666,11,0.0,0.6666666666666666,0.7272727272727273,925,12,24,889,36,0.038918918918876846,0.012972972972958949,12,5,24,25,0.0784,30.22,8.0,80.84,952.0,1.0,926.0,1.0,1.0,925.0,0.6358758807182312,0.77,81.7,0.9287,canine lung cancer,,,
201.tiff,nucleus_blobs,-1,hematoxylin,0.2482,,,,,,,,30.2,17,0.23529411764705882,2.0,0.0,0.058823529411764705,0.11764705882352941,0.35294117647058826,0.4117647058823529,0.47058823529411764,0.5294117647058824,17,4,3,10,49,0.061224489795918366,17,0.23529411764705882,0.7551020408163265,0.8823529411764706,12446,6,0.3333333333333333,11,0.18181818181818182,0.8333333333333334,0.9090909090909091,12446,15,37,12394,52,0.00417804917242454,0.0012052064920455403,15,2,37,12,0.7577,,,,,,,,,,,,,0.9287,canine lung cancer,0.5882352941176471,925.0,925.0
201.tiff,random_in_tissue,-1,-,0.2482,,,,,,,,30.2,17,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,17,0,0,17,49,0.0,17,0.0,0.061224489795918366,0.058823529411764705,925,6,0.0,11,0.0,0.0,0.09090909090909091,925,1,3,921,4,0.004324324324319649,0.0010810810810799123,1,16,3,46,0.0782,,,,,,,,,,,,,0.9287,canine lung cancer,,,
246.tiff,find_and_suppress,6549,rgb,0.2482,51.0,binary,0.0,False,100.0,97.0,87.0,30.2,115,0.14782608695652175,2.0,0.06086956521739131,0.06956521739130435,0.10434782608695652,0.1391304347826087,0.14782608695652175,0.14782608695652175,0.14782608695652175,115,17,3,20,123,0.024390243902439025,115,0.14782608695652175,0.024390243902439025,0.14782608695652175,40,99,0.1717171717171717,16,0.0,0.1717171717171717,0.0,40,17,3,20,20,0.49999999998750005,0.42499999998937504,17,98,3,120,0.0036,30.22,8.0,52.12,41.0,1.0,41.0,1.0,1.0,40.0,0.5986713767051697,0.27,52.4,0.9996,canine lymphosarcoma,,,
246.tiff,nucleus_blobs,-1,hematoxylin,0.2482,,,,,,,,30.2,115,0.33043478260869563,2.0,0.008695652173913044,0.02608695652173913,0.034782608695652174,0.12173913043478261,0.20869565217391303,0.2956521739130435,0.4434782608695652,115,38,16,61,123,0.13008130081300814,115,0.33043478260869563,1.0,0.9652173913043478,21059,99,0.36363636363636365,16,0.125,0.9696969696969697,0.9375,21059,111,123,20825,234,0.011111638729283864,0.0052709055510705505,111,4,123,0,0.9166,,,,,,,,,,,,,0.9996,canine lymphosarcoma,0.1391304347826087,40.0,40.0
246.tiff,random_in_tissue,-1,-,0.2482,,,,,,,,30.2,115,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,0,0,40,123,0.0,115,0.0,0.0,0.0,40,99,0.0,16,0.0,0.0,0.0,40,0,0,40,0,0.0,0.0,0,115,0,123,0.0035,,,,,,,,,,,,,0.9996,canine lymphosarcoma,,,
405.tiff,find_and_suppress,20562,rgb,0.2482,51.0,binary,0.0,False,10.0,10.0,8.0,30.2,13,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,13,0,0,13,19,0.0,13,0.0,0.9473684210526315,1.0,7323,9,0.0,4,0.0,1.0,1.0,7323,13,18,7292,31,0.004233237744093372,0.0017752287313939949,13,0,18,1,0.5778,30.22,8.0,56.99,8429.0,1.0,7324.0,1.0,1.0,7323.0,0.8286733031272888,0.33,57.4,0.7831,canine soft tissue sarcoma,,,
