file_name,method,rank,cx,cy,score,angle,flip,scale,bucket,matched_ann_id,matched_category
301.tiff,find_and_suppress,0,4502.0,3736.0,0.9043563,0.0,False,1.0,human_correct_label,14956,1
301.tiff,find_and_suppress,1,2465.0,3553.0,0.8985865,0.0,False,1.0,human_correct_label,14937,1
301.tiff,find_and_suppress,2,2857.0,3211.0,0.8979053,0.0,False,1.0,human_correct_label,14942,1
301.tiff,find_and_suppress,3,5547.0,3366.0,0.89660853,0.0,False,1.0,human_rejected_label,14965,2
301.tiff,find_and_suppress,4,4169.0,4480.0,0.89472574,0.0,False,1.0,human_correct_label,14997,1
301.tiff,find_and_suppress,5,4906.0,208.0,0.8897709,0.0,False,1.0,human_correct_label,14762,1
301.tiff,find_and_suppress,6,4798.0,4432.0,0.8825225,0.0,False,1.0,human_rejected_label,15009,2
301.tiff,find_and_suppress,7,743.0,1894.0,0.88098955,0.0,False,1.0,human_correct_label,14831,1
301.tiff,find_and_suppress,8,2931.0,2735.0,0.8782956,0.0,False,1.0,human_correct_label,14897,1
301.tiff,find_and_suppress,9,3259.0,2906.0,0.8771409,0.0,False,1.0,human_correct_label,14903,1
301.tiff,find_and_suppress,10,414.0,3533.0,0.87474996,0.0,False,1.0,human_correct_label,14923,1
301.tiff,find_and_suppress,11,486.0,1469.0,0.87411046,0.0,False,1.0,human_correct_label,14785,1
301.tiff,find_and_suppress,12,3261.0,3045.0,0.8725926,0.0,False,1.0,human_correct_label,15034,1
301.tiff,find_and_suppress,13,5490.0,3027.0,0.8707883,0.0,False,1.0,human_correct_label,14917,1
301.tiff,find_and_suppress,14,5235.0,642.0,0.8698458,0.0,False,1.0,human_correct_label,14770,1
301.tiff,find_and_suppress,15,3871.0,4202.0,0.8694664,0.0,False,1.0,human_correct_label,15003,1
301.tiff,find_and_suppress,16,2062.0,3171.0,0.86739933,0.0,False,1.0,human_correct_label,14891,1
301.tiff,find_and_suppress,17,1794.0,3063.0,0.866837,0.0,False,1.0,human_correct_label,14890,1
301.tiff,find_and_suppress,18,2661.0,2453.0,0.8662797,0.0,False,1.0,human_correct_label,14849,1
301.tiff,find_and_suppress,19,5567.0,266.0,0.86552924,0.0,False,1.0,human_correct_label,14772,1
301.tiff,find_and_suppress,20,2770.0,4518.0,0.8648621,0.0,False,1.0,human_correct_label,14988,1
301.tiff,find_and_suppress,21,3343.0,3267.0,0.8634121,0.0,False,1.0,human_correct_label,14945,1
301.tiff,find_and_suppress,22,5517.0,1235.0,0.85930574,0.0,False,1.0,human_rejected_label,14821,2
301.tiff,find_and_suppress,23,5433.0,1933.0,0.8585792,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,24,4446.0,2644.0,0.8584987,0.0,False,1.0,human_correct_label,14912,1
301.tiff,find_and_suppress,25,6166.0,1304.0,0.8581927,0.0,False,1.0,human_correct_label,14825,1
301.tiff,find_and_suppress,26,3062.0,3307.0,0.8578314,0.0,False,1.0,human_correct_label,14947,1
301.tiff,find_and_suppress,27,369.0,271.0,0.8555409,0.0,False,1.0,human_correct_label,14726,1
301.tiff,find_and_suppress,28,3428.0,3144.0,0.8527437,0.0,False,1.0,human_rejected_label,14909,2
301.tiff,find_and_suppress,29,942.0,484.0,0.8488294,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,30,3143.0,2800.0,0.84713733,0.0,False,1.0,human_correct_label,14904,1
301.tiff,find_and_suppress,31,4639.0,3066.0,0.84623003,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,32,2386.0,4170.0,0.84622157,0.0,False,1.0,human_correct_label,14989,1
301.tiff,find_and_suppress,33,6217.0,322.0,0.8461953,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,34,6292.0,3997.0,0.8428089,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,35,1246.0,203.0,0.84258354,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,36,2921.0,2562.0,0.84243935,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,37,3153.0,2243.0,0.84235513,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,38,95.0,1359.0,0.84161377,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,39,6322.0,3878.0,0.84120715,0.0,False,1.0,non_human_findings,-1,0
