file_name,method,rank,cx,cy,score,angle,flip,scale,bucket,matched_ann_id,matched_category
301.tiff,find_and_suppress,0,4502.0,3736.0,0.9122717,0.0,False,1.0,human_correct_label,14956,1
301.tiff,find_and_suppress,1,2857.0,3210.0,0.9052351,0.0,False,1.0,human_correct_label,14942,1
301.tiff,find_and_suppress,2,2465.0,3553.0,0.90515494,0.0,False,1.0,human_correct_label,14937,1
301.tiff,find_and_suppress,3,5547.0,3366.0,0.9048753,0.0,False,1.0,human_rejected_label,14965,2
301.tiff,find_and_suppress,4,4168.0,4480.0,0.90182143,0.0,False,1.0,human_correct_label,14997,1
301.tiff,find_and_suppress,5,4798.0,4432.0,0.8987375,0.0,False,1.0,human_rejected_label,15009,2
301.tiff,find_and_suppress,6,961.0,361.0,0.8923815,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,7,95.0,1359.0,0.88813543,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,8,2931.0,2735.0,0.8873932,0.0,False,1.0,human_correct_label,14897,1
301.tiff,find_and_suppress,9,4906.0,208.0,0.8871325,0.0,False,1.0,human_correct_label,14762,1
301.tiff,find_and_suppress,10,743.0,1894.0,0.87973374,0.0,False,1.0,human_correct_label,14831,1
301.tiff,find_and_suppress,11,486.0,1469.0,0.879652,0.0,False,1.0,human_correct_label,14785,1
301.tiff,find_and_suppress,12,3259.0,2907.0,0.8783414,0.0,False,1.0,human_correct_label,14903,1
301.tiff,find_and_suppress,13,3261.0,3045.0,0.8771274,0.0,False,1.0,human_correct_label,15034,1
301.tiff,find_and_suppress,14,2661.0,2454.0,0.8760935,0.0,False,1.0,human_correct_label,14849,1
301.tiff,find_and_suppress,15,3871.0,4202.0,0.87499136,0.0,False,1.0,human_correct_label,15003,1
301.tiff,find_and_suppress,16,414.0,3533.0,0.8742976,0.0,False,1.0,human_correct_label,14923,1
301.tiff,find_and_suppress,17,5235.0,642.0,0.8736048,0.0,False,1.0,human_correct_label,14770,1
301.tiff,find_and_suppress,18,3343.0,3267.0,0.8726266,0.0,False,1.0,human_correct_label,14945,1
301.tiff,find_and_suppress,19,929.0,315.0,0.8715995,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,20,5490.0,3027.0,0.8709085,0.0,False,1.0,human_correct_label,14917,1
301.tiff,find_and_suppress,21,942.0,484.0,0.86969477,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,22,21.0,1251.0,0.8693356,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,23,5433.0,1933.0,0.8682284,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,24,1018.0,238.0,0.8679751,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,25,38.0,1314.0,0.86788607,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,26,2770.0,4518.0,0.8675312,0.0,False,1.0,human_correct_label,14988,1
301.tiff,find_and_suppress,27,2062.0,3171.0,0.8672429,0.0,False,1.0,human_correct_label,14891,1
301.tiff,find_and_suppress,28,5567.0,266.0,0.8667223,0.0,False,1.0,human_correct_label,14772,1
301.tiff,find_and_suppress,29,1113.0,202.0,0.8662753,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,30,265.0,1112.0,0.86597925,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,31,3061.0,3307.0,0.86553466,0.0,False,1.0,human_correct_label,14947,1
301.tiff,find_and_suppress,32,1794.0,3063.0,0.8652584,0.0,False,1.0,human_correct_label,14890,1
301.tiff,find_and_suppress,33,6166.0,1304.0,0.86485225,0.0,False,1.0,human_correct_label,14825,1
301.tiff,find_and_suppress,34,1246.0,203.0,0.8644654,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,35,4446.0,2644.0,0.8636837,0.0,False,1.0,human_correct_label,14912,1
301.tiff,find_and_suppress,36,5517.0,1235.0,0.86338925,0.0,False,1.0,human_rejected_label,14821,2
301.tiff,find_and_suppress,37,1229.0,139.0,0.86286944,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,38,3429.0,3144.0,0.8627142,0.0,False,1.0,human_rejected_label,14909,2
301.tiff,find_and_suppress,39,570.0,790.0,0.8612128,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,40,129.0,1339.0,0.8600694,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,41,6292.0,3997.0,0.8576973,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,42,2999.0,1015.0,0.8575278,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,43,6322.0,3878.0,0.857495,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,44,635.0,544.0,0.8560875,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,45,3143.0,2799.0,0.85549635,0.0,False,1.0,human_correct_label,14904,1
301.tiff,find_and_suppress,46,369.0,271.0,0.85531974,0.0,False,1.0,human_correct_label,14726,1
301.tiff,find_and_suppress,47,6217.0,322.0,0.85515964,0.0,False,1.0,non_human_findings,-1,0
