file_name,method,seed_ann_id,channel,mpp,tightened_base_size,bbox_method,bbox_center_tolerance,tighten_bbox,seed_agreement_flagged,seed_n_agreement_pool,seed_n_after_border,seed_n_after_foreground,match_radius_px,n_gt_mitotic_eval,recall_at_k,roi_area_mm2,sens@1fp_mm2,sens@2fp_mm2,sens@4fp_mm2,sens@8fp_mm2,sens@16fp_mm2,sens@32fp_mm2,sens@64fp_mm2,k,topk_tp,topk_fp_lookalike,topk_fp_unannotated,n_lookalike_gt,lookalike_attraction_at_k,n_mitotic_gt,mitotic_recall_at_k,lookalike_attraction,mitotic_recall,n_detections_total,n_unanimous,recall_unanimous_at_k,n_contested,recall_contested_at_k,recall_unanimous,recall_contested,all_n_detections,all_tp,all_fp_lookalike,all_fp_unannotated,all_matched_any_gt,all_matched_frac,all_precision_mitotic,all_mitotic_gt_found,all_mitotic_gt_missed,all_lookalike_gt_found,all_lookalike_gt_missed,coverage_frac,nms_radius,n_augmentations,t_match_s,n_peaks,max_peak_score,n_after_nms,n_self_hits,seed_self_score,n_detections,max_detection_score,t_postprocess_s,t_total_s,tissue_fraction,tumor_type,mitotic_recall_at_matcher_budget,matcher_budget,budget_delivered
301.tiff,find_and_suppress,14976,rgb,0.2533,35.0,binary,0.0,True,False,164.0,162.0,136.0,29.6,217,0.30414746543778803,2.0,0.02304147465437788,0.09216589861751152,0.11981566820276497,0.11981566820276497,0.15668202764976957,0.2350230414746544,0.2672811059907834,217,66,15,136,109,0.13761467889908258,217,0.30414746543778803,0.24770642201834864,0.5023041474654378,881,163,0.3558282208588957,54,0.14814814814814814,0.5337423312883436,0.4074074074074074,881,109,27,745,136,0.15437003405203817,0.12372304199758942,109,108,27,82,0.0752,29.61,1.0,4.77,891.0,1.0,882.0,1.0,1.0,881.0,0.9043563008308411,0.36,5.2,0.9967,canine cutaneous mast cell tumor,,,
201.tiff,find_and_suppress,4469,rgb,0.2482,51.0,binary,0.0,True,False,7.0,7.0,6.0,30.2,17,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,0,0,49,0.0,17,0.0,0.0,0.0,0,6,0.0,11,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,17,0,49,0.0,30.22,1.0,4.7,1.0,1.0,1.0,1.0,1.0,0.0,,0.27,5.0,0.9287,canine lung cancer,,,
246.tiff,find_and_suppress,6549,rgb,0.2482,51.0,binary,0.0,True,False,100.0,97.0,87.0,30.2,115,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,0,0,0,123,0.0,115,0.0,0.0,0.0,0,99,0.0,16,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,115,0,123,0.0,30.22,1.0,4.06,1.0,1.0,1.0,1.0,1.0,0.0,,0.19,4.3,0.9996,canine lymphosarcoma,,,
405.tiff,find_and_suppress,20562,rgb,0.2482,51.0,binary,0.0,True,False,10.0,10.0,8.0,30.2,13,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,13,19,0.0,13,0.0,0.10526315789473684,0.0,51,9,0.0,4,0.0,0.0,0.0,51,0,2,49,2,0.03921568627374087,0.0,0,13,2,17,0.0045,30.22,1.0,4.24,52.0,1.0,52.0,1.0,1.0,51.0,0.8286733031272888,0.2,4.5,0.7831,canine soft tissue sarcoma,,,
002.tiff,find_and_suppress,18,rgb,0.2269,35.0,binary,0.0,True,False,7.0,7.0,7.0,33.1,8,0.25,2.01,0.0,0.25,0.25,0.25,0.25,0.25,0.25,8,2,0,6,7,0.0,8,0.25,0.14285714285714285,0.25,42,6,0.3333333333333333,2,0.0,0.3333333333333333,0.0,42,2,1,39,3,0.07142857142687076,0.047619047617913836,2,6,1,6,0.0037,33.05,1.0,5.42,43.0,1.0,43.0,1.0,1.0,42.0,0.8080393671989441,0.35,5.8,0.9488,human breast cancer,,,
506.tiff,find_and_suppress,24233,rgb,0.2274,43.0,binary,0.0,True,False,8.0,8.0,8.0,33.0,11,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,0,12,0.0,11,0.0,0.0,0.0,0,7,0.0,4,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,11,0,12,0.0,32.98,1.0,5.95,1.0,1.0,1.0,1.0,1.0,0.0,,0.34,6.3,0.9194,human melanoma,,,
350.tiff,find_and_suppress,18164,rgb,0.2274,41.0,binary,0.0,True,True,4.0,4.0,4.0,33.0,3,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,3,16,0.0,3,0.0,0.0,0.0,4,0,,3,0.0,,0.0,4,0,0,4,0,0.0,0.0,0,3,0,16,0.0003,32.98,1.0,8.11,5.0,1.0,5.0,1.0,1.0,4.0,0.7779251337051392,0.45,8.6,0.9966,human neuroendocrine tumor,,,
301.tiff,find_and_suppress,14976,hematoxylin,0.2533,35.0,binary,0.0,True,False,164.0,162.0,136.0,29.6,217,0.2488479262672811,2.0,0.027649769585253458,0.06912442396313365,0.0967741935483871,0.11981566820276497,0.16129032258064516,0.19815668202764977,0.2304147465437788,217,54,13,150,109,0.11926605504587157,217,0.2488479262672811,0.45871559633027525,0.6129032258064516,2264,163,0.2883435582822086,54,0.12962962962962962,0.6257668711656442,0.5740740740740741,2264,133,50,2081,183,0.0808303886925438,0.05874558303884331,133,84,50,59,0.1877,29.61,1.0,2.24,2298.0,1.0,2265.0,1.0,1.0,2264.0,0.9434542059898376,0.35,2.6,,canine cutaneous mast cell tumor,,,
201.tiff,find_and_suppress,4469,hematoxylin,0.2482,51.0,binary,0.0,True,False,7.0,7.0,6.0,30.2,17,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,0,0,49,0.0,17,0.0,0.0,0.0,0,6,0.0,11,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,17,0,49,0.0,30.22,1.0,2.43,1.0,1.0,1.0,1.0,1.0,0.0,,0.34,2.8,,canine lung cancer,,,
246.tiff,find_and_suppress,6549,hematoxylin,0.2482,51.0,binary,0.0,True,False,100.0,97.0,87.0,30.2,115,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,0,0,0,123,0.0,115,0.0,0.0,0.0,0,99,0.0,16,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,115,0,123,0.0,30.22,1.0,2.1,1.0,0.9999995827674866,1.0,1.0,0.9999995827674866,0.0,,0.3,2.4,,canine lymphosarcoma,,,
