file_name,score_threshold,n_detections,tp,fp_lookalike,fp_unannotated,precision,recall,f1
301.tiff,0.25,16681,216,102,16363,0.0129,0.9954,0.0256
301.tiff,0.4,14708,211,100,14397,0.0143,0.9724,0.0283
301.tiff,0.5,7277,176,77,7024,0.0242,0.8111,0.047
301.tiff,0.6,404,30,7,367,0.0743,0.1382,0.0966
301.tiff,0.7,1,0,0,1,0.0,0.0,0.0
301.tiff,0.8,0,0,0,0,0.0,0.0,0.0
301.tiff,0.9,0,0,0,0,0.0,0.0,0.0
201.tiff,0.25,15349,16,46,15287,0.001,0.9412,0.0021
201.tiff,0.4,12733,15,46,12672,0.0012,0.8824,0.0024
201.tiff,0.5,7653,14,41,7598,0.0018,0.8235,0.0037
201.tiff,0.6,1992,3,19,1970,0.0015,0.1765,0.003
201.tiff,0.7,12,0,0,12,0.0,0.0,0.0
201.tiff,0.8,0,0,0,0,0.0,0.0,0.0
201.tiff,0.9,0,0,0,0,0.0,0.0,0.0
246.tiff,0.25,17443,114,119,17210,0.0065,0.9913,0.013
246.tiff,0.4,6601,98,88,6415,0.0148,0.8522,0.0292
246.tiff,0.5,779,24,16,739,0.0308,0.2087,0.0537
246.tiff,0.6,6,0,0,6,0.0,0.0,0.0
246.tiff,0.7,0,0,0,0,0.0,0.0,0.0
246.tiff,0.8,0,0,0,0,0.0,0.0,0.0
246.tiff,0.9,0,0,0,0,0.0,0.0,0.0
405.tiff,0.25,13658,13,19,13626,0.001,1.0,0.0019
405.tiff,0.4,12099,13,19,12067,0.0011,1.0,0.0021
405.tiff,0.5,9812,13,18,9781,0.0013,1.0,0.0026
405.tiff,0.6,6479,12,16,6451,0.0019,0.9231,0.0037
405.tiff,0.7,2521,4,8,2509,0.0016,0.3077,0.0032
405.tiff,0.8,300,1,1,298,0.0033,0.0769,0.0064
405.tiff,0.9,0,0,0,0,0.0,0.0,0.0
002.tiff,0.25,17118,8,7,17103,0.0005,1.0,0.0009
002.tiff,0.4,10958,8,7,10943,0.0007,1.0,0.0015
002.tiff,0.5,3901,7,6,3888,0.0018,0.875,0.0036
002.tiff,0.6,549,7,2,540,0.0128,0.875,0.0251
002.tiff,0.7,15,1,0,14,0.0667,0.125,0.087
002.tiff,0.8,0,0,0,0,0.0,0.0,0.0
002.tiff,0.9,0,0,0,0,0.0,0.0,0.0
506.tiff,0.25,15829,11,11,15807,0.0007,1.0,0.0014
506.tiff,0.4,13436,11,10,13415,0.0008,1.0,0.0016
506.tiff,0.5,10035,10,8,10017,0.001,0.9091,0.002
506.tiff,0.6,5406,6,5,5395,0.0011,0.5455,0.0022
506.tiff,0.7,1688,2,1,1685,0.0012,0.1818,0.0024
506.tiff,0.8,196,1,0,195,0.0051,0.0909,0.0097
506.tiff,0.9,0,0,0,0,0.0,0.0,0.0
350.tiff,0.25,15145,3,16,15126,0.0002,1.0,0.0004
350.tiff,0.4,11082,3,16,11063,0.0003,1.0,0.0005
350.tiff,0.5,7673,3,14,7656,0.0004,1.0,0.0008
350.tiff,0.6,1780,3,6,1771,0.0017,1.0,0.0034
350.tiff,0.7,82,1,0,81,0.0122,0.3333,0.0235
350.tiff,0.8,0,0,0,0,0.0,0.0,0.0
350.tiff,0.9,0,0,0,0,0.0,0.0,0.0
