subset,arm,K,n,spearman_rho,p_permutation_2000
all ROIs,tm_score,10,14,-0.1526,0.5975
all ROIs,tm_score,20,14,-0.162,0.566
all ROIs,tm_score,30,14,-0.3065,0.285
all ROIs,tm_score,50,14,-0.078,0.803
all ROIs,chromatin_od,10,14,0.0,1.0
all ROIs,chromatin_od,20,14,-0.0223,0.9505
all ROIs,chromatin_od,30,14,0.2082,0.4935
all ROIs,chromatin_od,50,14,-0.3984,0.2175
same_seed only,tm_score,10,11,-0.0427,0.911
same_seed only,tm_score,20,11,0.0667,0.862
same_seed only,tm_score,30,11,-0.1271,0.703
same_seed only,tm_score,50,11,0.2658,0.425
same_seed only,chromatin_od,10,11,0.4104,0.1575
same_seed only,chromatin_od,20,11,0.2046,0.573
same_seed only,chromatin_od,30,11,-0.0135,0.9765
same_seed only,chromatin_od,50,11,-0.5949,0.04
