arm,K,column,notebook,audit,agrees
tm_score,10,mean_delta_same_seed_11,-0.0455,-0.0455,True
tm_score,10,wlt_same_seed_11,3/6/2,3/6/2,True
tm_score,10,exact_p_same_seed_11,0.3125,0.3125,True
tm_score,10,mean_delta_all_14,0.0214,0.0214,True
tm_score,10,wlt_all_14,6/6/2,6/6/2,True
tm_score,10,exact_p_all_14,0.7515,0.7515,True
tm_score,10,spearman_rho_vs_delta_base_size,-0.104,-0.104,True
tm_score,10,spearman_p,0.722,0.722,True
tm_score,20,mean_delta_same_seed_11,-0.0545,-0.0545,True
tm_score,20,wlt_same_seed_11,1/7/3,1/7/3,True
tm_score,20,exact_p_same_seed_11,0.0391,0.0391,True
tm_score,20,mean_delta_all_14,-0.0107,-0.0107,True
tm_score,20,wlt_all_14,4/7/3,4/7/3,True
tm_score,20,exact_p_all_14,0.8145,0.8145,True
tm_score,20,spearman_rho_vs_delta_base_size,-0.11,-0.11,True
tm_score,20,spearman_p,0.709,0.709,True
tm_score,30,mean_delta_same_seed_11,-0.0576,-0.0576,True
tm_score,30,wlt_same_seed_11,2/8/1,2/8/1,True
tm_score,30,exact_p_same_seed_11,0.0957,0.0957,True
tm_score,30,mean_delta_all_14,-0.0214,-0.0214,True
tm_score,30,wlt_all_14,5/8/1,5/8/1,True
tm_score,30,exact_p_all_14,0.551,0.551,True
tm_score,30,spearman_rho_vs_delta_base_size,-0.323,-0.323,True
tm_score,30,spearman_p,0.26,0.26,True
tm_score,50,mean_delta_same_seed_11,-0.0364,-0.0364,True
tm_score,50,wlt_same_seed_11,2/8/1,2/8/1,True
tm_score,50,exact_p_same_seed_11,0.1348,0.1348,True
tm_score,50,mean_delta_all_14,-0.0114,-0.0114,True
tm_score,50,wlt_all_14,5/8/1,5/8/1,True
tm_score,50,exact_p_all_14,0.6702,0.6702,True
tm_score,50,spearman_rho_vs_delta_base_size,-0.025,-0.025,True
tm_score,50,spearman_p,0.933,0.933,True
chromatin_od,10,mean_delta_same_seed_11,-0.0091,-0.0091,True
chromatin_od,10,wlt_same_seed_11,0/1/10,0/1/10,True
chromatin_od,10,exact_p_same_seed_11,1.0,1.0,True
chromatin_od,10,mean_delta_all_14,0.0,0.0,True
chromatin_od,10,wlt_all_14,1/1/12,1/1/12,True
chromatin_od,10,exact_p_all_14,1.0,1.0,True
chromatin_od,10,spearman_rho_vs_delta_base_size,0.0,0.0,True
chromatin_od,10,spearman_p,1.0,1.0,True
chromatin_od,20,mean_delta_same_seed_11,0.0,0.0,True
chromatin_od,20,wlt_same_seed_11,2/1/8,2/1/8,True
chromatin_od,20,exact_p_same_seed_11,1.0,1.0,True
chromatin_od,20,mean_delta_all_14,-0.0036,-0.0036,True
chromatin_od,20,wlt_all_14,2/2/10,2/2/10,True
chromatin_od,20,exact_p_all_14,1.0,1.0,True
chromatin_od,20,spearman_rho_vs_delta_base_size,-0.004,-0.004,True
chromatin_od,20,spearman_p,0.989,0.989,True
chromatin_od,30,mean_delta_same_seed_11,-0.003,-0.003,True
chromatin_od,30,wlt_same_seed_11,1/3/7,1/3/7,True
chromatin_od,30,exact_p_same_seed_11,0.875,0.875,True
chromatin_od,30,mean_delta_all_14,-0.0119,-0.0119,True
chromatin_od,30,wlt_all_14,1/6/7,1/6/7,True
chromatin_od,30,exact_p_all_14,0.2656,0.2656,True
chromatin_od,30,spearman_rho_vs_delta_base_size,0.207,0.207,True
chromatin_od,30,spearman_p,0.477,0.477,True
chromatin_od,50,mean_delta_same_seed_11,0.0073,0.0073,True
chromatin_od,50,wlt_same_seed_11,2/0/9,2/0/9,True
chromatin_od,50,exact_p_same_seed_11,0.5,0.5,True
chromatin_od,50,mean_delta_all_14,0.0057,0.0057,True
chromatin_od,50,wlt_all_14,2/0/12,2/0/12,True
chromatin_od,50,exact_p_all_14,0.5,0.5,True
chromatin_od,50,spearman_rho_vs_delta_base_size,-0.398,-0.398,True
chromatin_od,50,spearman_p,0.158,0.158,True
