file_name,arm,base_size,seed_ann_id,n_retries,n_gt_mitotic,n_detections,n_pre_nms_peaks,n_near_seed_annulus,match_radius_px,anchor_x,anchor_y,anchor_half_pixel,t_s,tp_at_10,precision_at_10,tp_at_20,precision_at_20,tp_at_30,precision_at_30,tp_at_50,precision_at_50
013.tiff,tm_score,39,249,1,17,18412,62536,0,33.139,1711.0,2860.5,True,7.2,6,0.6,6,0.3,7,0.233333,7,0.14
013.tiff,chromatin_od,39,249,1,17,18412,62536,0,33.139,1711.0,2860.5,True,7.3,5,0.5,8,0.4,11,0.366667,13,0.26
094.tiff,tm_score,23,2512,0,81,18813,69995,0,32.63,5557.5,1177.0,True,5.6,5,0.5,9,0.45,15,0.5,21,0.42
094.tiff,chromatin_od,23,2512,0,81,18813,69995,0,32.63,5557.5,1177.0,True,5.6,5,0.5,15,0.75,19,0.633333,32,0.64
201.tiff,tm_score,29,4457,0,17,17139,46192,0,30.222,4092.0,1978.0,False,4.8,4,0.4,5,0.25,5,0.166667,6,0.12
201.tiff,chromatin_od,29,4457,0,17,17139,46192,0,30.222,4092.0,1978.0,False,4.9,3,0.3,6,0.3,9,0.3,11,0.22
233.tiff,tm_score,23,5761,0,17,17900,55954,0,30.222,4419.0,2138.0,False,4.6,4,0.4,6,0.3,7,0.233333,7,0.14
233.tiff,chromatin_od,23,5761,0,17,17900,55954,0,30.222,4419.0,2138.0,False,4.6,5,0.5,10,0.5,10,0.333333,10,0.2
245.tiff,tm_score,23,6317,1,89,17603,62302,0,30.222,4769.0,2186.0,False,4.9,3,0.3,7,0.35,9,0.3,12,0.24
245.tiff,chromatin_od,23,6317,1,89,17603,62302,0,30.222,4769.0,2186.0,False,4.9,2,0.2,3,0.15,4,0.133333,7,0.14
246.tiff,tm_score,27,6548,0,115,17845,54858,0,30.222,3632.5,3619.0,True,4.6,8,0.8,14,0.7,16,0.533333,22,0.44
246.tiff,chromatin_od,27,6548,0,115,17845,54858,0,30.222,3632.5,3619.0,True,4.6,10,1.0,20,1.0,24,0.8,35,0.7
300.tiff,tm_score,25,14499,1,180,17834,44384,0,29.609,1412.0,3555.0,False,4.3,10,1.0,16,0.8,23,0.766667,34,0.68
300.tiff,chromatin_od,25,14499,1,180,17834,44384,0,29.609,1412.0,3555.0,False,4.4,10,1.0,18,0.9,26,0.866667,43,0.86
301.tiff,tm_score,33,14969,0,217,18394,39243,0,29.609,5911.0,3552.5,True,4.3,9,0.9,18,0.9,26,0.866667,41,0.82
301.tiff,chromatin_od,33,14969,0,217,18394,39243,0,29.609,5911.0,3552.5,True,4.3,6,0.6,15,0.75,24,0.8,41,0.82
402.tiff,tm_score,25,20254,0,104,18038,62747,0,33.139,989.0,4915.0,False,5.1,3,0.3,7,0.35,9,0.3,18,0.36
402.tiff,chromatin_od,25,20254,0,104,18038,62747,0,33.139,989.0,4915.0,False,5.1,7,0.7,11,0.55,16,0.533333,23,0.46
403.tiff,tm_score,31,20356,1,52,17626,53746,1,33.06,2225.0,2974.5,True,5.3,4,0.4,5,0.25,8,0.266667,14,0.28
403.tiff,chromatin_od,31,20356,1,52,17626,53746,1,33.06,2225.0,2974.5,True,5.3,4,0.4,10,0.5,13,0.433333,22,0.44
459.tiff,tm_score,31,22441,0,130,17909,40493,0,30.222,1845.0,4002.0,False,4.4,4,0.4,9,0.45,15,0.5,23,0.46
459.tiff,chromatin_od,31,22441,0,130,17909,40493,0,30.222,1845.0,4002.0,False,4.4,9,0.9,17,0.85,25,0.833333,40,0.8
460.tiff,tm_score,41,22577,0,35,16082,24975,0,30.222,5149.0,3996.5,True,5.3,7,0.7,9,0.45,11,0.366667,13,0.26
460.tiff,chromatin_od,41,22577,0,35,16082,24975,0,30.222,5149.0,3996.5,True,5.3,7,0.7,12,0.6,16,0.533333,20,0.4
529.tiff,tm_score,33,24918,0,19,16503,38958,0,33.064,3414.5,2721.5,True,8.3,2,0.2,4,0.2,5,0.166667,6,0.12
529.tiff,chromatin_od,33,24918,0,19,16503,38958,0,33.064,3414.5,2721.5,True,8.3,6,0.6,9,0.45,11,0.366667,11,0.22
548.tiff,tm_score,27,25804,0,238,18117,52285,0,32.975,5163.5,3868.0,True,9.4,4,0.4,9,0.45,15,0.5,30,0.6
548.tiff,chromatin_od,27,25804,0,238,18117,52285,0,32.975,5163.5,3868.0,True,9.5,8,0.8,16,0.8,22,0.733333,38,0.76
