file_name,condition,tpl_cx,tpl_cy,base_size,half_px_x,half_px_y,half_px_any
013.tiff,hem_bbox,1711.0,2860.5,39,False,True,True
013.tiff,gray_bbox,1712.0,2859.5,39,False,True,True
094.tiff,hem_bbox,5557.5,1177.0,23,True,False,True
094.tiff,gray_bbox,5557.5,1178.0,25,True,False,True
201.tiff,hem_bbox,4092.0,1978.0,29,False,False,False
201.tiff,gray_bbox,4097.0,1977.5,51,False,True,True
233.tiff,hem_bbox,4419.0,2138.0,23,False,False,False
233.tiff,gray_bbox,4418.0,2139.0,25,False,False,False
245.tiff,hem_bbox,4769.0,2186.0,23,False,False,False
245.tiff,gray_bbox,4774.0,2184.0,51,False,False,False
246.tiff,hem_bbox,3632.5,3619.0,27,True,False,True
246.tiff,gray_bbox,3627.5,3615.5,41,True,True,True
300.tiff,hem_bbox,1412.0,3555.0,25,False,False,False
300.tiff,gray_bbox,1413.0,3549.5,49,False,True,True
301.tiff,hem_bbox,5911.0,3552.5,33,False,True,True
301.tiff,gray_bbox,5916.5,3548.0,41,True,False,True
402.tiff,hem_bbox,989.0,4915.0,25,False,False,False
402.tiff,gray_bbox,990.0,4915.5,29,False,True,True
403.tiff,hem_bbox,2225.0,2974.5,31,False,True,True
403.tiff,gray_bbox,2227.0,2968.0,51,False,False,False
459.tiff,hem_bbox,1845.0,4002.0,31,False,False,False
459.tiff,gray_bbox,1844.5,4002.5,33,True,True,True
460.tiff,hem_bbox,5149.0,3996.5,41,False,True,True
460.tiff,gray_bbox,5156.0,3997.0,47,False,False,False
529.tiff,hem_bbox,3414.5,2721.5,33,True,True,True
529.tiff,gray_bbox,3415.0,2721.0,37,False,False,False
548.tiff,hem_bbox,5163.5,3868.0,27,True,False,True
548.tiff,gray_bbox,5163.5,3868.5,29,True,True,True
