figure,item,plotted,recomputed,match,note
fig1 cell24,shared colour limit (lim),0.26670000000000005,0.26670000000000005,True,lim is computed over all three arms at once -> panels share the scale
fig1 cell24,300.tiff/tm_score/K=10,+0.10,+0.10,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,300.tiff/tm_score/K=10 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,300.tiff/tm_score/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,300.tiff/tm_score/K=20,-0.05,-0.05,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,300.tiff/tm_score/K=20 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,300.tiff/tm_score/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,300.tiff/tm_score/K=30,-0.07,-0.07,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,300.tiff/tm_score/K=30 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,300.tiff/tm_score/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,300.tiff/tm_score/K=50,-0.18,-0.18,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,300.tiff/tm_score/K=50 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,300.tiff/tm_score/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,300.tiff/chromatin_od/K=10,-0.10,-0.10,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,300.tiff/chromatin_od/K=10 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,300.tiff/chromatin_od/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,300.tiff/chromatin_od/K=20,-0.10,-0.10,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,300.tiff/chromatin_od/K=20 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,300.tiff/chromatin_od/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,300.tiff/chromatin_od/K=30,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,300.tiff/chromatin_od/K=30 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,300.tiff/chromatin_od/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,300.tiff/chromatin_od/K=50,-0.12,-0.12,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,300.tiff/chromatin_od/K=50 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,300.tiff/chromatin_od/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,300.tiff/od_contrast/K=10,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,300.tiff/od_contrast/K=10 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,300.tiff/od_contrast/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,300.tiff/od_contrast/K=20,-0.05,-0.05,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,300.tiff/od_contrast/K=20 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,300.tiff/od_contrast/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,300.tiff/od_contrast/K=30,-0.07,-0.07,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,300.tiff/od_contrast/K=30 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,300.tiff/od_contrast/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,300.tiff/od_contrast/K=50,-0.12,-0.12,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,300.tiff/od_contrast/K=50 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,300.tiff/od_contrast/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,301.tiff/tm_score/K=10,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,301.tiff/tm_score/K=10 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,301.tiff/tm_score/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,301.tiff/tm_score/K=20,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,301.tiff/tm_score/K=20 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,301.tiff/tm_score/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,301.tiff/tm_score/K=30,+0.07,+0.07,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,301.tiff/tm_score/K=30 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,301.tiff/tm_score/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,301.tiff/tm_score/K=50,+0.08,+0.08,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,301.tiff/tm_score/K=50 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,301.tiff/tm_score/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,301.tiff/chromatin_od/K=10,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,301.tiff/chromatin_od/K=10 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,301.tiff/chromatin_od/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,301.tiff/chromatin_od/K=20,-0.05,-0.05,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,301.tiff/chromatin_od/K=20 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,301.tiff/chromatin_od/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,301.tiff/chromatin_od/K=30,-0.03,-0.03,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,301.tiff/chromatin_od/K=30 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,301.tiff/chromatin_od/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,301.tiff/chromatin_od/K=50,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,301.tiff/chromatin_od/K=50 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,301.tiff/chromatin_od/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,301.tiff/od_contrast/K=10,-0.10,-0.10,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,301.tiff/od_contrast/K=10 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,301.tiff/od_contrast/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,301.tiff/od_contrast/K=20,-0.10,-0.10,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,301.tiff/od_contrast/K=20 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,301.tiff/od_contrast/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,301.tiff/od_contrast/K=30,-0.07,-0.07,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,301.tiff/od_contrast/K=30 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,301.tiff/od_contrast/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
