file_name,domain,condition,arm,K,budget_delivered,tp_at_budget,lookalike_at_budget,precision,nb_tp_at_budget,nb_lookalike_at_budget,nb_precision
013.tiff,human breast cancer,hem_bbox,tm_score,10,10,6,1,0.6,6,1,0.6
013.tiff,human breast cancer,hem_bbox,tm_score,20,20,6,4,0.3,6,4,0.3
013.tiff,human breast cancer,hem_bbox,tm_score,30,30,7,5,0.23333333333333334,7,5,0.2333333333333333
013.tiff,human breast cancer,hem_bbox,tm_score,50,50,7,5,0.14,7,5,0.14
013.tiff,human breast cancer,hem_bbox,chromatin_od,10,10,6,2,0.6,6,2,0.6
013.tiff,human breast cancer,hem_bbox,chromatin_od,20,20,9,3,0.45,9,3,0.45
013.tiff,human breast cancer,hem_bbox,chromatin_od,30,30,10,4,0.3333333333333333,10,4,0.3333333333333333
013.tiff,human breast cancer,hem_bbox,chromatin_od,50,50,10,6,0.2,10,6,0.2
013.tiff,human breast cancer,hem_bbox,od_contrast,10,10,5,1,0.5,5,1,0.5
013.tiff,human breast cancer,hem_bbox,od_contrast,20,20,9,3,0.45,9,3,0.45
013.tiff,human breast cancer,hem_bbox,od_contrast,30,30,9,3,0.3,9,3,0.3
013.tiff,human breast cancer,hem_bbox,od_contrast,50,50,10,4,0.2,10,4,0.2
013.tiff,human breast cancer,gray_bbox,tm_score,10,10,6,1,0.6,6,1,0.6
013.tiff,human breast cancer,gray_bbox,tm_score,20,20,6,4,0.3,6,4,0.3
013.tiff,human breast cancer,gray_bbox,tm_score,30,30,7,5,0.23333333333333334,7,5,0.2333333333333333
013.tiff,human breast cancer,gray_bbox,tm_score,50,50,7,5,0.14,7,5,0.14
013.tiff,human breast cancer,gray_bbox,chromatin_od,10,10,6,3,0.6,6,3,0.6
013.tiff,human breast cancer,gray_bbox,chromatin_od,20,20,8,4,0.4,8,4,0.4
013.tiff,human breast cancer,gray_bbox,chromatin_od,30,30,9,5,0.3,9,5,0.3
013.tiff,human breast cancer,gray_bbox,chromatin_od,50,50,9,7,0.18,9,7,0.18
013.tiff,human breast cancer,gray_bbox,od_contrast,10,10,5,2,0.5,5,2,0.5
013.tiff,human breast cancer,gray_bbox,od_contrast,20,20,8,4,0.4,8,4,0.4
013.tiff,human breast cancer,gray_bbox,od_contrast,30,30,8,4,0.26666666666666666,8,4,0.2666666666666666
013.tiff,human breast cancer,gray_bbox,od_contrast,50,50,9,7,0.18,9,7,0.18
094.tiff,human breast cancer,hem_bbox,tm_score,10,10,5,4,0.5,5,4,0.5
094.tiff,human breast cancer,hem_bbox,tm_score,20,20,9,7,0.45,9,7,0.45
094.tiff,human breast cancer,hem_bbox,tm_score,30,30,15,9,0.5,15,9,0.5
094.tiff,human breast cancer,hem_bbox,tm_score,50,50,21,13,0.42,21,13,0.42
094.tiff,human breast cancer,hem_bbox,chromatin_od,10,10,5,5,0.5,5,5,0.5
094.tiff,human breast cancer,hem_bbox,chromatin_od,20,20,14,5,0.7,14,5,0.7
