file_name,domain,condition,mpp,base_size,tpl_cx,tpl_cy,nb_base_size,nb_tpl_cx,nb_tpl_cy,n_peaks_preNMS,n_detections,nb_n_detections,n_near_seed_annulus,self_score,cutoff_score,self_clears_cutoff,otsu_component_area,otsu_component_solidity,seed_ann_id,n_retries,n_gt_mitotic,nb_n_gt_mitotic,match_radius_px,contested
013.tiff,human breast cancer,hem_bbox,0.22632094805310524,39,1711.0,2860.5,39,1711.0,2860.5,100,98,98,0,5.359104156494141,2.1070163249969482,True,934,0.9166,249,1,17,17,33.13877952755905,False
013.tiff,human breast cancer,gray_bbox,0.22632094805310524,39,1712.0,2859.5,39,1712.0,2859.5,100,97,97,0,5.369928359985352,2.1350951194763184,True,998,0.9122,249,1,17,17,33.13877952755905,False
094.tiff,human breast cancer,hem_bbox,0.22984761284250915,23,5557.5,1177.0,23,5557.5,1177.0,100,98,98,0,0.6435686349868774,0.5539761781692505,True,318,0.8983,2512,0,81,81,32.63031496062992,False
094.tiff,human breast cancer,gray_bbox,0.22984761284250915,25,5557.5,1178.0,25,5557.5,1178.0,100,96,96,0,0.8030105829238892,0.6941685080528259,True,399,0.9236,2512,0,81,81,32.63031496062992,False
201.tiff,canine lung cancer,hem_bbox,0.24816562612969095,29,4092.0,1978.0,29,4092.0,1978.0,100,97,97,0,2.3705551624298096,1.5741180181503296,True,347,0.7214,4457,0,17,17,30.221751968503938,False
201.tiff,canine lung cancer,gray_bbox,0.24816562612969095,51,4097.0,1977.5,51,4097.0,1977.5,100,98,98,0,5.448688983917236,3.1740458011627197,True,1592,0.745,4457,0,17,17,30.221751968503938,False
233.tiff,canine lung cancer,hem_bbox,0.24816562612969095,23,4419.0,2138.0,23,4419.0,2138.0,100,96,96,0,1.44805109500885,0.9145077466964722,True,376,0.9447,5761,0,17,17,30.221751968503938,False
233.tiff,canine lung cancer,gray_bbox,0.24816562612969095,25,4418.0,2139.0,25,4418.0,2139.0,100,97,97,0,2.1010196208953857,1.285050392150879,True,429,0.9051,5761,0,17,17,30.221751968503938,False
245.tiff,canine lymphosarcoma,hem_bbox,0.24816562612969095,23,4769.0,2186.0,23,4769.0,2186.0,100,98,98,0,0.37014883756637573,0.3488319516181946,True,296,0.6852,6317,1,89,89,30.221751968503938,False
245.tiff,canine lymphosarcoma,gray_bbox,0.24816562612969095,51,4774.0,2184.0,51,4774.0,2184.0,100,97,97,0,1.8611817359924316,0.8109121918678284,True,1418,0.6529,6317,1,89,89,30.221751968503938,False
246.tiff,canine lymphosarcoma,hem_bbox,0.24816562612969095,27,3632.5,3619.0,27,3632.5,3619.0,100,94,94,0,1.466031789779663,0.8957635760307312,True,265,0.8576,6548,0,115,115,30.221751968503938,False
246.tiff,canine lymphosarcoma,gray_bbox,0.24816562612969095,41,3627.5,3615.5,41,3627.5,3615.5,100,96,96,0,2.1042823791503906,1.1660995483398438,True,495,0.7011,6548,0,115,115,30.221751968503938,False
300.tiff,canine cutaneous mast cell tumor,hem_bbox,0.2533008895448562,25,1412.0,3555.0,25,1412.0,3555.0,100,99,99,0,2.8697710037231445,1.7805918455123901,True,244,0.9173,14499,1,180,180,29.609055118110238,False
300.tiff,canine cutaneous mast cell tumor,gray_bbox,0.2533008895448562,49,1413.0,3549.5,49,1413.0,3549.5,100,99,99,0,4.988482475280762,3.080859422683716,True,1069,0.6186,14499,1,180,180,29.609055118110238,False
301.tiff,canine cutaneous mast cell tumor,hem_bbox,0.2533008895448562,33,5911.0,3552.5,33,5911.0,3552.5,100,99,99,0,1.0174401998519897,0.8704298734664917,True,417,0.5898,14969,0,217,217,29.609055118110238,False
301.tiff,canine cutaneous mast cell tumor,gray_bbox,0.2533008895448562,41,5916.5,3548.0,41,5916.5,3548.0,100,98,98,0,1.4058929681777954,1.0891377925872803,True,647,0.6019,14969,0,217,217,29.609055118110238,False
402.tiff,human neuroendocrine tumor,hem_bbox,0.22632094805310524,25,989.0,4915.0,25,989.0,4915.0,100,98,98,0,10.412586212158203,4.8365559577941895,True,397,0.9211,20254,0,104,104,33.13877952755905,False
402.tiff,human neuroendocrine tumor,gray_bbox,0.22632094805310524,29,990.0,4915.5,29,990.0,4915.5,100,98,98,0,15.119284629821777,7.717348098754883,True,565,0.9432,20254,0,104,104,33.13877952755905,False
403.tiff,human neuroendocrine tumor,hem_bbox,0.22686065932495555,31,2225.0,2974.5,31,2225.0,2974.5,100,95,95,0,8.400915145874023,4.55992317199707,True,505,0.8574,20356,1,52,52,33.059940944881895,False
403.tiff,human neuroendocrine tumor,gray_bbox,0.22686065932495555,51,2227.0,2968.0,51,2227.0,2968.0,100,98,98,0,19.173242568969727,9.710214614868164,True,1415,0.8328,20356,1,52,52,33.059940944881895,False
459.tiff,canine soft tissue sarcoma,hem_bbox,0.24816562612969095,31,1845.0,4002.0,31,1845.0,4002.0,100,99,99,0,4.681721210479736,2.4190175533294678,True,606,0.8899,22441,0,130,130,30.221751968503938,False
459.tiff,canine soft tissue sarcoma,gray_bbox,0.24816562612969095,33,1844.5,4002.5,33,1844.5,4002.5,100,99,99,0,5.6532816886901855,3.051246404647827,True,652,0.8763,22441,0,130,130,30.221751968503938,False
460.tiff,canine soft tissue sarcoma,hem_bbox,0.24816562612969095,41,5149.0,3996.5,41,5149.0,3996.5,100,99,99,0,9.501321792602539,5.203348159790039,True,645,0.8453,22577,0,35,35,30.221751968503938,False
460.tiff,canine soft tissue sarcoma,gray_bbox,0.24816562612969095,47,5156.0,3997.0,47,5156.0,3997.0,100,99,99,0,11.112224578857422,5.72230863571167,True,1338,0.7871,22577,0,35,35,30.221751968503938,False
529.tiff,human melanoma,hem_bbox,0.2268329263261596,33,3414.5,2721.5,33,3414.5,2721.5,100,96,96,0,3.7249162197113037,2.4887139797210693,True,500,0.7062,24918,0,19,19,33.0639829123214,False
529.tiff,human melanoma,gray_bbox,0.2268329263261596,37,3415.0,2721.0,37,3415.0,2721.0,100,97,97,0,4.543087482452393,2.9401707649230957,True,672,0.6993,24918,0,19,19,33.0639829123214,False
548.tiff,human melanoma,hem_bbox,0.22744294261267478,27,5163.5,3868.0,27,5163.5,3868.0,100,98,98,0,6.716451168060303,4.435222625732422,True,497,0.9431,25804,0,238,238,32.975303229224245,False
548.tiff,human melanoma,gray_bbox,0.22744294261267478,29,5163.5,3868.5,29,5163.5,3868.5,100,98,98,0,8.672785758972168,5.569162368774414,True,589,0.9469,25804,0,238,238,32.975303229224245,False
