file_name,domain,arm,base_size,seed_ann_id,n_retries,n_gt_mitotic,n_detections,match_radius_px,full_list_recall,tp_at_10,precision_at_10,tp_at_20,precision_at_20,tp_at_30,precision_at_30,tp_at_50,precision_at_50
013.tiff,human breast cancer,tm_score,39,249,1,17,18412,33.139,1.0,6,0.6,6,0.3,7,0.2333,7,0.14
013.tiff,human breast cancer,chromatin_od,39,249,1,17,18412,33.139,1.0,5,0.5,8,0.4,11,0.3667,13,0.26
094.tiff,human breast cancer,tm_score,23,2512,0,81,18813,32.63,1.0,5,0.5,9,0.45,15,0.5,21,0.42
094.tiff,human breast cancer,chromatin_od,23,2512,0,81,18813,32.63,1.0,5,0.5,15,0.75,19,0.6333,32,0.64
201.tiff,canine lung cancer,tm_score,29,4457,0,17,17139,30.222,1.0,4,0.4,5,0.25,5,0.1667,6,0.12
201.tiff,canine lung cancer,chromatin_od,29,4457,0,17,17139,30.222,1.0,3,0.3,6,0.3,9,0.3,11,0.22
233.tiff,canine lung cancer,tm_score,23,5761,0,17,17900,30.222,1.0,4,0.4,6,0.3,7,0.2333,7,0.14
233.tiff,canine lung cancer,chromatin_od,23,5761,0,17,17900,30.222,1.0,5,0.5,10,0.5,10,0.3333,10,0.2
245.tiff,canine lymphosarcoma,tm_score,23,6317,1,89,17603,30.222,0.988764,3,0.3,7,0.35,9,0.3,12,0.24
245.tiff,canine lymphosarcoma,chromatin_od,23,6317,1,89,17603,30.222,0.988764,2,0.2,3,0.15,4,0.1333,7,0.14
246.tiff,canine lymphosarcoma,tm_score,27,6548,0,115,17845,30.222,1.0,8,0.8,14,0.7,16,0.5333,22,0.44
246.tiff,canine lymphosarcoma,chromatin_od,27,6548,0,115,17845,30.222,1.0,10,1.0,20,1.0,24,0.8,35,0.7
300.tiff,canine cutaneous mast cell tumor,tm_score,25,14499,1,180,17834,29.609,1.0,10,1.0,16,0.8,23,0.7667,34,0.68
300.tiff,canine cutaneous mast cell tumor,chromatin_od,25,14499,1,180,17834,29.609,1.0,10,1.0,18,0.9,26,0.8667,43,0.86
301.tiff,canine cutaneous mast cell tumor,tm_score,33,14969,0,217,18394,29.609,1.0,9,0.9,18,0.9,26,0.8667,41,0.82
301.tiff,canine cutaneous mast cell tumor,chromatin_od,33,14969,0,217,18394,29.609,1.0,6,0.6,15,0.75,24,0.8,41,0.82
402.tiff,human neuroendocrine tumor,tm_score,25,20254,0,104,18038,33.139,1.0,3,0.3,7,0.35,9,0.3,18,0.36
402.tiff,human neuroendocrine tumor,chromatin_od,25,20254,0,104,18038,33.139,1.0,7,0.7,11,0.55,16,0.5333,23,0.46
403.tiff,human neuroendocrine tumor,tm_score,31,20356,1,52,17626,33.06,1.0,4,0.4,5,0.25,8,0.2667,14,0.28
403.tiff,human neuroendocrine tumor,chromatin_od,31,20356,1,52,17626,33.06,1.0,4,0.4,10,0.5,13,0.4333,22,0.44
459.tiff,canine soft tissue sarcoma,tm_score,31,22441,0,130,17909,30.222,1.0,4,0.4,9,0.45,15,0.5,23,0.46
459.tiff,canine soft tissue sarcoma,chromatin_od,31,22441,0,130,17909,30.222,1.0,9,0.9,17,0.85,25,0.8333,40,0.8
460.tiff,canine soft tissue sarcoma,tm_score,41,22577,0,35,16082,30.222,1.0,7,0.7,9,0.45,11,0.3667,13,0.26
460.tiff,canine soft tissue sarcoma,chromatin_od,41,22577,0,35,16082,30.222,1.0,7,0.7,12,0.6,16,0.5333,20,0.4
529.tiff,human melanoma,tm_score,33,24918,0,19,16503,33.064,1.0,2,0.2,4,0.2,5,0.1667,6,0.12
529.tiff,human melanoma,chromatin_od,33,24918,0,19,16503,33.064,1.0,6,0.6,9,0.45,11,0.3667,11,0.22
548.tiff,human melanoma,tm_score,27,25804,0,238,18117,32.975,1.0,4,0.4,9,0.45,15,0.5,30,0.6
548.tiff,human melanoma,chromatin_od,27,25804,0,238,18117,32.975,1.0,8,0.8,16,0.8,22,0.7333,38,0.76
