file_name,method,seed_ann_id,channel,mpp,tightened_base_size,bbox_method,bbox_center_tolerance,tighten_bbox,seed_agreement_flagged,seed_n_agreement_pool,seed_n_after_border,seed_n_after_foreground,match_radius_px,n_gt_mitotic_eval,recall_at_k,roi_area_mm2,sens@1fp_mm2,sens@2fp_mm2,sens@4fp_mm2,sens@8fp_mm2,sens@16fp_mm2,sens@32fp_mm2,sens@64fp_mm2,k,topk_tp,topk_fp_lookalike,topk_fp_unannotated,n_lookalike_gt,lookalike_attraction_at_k,n_mitotic_gt,mitotic_recall_at_k,lookalike_attraction,mitotic_recall,n_detections_total,n_unanimous,recall_unanimous_at_k,n_contested,recall_contested_at_k,recall_unanimous,recall_contested,all_n_detections,all_tp,all_fp_lookalike,all_fp_unannotated,all_matched_any_gt,all_matched_frac,all_precision_mitotic,all_mitotic_gt_found,all_mitotic_gt_missed,all_lookalike_gt_found,all_lookalike_gt_missed,coverage_frac,nms_radius,n_augmentations,t_match_s,n_peaks,max_peak_score,n_after_nms,n_self_hits,seed_self_score,n_detections,max_detection_score,t_postprocess_s,t_total_s,tissue_fraction,tumor_type,mitotic_recall_at_matcher_budget,matcher_budget,budget_delivered
301.tiff,find_and_suppress,14976,rgb,0.2533,35.0,binary,0.0,True,False,164.0,162.0,136.0,29.6,217,0.30414746543778803,2.0,0.02304147465437788,0.09216589861751152,0.11981566820276497,0.11981566820276497,0.15668202764976957,0.2350230414746544,0.2672811059907834,217,66,15,136,109,0.13761467889908258,217,0.30414746543778803,0.9174311926605505,0.9493087557603687,13353,163,0.3558282208588957,54,0.14814814814814814,0.950920245398773,0.9444444444444444,13353,206,100,13047,306,0.02291619860705288,0.015427244813898342,206,11,100,9,0.8357,29.61,1.0,80.58,16236.0,1.0,13354.0,1.0,1.0,13353.0,0.9043563008308411,7.22,88.5,0.9967,canine cutaneous mast cell tumor,,,
301.tiff,nucleus_blobs,-1,hematoxylin,0.2533,,,,,,,,,29.6,217,0.5944700460829493,2.0,0.009216589861751152,0.09216589861751152,0.18433179723502305,0.2304147465437788,0.3824884792626728,0.511520737327189,0.6405529953917051,217,129,32,56,109,0.29357798165137616,217,0.5944700460829493,0.981651376146789,1.0,20370,163,0.6380368098159509,54,0.46296296296296297,1.0,1.0,20370,217,107,20046,324,0.015905743740794506,0.01065292096219879,217,0,107,2,0.9359,,,,,,,,,,,,,0.9967,canine cutaneous mast cell tumor,1.0,13353.0,13353.0
301.tiff,random_in_tissue,-1,-,0.2533,,,,,,,,,29.6,217,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217,0,4,213,109,0.03669724770642202,217,0.0,0.7247706422018348,0.7050691244239631,13353,163,0.0,54,0.0,0.7423312883435583,0.5925925925925926,13353,153,79,13121,232,0.017374372800118523,0.01145809930352644,153,64,79,30,0.6905,,,,,,,,,,,,,0.9967,canine cutaneous mast cell tumor,,,
201.tiff,find_and_suppress,4469,rgb,0.2482,51.0,binary,0.0,True,False,7.0,7.0,6.0,30.2,17,0.11764705882352941,2.0,0.0,0.0,0.0,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.17647058823529413,17,2,2,13,49,0.04081632653061224,17,0.11764705882352941,0.061224489795918366,0.17647058823529413,127,6,0.0,11,0.18181818181818182,0.16666666666666666,0.18181818181818182,127,3,3,121,6,0.047244094487816975,0.023622047243908487,3,14,3,46,0.0111,30.22,1.0,113.25,129.0,1.0,128.0,1.0,1.0,127.0,0.6358758807182312,5.73,119.2,0.9287,canine lung cancer,,,
201.tiff,nucleus_blobs,-1,hematoxylin,0.2482,,,,,,,,,30.2,17,0.23529411764705882,2.0,0.0,0.058823529411764705,0.11764705882352941,0.35294117647058826,0.4117647058823529,0.47058823529411764,0.5294117647058824,17,4,3,10,49,0.061224489795918366,17,0.23529411764705882,0.7551020408163265,0.8823529411764706,12446,6,0.3333333333333333,11,0.18181818181818182,0.8333333333333334,0.9090909090909091,12446,15,37,12394,52,0.00417804917242454,0.0012052064920455403,15,2,37,12,0.7577,,,,,,,,,,,,,0.9287,canine lung cancer,0.5294117647058824,127.0,127.0
201.tiff,random_in_tissue,-1,-,0.2482,,,,,,,,,30.2,17,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,1,16,49,0.02040816326530612,17,0.0,0.02040816326530612,0.0,127,6,0.0,11,0.0,0.0,0.0,127,0,1,126,1,0.007874015747969495,0.0,0,17,1,48,0.0111,,,,,,,,,,,,,0.9287,canine lung cancer,,,
246.tiff,find_and_suppress,6549,rgb,0.2482,51.0,binary,0.0,True,False,100.0,97.0,87.0,30.2,115,0.017391304347826087,2.0,0.017391304347826087,0.017391304347826087,0.017391304347826087,0.017391304347826087,0.017391304347826087,0.017391304347826087,0.017391304347826087,115,2,0,3,123,0.0,115,0.017391304347826087,0.0,0.017391304347826087,5,99,0.020202020202020204,16,0.0,0.020202020202020204,0.0,5,2,0,3,2,0.39999999992,0.39999999992,2,113,0,123,0.0005,30.22,1.0,33.38,6.0,1.0,6.0,1.0,1.0,5.0,0.5986713767051697,1.01,34.4,0.9996,canine lymphosarcoma,,,
246.tiff,nucleus_blobs,-1,hematoxylin,0.2482,,,,,,,,,30.2,115,0.33043478260869563,2.0,0.008695652173913044,0.02608695652173913,0.034782608695652174,0.12173913043478261,0.20869565217391303,0.2956521739130435,0.4434782608695652,115,38,16,61,123,0.13008130081300814,115,0.33043478260869563,1.0,0.9652173913043478,21059,99,0.36363636363636365,16,0.125,0.9696969696969697,0.9375,21059,111,123,20825,234,0.011111638729283864,0.0052709055510705505,111,4,123,0,0.9166,,,,,,,,,,,,,0.9996,canine lymphosarcoma,0.02608695652173913,5.0,5.0
246.tiff,random_in_tissue,-1,-,0.2482,,,,,,,,,30.2,115,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,0,0,5,123,0.0,115,0.0,0.0,0.0,5,99,0.0,16,0.0,0.0,0.0,5,0,0,5,0,0.0,0.0,0,115,0,123,0.0004,,,,,,,,,,,,,0.9996,canine lymphosarcoma,,,
405.tiff,find_and_suppress,20562,rgb,0.2482,51.0,binary,0.0,True,False,10.0,10.0,8.0,30.2,13,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.3076923076923077,13,0,0,13,19,0.0,13,0.0,0.7894736842105263,1.0,4479,9,0.0,4,0.0,1.0,1.0,4479,13,15,4451,28,0.006251395400757702,0.0029024335789232187,13,0,15,4,0.3723,30.22,1.0,8.81,4669.0,1.0,4480.0,1.0,1.0,4479.0,0.8286733031272888,0.4,9.2,0.7831,canine soft tissue sarcoma,,,
