channel,tumor_type,n_tp,n_remaining,median_tp,p10_tp,median_remaining,p90_remaining,p99_remaining,max_remaining
hematoxylin,canine cutaneous mast cell tumor,212.0,14216.0,0.779,0.636,0.658,0.77,0.845,0.93
hematoxylin,canine lung cancer,10.0,503.0,0.569,0.522,0.531,0.589,0.649,0.674
hematoxylin,canine lymphosarcoma,14.0,21.0,0.524,0.506,0.526,0.557,0.579,0.584
hematoxylin,canine soft tissue sarcoma,13.0,6211.0,0.662,0.604,0.623,0.725,0.779,0.844
hematoxylin,human breast cancer,6.0,4586.0,0.691,0.588,0.578,0.693,0.78,0.841
hematoxylin,human melanoma,6.0,3895.0,0.606,0.575,0.565,0.655,0.724,0.782
hematoxylin,human neuroendocrine tumor,2.0,3613.0,0.656,0.632,0.551,0.637,0.721,0.796
rgb,canine cutaneous mast cell tumor,206.0,13147.0,0.758,0.627,0.633,0.732,0.799,0.897
rgb,canine lung cancer,3.0,124.0,0.559,0.513,0.518,0.56,0.602,0.636
rgb,canine lymphosarcoma,2.0,3.0,0.563,0.535,0.508,0.529,0.533,0.534
rgb,canine soft tissue sarcoma,13.0,4466.0,0.622,0.539,0.58,0.677,0.753,0.829
rgb,human breast cancer,7.0,3614.0,0.679,0.532,0.562,0.671,0.753,0.808
rgb,human melanoma,5.0,2062.0,0.541,0.523,0.544,0.615,0.678,0.736
rgb,human neuroendocrine tumor,1.0,1939.0,0.612,0.612,0.542,0.618,0.707,0.778
