file_name,tumor_type,arm,threshold,base_size,n_detections,n_gt_mitotic,mitotic_recall,recall_at_k,all_tp,all_fp_lookalike,all_fp_unannotated,fp_per_tp,coverage_frac,floor_limited
301.tiff,canine cutaneous mast cell tumor,A_fixed_0.5,score>=0.5,35,13353,217,0.9493087557603687,0.30414746543778803,206,100,13047,63.3,0.8357,False
301.tiff,canine cutaneous mast cell tumor,B_z3,score>=0.888,35,6,217,0.02304147465437788,0.02304147465437788,5,1,0,0.0,0.0005,False
301.tiff,canine cutaneous mast cell tumor,C_z3_od,score>=0.888,35,6,217,0.02304147465437788,0.02304147465437788,5,1,0,0.0,0.0005,False
301.tiff,canine cutaneous mast cell tumor,B_z2.5,score>=0.737,35,1258,217,0.543778801843318,0.30414746543778803,118,32,1108,9.4,0.1066,False
301.tiff,canine cutaneous mast cell tumor,C_z2.5_od,score>=0.737,35,1258,217,0.543778801843318,0.4838709677419355,118,32,1108,9.4,0.1066,False
301.tiff,canine cutaneous mast cell tumor,B_z2,score>=0.586,35,9647,217,0.9032258064516129,0.30414746543778803,196,90,9361,47.8,0.6696,False
301.tiff,canine cutaneous mast cell tumor,C_z2_od,score>=0.586,35,9647,217,0.9032258064516129,0.5576036866359447,196,90,9361,47.8,0.6696,False
301.tiff,canine cutaneous mast cell tumor,B_z1.5,score>=0.434,35,14983,217,0.9815668202764977,0.30414746543778803,213,102,14668,68.9,0.8919,False
301.tiff,canine cutaneous mast cell tumor,C_z1.5_od,score>=0.434,35,14983,217,0.9815668202764977,0.5483870967741935,213,102,14668,68.9,0.8919,False
301.tiff,canine cutaneous mast cell tumor,B_z1,score>=0.283,35,16558,217,0.9815668202764977,0.30414746543778803,213,104,16241,76.2,0.9336,False
301.tiff,canine cutaneous mast cell tumor,C_z1_od,score>=0.283,35,16558,217,0.9815668202764977,0.543778801843318,213,104,16241,76.2,0.9336,False
201.tiff,canine lung cancer,A_fixed_0.5,score>=0.5,51,127,17,0.17647058823529413,0.11764705882352941,3,3,121,40.3,0.0111,False
201.tiff,canine lung cancer,B_z3,score>=0.418,51,952,17,0.47058823529411764,0.11764705882352941,8,22,922,115.2,0.082,False
201.tiff,canine lung cancer,C_z3_od,score>=0.418,51,952,17,0.47058823529411764,0.35294117647058826,8,22,922,115.2,0.082,False
201.tiff,canine lung cancer,B_z2.5,score>=0.349,51,3133,17,0.7058823529411765,0.11764705882352941,12,36,3085,257.1,0.2578,False
201.tiff,canine lung cancer,C_z2.5_od,score>=0.349,51,3133,17,0.7058823529411765,0.47058823529411764,12,36,3085,257.1,0.2578,False
201.tiff,canine lung cancer,B_z2,score>=0.279,51,7251,17,0.8235294117647058,0.11764705882352941,14,42,7195,513.9,0.5491,False
201.tiff,canine lung cancer,C_z2_od,score>=0.279,51,7251,17,0.8235294117647058,0.35294117647058826,14,42,7195,513.9,0.5491,False
201.tiff,canine lung cancer,B_z1.5,score>=0.210,51,9227,17,0.8823529411764706,0.11764705882352941,15,45,9167,611.1,0.6652,True
201.tiff,canine lung cancer,C_z1.5_od,score>=0.210,51,9227,17,0.8823529411764706,0.35294117647058826,15,45,9167,611.1,0.6652,True
201.tiff,canine lung cancer,B_z1,score>=0.140,51,9227,17,0.8823529411764706,0.11764705882352941,15,45,9167,611.1,0.6652,True
201.tiff,canine lung cancer,C_z1_od,score>=0.140,51,9227,17,0.8823529411764706,0.35294117647058826,15,45,9167,611.1,0.6652,True
246.tiff,canine lymphosarcoma,A_fixed_0.5,score>=0.5,51,5,115,0.017391304347826087,0.017391304347826087,2,0,3,1.5,0.0005,False
246.tiff,canine lymphosarcoma,B_z3,score>=0.331,51,1745,115,0.4956521739130435,0.1391304347826087,57,33,1655,29.0,0.1483,False
246.tiff,canine lymphosarcoma,C_z3_od,score>=0.331,51,1745,115,0.4956521739130435,0.4434782608695652,57,33,1655,29.0,0.1483,False
246.tiff,canine lymphosarcoma,B_z2.5,score>=0.276,51,4951,115,0.7304347826086957,0.1391304347826087,84,59,4808,57.2,0.3965,False
246.tiff,canine lymphosarcoma,C_z2.5_od,score>=0.276,51,4951,115,0.7304347826086957,0.5478260869565217,84,59,4808,57.2,0.3965,False
246.tiff,canine lymphosarcoma,B_z2,score>=0.221,51,7058,115,0.8173913043478261,0.1391304347826087,94,73,6891,73.3,0.5394,True
246.tiff,canine lymphosarcoma,C_z2_od,score>=0.221,51,7058,115,0.8173913043478261,0.5478260869565217,94,73,6891,73.3,0.5394,True
246.tiff,canine lymphosarcoma,B_z1.5,score>=0.165,51,7058,115,0.8173913043478261,0.1391304347826087,94,73,6891,73.3,0.5394,True
246.tiff,canine lymphosarcoma,C_z1.5_od,score>=0.165,51,7058,115,0.8173913043478261,0.5478260869565217,94,73,6891,73.3,0.5394,True
246.tiff,canine lymphosarcoma,B_z1,score>=0.110,51,7058,115,0.8173913043478261,0.1391304347826087,94,73,6891,73.3,0.5394,True
246.tiff,canine lymphosarcoma,C_z1_od,score>=0.110,51,7058,115,0.8173913043478261,0.5478260869565217,94,73,6891,73.3,0.5394,True
405.tiff,canine soft tissue sarcoma,A_fixed_0.5,score>=0.5,51,4479,13,1.0,0.0,13,15,4451,342.4,0.3723,False
405.tiff,canine soft tissue sarcoma,B_z3,score>=0.706,51,197,13,0.3076923076923077,0.0,4,3,190,47.5,0.0174,False
405.tiff,canine soft tissue sarcoma,C_z3_od,score>=0.706,51,197,13,0.3076923076923077,0.07692307692307693,4,3,190,47.5,0.0174,False
405.tiff,canine soft tissue sarcoma,B_z2.5,score>=0.584,51,2126,13,0.6923076923076923,0.0,9,10,2107,234.1,0.1826,False
405.tiff,canine soft tissue sarcoma,C_z2.5_od,score>=0.584,51,2126,13,0.6923076923076923,0.38461538461538464,9,10,2107,234.1,0.1826,False
405.tiff,canine soft tissue sarcoma,B_z2,score>=0.463,51,5552,13,1.0,0.0,13,16,5523,424.8,0.4522,False
405.tiff,canine soft tissue sarcoma,C_z2_od,score>=0.463,51,5552,13,1.0,0.46153846153846156,13,16,5523,424.8,0.4522,False
405.tiff,canine soft tissue sarcoma,B_z1.5,score>=0.341,51,8617,13,1.0,0.0,13,19,8585,660.4,0.6586,False
405.tiff,canine soft tissue sarcoma,C_z1.5_od,score>=0.341,51,8617,13,1.0,0.46153846153846156,13,19,8585,660.4,0.6586,False
405.tiff,canine soft tissue sarcoma,B_z1,score>=0.220,51,10378,13,1.0,0.0,13,19,10346,795.8,0.7552,True
405.tiff,canine soft tissue sarcoma,C_z1_od,score>=0.220,51,10378,13,1.0,0.46153846153846156,13,19,10346,795.8,0.7552,True
002.tiff,human breast cancer,A_fixed_0.5,score>=0.5,35,3621,8,0.875,0.25,7,6,3608,515.4,0.2893,False
002.tiff,human breast cancer,B_z3,score>=0.552,35,2095,8,0.625,0.25,5,4,2086,417.2,0.1735,False
002.tiff,human breast cancer,C_z3_od,score>=0.552,35,2095,8,0.625,0.375,5,4,2086,417.2,0.1735,False
002.tiff,human breast cancer,B_z2.5,score>=0.458,35,5206,8,1.0,0.25,8,6,5192,649.0,0.4017,False
002.tiff,human breast cancer,C_z2.5_od,score>=0.458,35,5206,8,1.0,0.5,8,6,5192,649.0,0.4017,False
002.tiff,human breast cancer,B_z2,score>=0.364,35,9297,8,1.0,0.25,8,6,9283,1160.4,0.6533,False
002.tiff,human breast cancer,C_z2_od,score>=0.364,35,9297,8,1.0,0.375,8,6,9283,1160.4,0.6533,False
002.tiff,human breast cancer,B_z1.5,score>=0.270,35,13179,8,1.0,0.25,8,7,13164,1645.5,0.8339,False
002.tiff,human breast cancer,C_z1.5_od,score>=0.270,35,13179,8,1.0,0.375,8,7,13164,1645.5,0.8339,False
002.tiff,human breast cancer,B_z1,score>=0.177,35,13892,8,1.0,0.25,8,7,13877,1734.6,0.8608,True
002.tiff,human breast cancer,C_z1_od,score>=0.177,35,13892,8,1.0,0.375,8,7,13877,1734.6,0.8608,True
506.tiff,human melanoma,A_fixed_0.5,score>=0.5,43,2067,11,0.45454545454545453,0.09090909090909091,5,4,2058,411.6,0.1683,False
506.tiff,human melanoma,B_z3,score>=0.468,43,3027,11,0.45454545454545453,0.09090909090909091,5,6,3016,603.2,0.2405,False
506.tiff,human melanoma,C_z3_od,score>=0.468,43,3027,11,0.45454545454545453,0.18181818181818182,5,6,3016,603.2,0.2405,False
506.tiff,human melanoma,B_z2.5,score>=0.388,43,6101,11,1.0,0.09090909090909091,11,10,6080,552.7,0.4496,False
506.tiff,human melanoma,C_z2.5_od,score>=0.388,43,6101,11,1.0,0.18181818181818182,11,10,6080,552.7,0.4496,False
506.tiff,human melanoma,B_z2,score>=0.309,43,9720,11,1.0,0.09090909090909091,11,11,9698,881.6,0.6553,False
506.tiff,human melanoma,C_z2_od,score>=0.309,43,9720,11,1.0,0.18181818181818182,11,11,9698,881.6,0.6553,False
506.tiff,human melanoma,B_z1.5,score>=0.230,43,12320,11,1.0,0.09090909090909091,11,11,12298,1118.0,0.7748,True
506.tiff,human melanoma,C_z1.5_od,score>=0.230,43,12320,11,1.0,0.18181818181818182,11,11,12298,1118.0,0.7748,True
506.tiff,human melanoma,B_z1,score>=0.150,43,12320,11,1.0,0.09090909090909091,11,11,12298,1118.0,0.7748,True
506.tiff,human melanoma,C_z1_od,score>=0.150,43,12320,11,1.0,0.18181818181818182,11,11,12298,1118.0,0.7748,True
350.tiff,human neuroendocrine tumor,A_fixed_0.5,score>=0.5,41,1940,3,0.3333333333333333,0.0,1,7,1932,1932.0,0.1605,False
350.tiff,human neuroendocrine tumor,B_z3,score>=0.493,41,2148,3,0.3333333333333333,0.0,1,7,2140,2140.0,0.1768,False
350.tiff,human neuroendocrine tumor,C_z3_od,score>=0.493,41,2148,3,0.3333333333333333,0.0,1,7,2140,2140.0,0.1768,False
350.tiff,human neuroendocrine tumor,B_z2.5,score>=0.409,41,5919,3,0.6666666666666666,0.0,2,13,5904,2952.0,0.4493,False
350.tiff,human neuroendocrine tumor,C_z2.5_od,score>=0.409,41,5919,3,0.6666666666666666,0.0,2,13,5904,2952.0,0.4493,False
350.tiff,human neuroendocrine tumor,B_z2,score>=0.324,41,9949,3,1.0,0.0,3,13,9933,3311.0,0.6885,False
350.tiff,human neuroendocrine tumor,C_z2_od,score>=0.324,41,9949,3,1.0,0.0,3,13,9933,3311.0,0.6885,False
350.tiff,human neuroendocrine tumor,B_z1.5,score>=0.240,41,12481,3,1.0,0.0,3,16,12462,4154.0,0.8043,True
350.tiff,human neuroendocrine tumor,C_z1.5_od,score>=0.240,41,12481,3,1.0,0.0,3,16,12462,4154.0,0.8043,True
350.tiff,human neuroendocrine tumor,B_z1,score>=0.155,41,12481,3,1.0,0.0,3,16,12462,4154.0,0.8043,True
350.tiff,human neuroendocrine tumor,C_z1_od,score>=0.155,41,12481,3,1.0,0.0,3,16,12462,4154.0,0.8043,True
