rank,cx,cy,score,od,bucket,matched_ann_id,matched_category,file_name
0,1659.0,2097.0,0.79627466,0.18441003561019897,human_correct_label,14839,1,301.tiff
1,6184.0,1383.0,0.783272,0.1787782907485962,human_correct_label,14824,1,301.tiff
2,1924.0,3636.0,0.7564434,0.17414456605911255,human_correct_label,14934,1,301.tiff
3,2516.0,747.0,0.8217788,0.17041511833667755,human_correct_label,14737,1,301.tiff
4,3994.0,4325.0,0.7952361,0.17001548409461975,human_correct_label,14999,1,301.tiff
5,495.0,2599.0,0.7759879,0.16985146701335907,human_correct_label,14878,1,301.tiff
6,4724.0,1207.0,0.82298714,0.16819880902767181,human_correct_label,14814,1,301.tiff
7,3379.0,1917.0,0.82288355,0.16806122660636902,human_correct_label,14852,1,301.tiff
8,4573.0,1589.0,0.81341654,0.16739806532859802,human_correct_label,14813,1,301.tiff
9,5629.0,4445.0,0.79742026,0.16726171970367432,human_correct_label,15011,1,301.tiff
10,1542.0,4761.0,0.75359863,0.1671675741672516,non_human_findings,-1,0,301.tiff
11,4913.0,1331.0,0.7850467,0.16698163747787476,human_correct_label,14816,1,301.tiff
12,5176.0,2095.0,0.7837413,0.1667468398809433,human_correct_label,14866,1,301.tiff
13,3765.0,4436.0,0.76237214,0.16557088494300842,human_correct_label,14995,1,301.tiff
14,197.0,1581.0,0.79817414,0.16521793603897095,human_correct_label,14784,1,301.tiff
15,2465.0,3553.0,0.8985865,0.16431938111782074,human_correct_label,14937,1,301.tiff
16,6398.0,4183.0,0.8142305,0.16364407539367676,human_correct_label,15017,1,301.tiff
17,1134.0,543.0,0.7389558,0.16364336013793945,human_correct_label,14730,1,301.tiff
18,5087.0,3751.0,0.79794985,0.16313616931438446,human_correct_label,14960,1,301.tiff
19,5415.0,4444.0,0.7939884,0.16313546895980835,human_correct_label,15014,1,301.tiff
20,1476.0,2343.0,0.77957326,0.16279329359531403,human_correct_label,14833,1,301.tiff
21,4427.0,3442.0,0.73942405,0.16140678524971008,human_correct_label,14957,1,301.tiff
22,2661.0,2453.0,0.8662797,0.161229208111763,human_correct_label,14849,1,301.tiff
23,6137.0,4224.0,0.75977004,0.16111600399017334,human_correct_label,15018,1,301.tiff
24,4169.0,4480.0,0.89472574,0.16062581539154053,human_correct_label,14997,1,301.tiff
25,1928.0,4427.0,0.7590242,0.159669429063797,human_correct_label,15051,1,301.tiff
26,4906.0,208.0,0.8897709,0.15945285558700562,human_correct_label,14762,1,301.tiff
27,2455.0,1363.0,0.7734128,0.15834476053714752,human_correct_label,14796,1,301.tiff
28,1455.0,546.0,0.7943304,0.15827400982379913,human_correct_label,14731,1,301.tiff
29,6166.0,1304.0,0.8581927,0.15805967152118683,human_correct_label,14825,1,301.tiff
30,253.0,2965.0,0.7461978,0.15734998881816864,non_human_findings,-1,0,301.tiff
31,5545.0,130.0,0.82923436,0.15709447860717773,human_correct_label,14773,1,301.tiff
32,743.0,1894.0,0.88098955,0.15653805434703827,human_correct_label,14831,1,301.tiff
33,3462.0,1576.0,0.8198322,0.1564231663942337,human_correct_label,14807,1,301.tiff
34,4833.0,3151.0,0.8216603,0.15623551607131958,human_correct_label,14910,1,301.tiff
35,5156.0,2016.0,0.78432345,0.15613491833209991,human_correct_label,14867,1,301.tiff
36,632.0,2631.0,0.78846097,0.15550315380096436,human_correct_label,14879,1,301.tiff
37,5547.0,3366.0,0.89660853,0.15534262359142303,human_rejected_label,14965,2,301.tiff
38,1794.0,3063.0,0.866837,0.15501274168491364,human_correct_label,14890,1,301.tiff
39,4446.0,2644.0,0.8584987,0.15423716604709625,human_correct_label,14912,1,301.tiff
40,1454.0,4320.0,0.75448215,0.15408393740653992,human_correct_label,14979,1,301.tiff
41,369.0,271.0,0.8555409,0.15342837572097778,human_correct_label,14726,1,301.tiff
42,2062.0,3171.0,0.86739933,0.15293703973293304,human_correct_label,14891,1,301.tiff
43,5273.0,3922.0,0.8169708,0.15271547436714172,human_correct_label,14961,1,301.tiff
44,5517.0,1235.0,0.85930574,0.15207169950008392,human_rejected_label,14821,2,301.tiff
45,2363.0,239.0,0.7486371,0.15198534727096558,human_correct_label,14743,1,301.tiff
46,1222.0,4460.0,0.8258015,0.15196149051189423,human_correct_label,14982,1,301.tiff
47,3261.0,3045.0,0.8725926,0.1515735685825348,human_correct_label,15034,1,301.tiff
48,2006.0,2466.0,0.755805,0.15113526582717896,human_rejected_label,14848,2,301.tiff
49,2389.0,108.0,0.8124004,0.15069353580474854,human_rejected_label,14745,2,301.tiff
50,4879.0,4314.0,0.8084159,0.15056131780147552,human_correct_label,15008,1,301.tiff
51,3113.0,2645.0,0.82995445,0.15025663375854492,human_correct_label,14905,1,301.tiff
52,994.0,3974.0,0.78980887,0.14971031248569489,human_correct_label,14985,1,301.tiff
53,4343.0,4617.0,0.774794,0.14917400479316711,human_correct_label,15000,1,301.tiff
54,3062.0,3307.0,0.8578314,0.14915256202220917,human_correct_label,14947,1,301.tiff
55,247.0,3455.0,0.83356136,0.14910084009170532,human_correct_label,14924,1,301.tiff
56,4132.0,3009.0,0.8214822,0.14884689450263977,human_correct_label,14907,1,301.tiff
57,3896.0,2030.0,0.8079187,0.1486293077468872,human_correct_label,14858,1,301.tiff
58,317.0,4567.0,0.8283442,0.1484948694705963,human_correct_label,14975,1,301.tiff
59,6219.0,1327.0,0.83147043,0.1478920876979828,human_correct_label,14826,1,301.tiff
60,4344.0,685.0,0.78017527,0.14785367250442505,human_correct_label,14755,1,301.tiff
61,4265.0,254.0,0.8174292,0.14745891094207764,human_correct_label,14752,1,301.tiff
62,5492.0,3786.0,0.79939926,0.1467871516942978,human_correct_label,14962,1,301.tiff
63,2386.0,4170.0,0.84622157,0.14673270285129547,human_correct_label,14989,1,301.tiff
64,2770.0,4518.0,0.8648621,0.14666177332401276,human_correct_label,14988,1,301.tiff
65,5490.0,3027.0,0.8707883,0.14664475619792938,human_correct_label,14917,1,301.tiff
66,6154.0,309.0,0.76384443,0.1466410756111145,human_correct_label,14781,1,301.tiff
67,3742.0,1908.0,0.83460885,0.14631961286067963,human_correct_label,14857,1,301.tiff
68,1653.0,3397.0,0.7792451,0.14533858001232147,human_correct_label,14933,1,301.tiff
69,1810.0,3495.0,0.7476667,0.14530304074287415,non_human_findings,-1,0,301.tiff
70,486.0,1469.0,0.87411046,0.14392651617527008,human_correct_label,14785,1,301.tiff
71,4150.0,4513.0,0.7504422,0.14377014338970184,human_correct_label,14998,1,301.tiff
72,5567.0,266.0,0.86552924,0.1436668038368225,human_correct_label,14772,1,301.tiff
73,5235.0,642.0,0.8698458,0.1436200886964798,human_correct_label,14770,1,301.tiff
74,2931.0,2735.0,0.8782956,0.14358356595039368,human_correct_label,14897,1,301.tiff
75,5209.0,2078.0,0.75826997,0.14346064627170563,non_human_findings,-1,0,301.tiff
76,414.0,3533.0,0.87474996,0.1432947814464569,human_correct_label,14923,1,301.tiff
77,3343.0,3267.0,0.8634121,0.14313904941082,human_correct_label,14945,1,301.tiff
78,1497.0,141.0,0.7585531,0.14184990525245667,human_correct_label,14733,1,301.tiff
79,4975.0,974.0,0.7678595,0.1413302719593048,human_correct_label,14810,1,301.tiff
80,4393.0,562.0,0.7583388,0.14109669625759125,non_human_findings,-1,0,301.tiff
81,5860.0,1857.0,0.7574345,0.1410515308380127,human_rejected_label,15035,2,301.tiff
82,3259.0,2906.0,0.8771409,0.14088058471679688,human_correct_label,14903,1,301.tiff
83,3273.0,864.0,0.83778405,0.140361025929451,human_correct_label,14750,1,301.tiff
84,2418.0,3550.0,0.82680714,0.14017127454280853,human_correct_label,14938,1,301.tiff
85,4502.0,3736.0,0.9043563,0.13991467654705048,human_correct_label,14956,1,301.tiff
86,571.0,1288.0,0.8211345,0.1389295756816864,human_rejected_label,14792,2,301.tiff
87,2387.0,2988.0,0.77445614,0.1388612687587738,human_correct_label,14889,1,301.tiff
88,1208.0,3813.0,0.7447127,0.13878458738327026,non_human_findings,-1,0,301.tiff
89,3472.0,1494.0,0.7577464,0.13874118030071259,human_correct_label,14809,1,301.tiff
90,510.0,1731.0,0.74981534,0.1378793567419052,human_rejected_label,15040,2,301.tiff
91,5632.0,2432.0,0.7929015,0.13781623542308807,human_correct_label,14918,1,301.tiff
92,1252.0,1873.0,0.7658159,0.13692431151866913,human_correct_label,14836,1,301.tiff
93,403.0,4521.0,0.8303904,0.13649548590183258,human_correct_label,14977,1,301.tiff
94,4494.0,601.0,0.8362635,0.1356368362903595,human_correct_label,14766,1,301.tiff
95,2431.0,2884.0,0.81255776,0.13472093641757965,human_correct_label,14888,1,301.tiff
96,1838.0,956.0,0.8120403,0.13453014194965363,human_rejected_label,15041,2,301.tiff
97,3523.0,389.0,0.76461315,0.13394702970981598,human_correct_label,14759,1,301.tiff
98,2819.0,628.0,0.7730904,0.13357079029083252,non_human_findings,-1,0,301.tiff
99,6225.0,409.0,0.7782617,0.1333150714635849,non_human_findings,-1,0,301.tiff
100,491.0,2190.0,0.78992337,0.13186778128147125,human_correct_label,14837,1,301.tiff
101,5534.0,3409.0,0.7500722,0.1316649168729782,non_human_findings,-1,0,301.tiff
102,5642.0,3453.0,0.7550058,0.13129189610481262,non_human_findings,-1,0,301.tiff
103,2585.0,3126.0,0.7501261,0.13094116747379303,non_human_findings,-1,0,301.tiff
104,3836.0,202.0,0.74413985,0.13076438009738922,non_human_findings,-1,0,301.tiff
105,5198.0,2289.0,0.7712198,0.13028176128864288,non_human_findings,-1,0,301.tiff
106,2921.0,2562.0,0.84243935,0.12960189580917358,non_human_findings,-1,0,301.tiff
107,56.0,4414.0,0.7465964,0.12958213686943054,human_correct_label,14973,1,301.tiff
108,1285.0,3642.0,0.78535384,0.12919974327087402,non_human_findings,-1,0,301.tiff
109,2280.0,1185.0,0.8062581,0.12916861474514008,human_rejected_label,14801,2,301.tiff
110,4906.0,1251.0,0.836819,0.12869882583618164,human_correct_label,14815,1,301.tiff
111,227.0,1586.0,0.7590464,0.12789584696292877,non_human_findings,-1,0,301.tiff
112,473.0,4590.0,0.7487187,0.127760648727417,non_human_findings,-1,0,301.tiff
113,3143.0,2800.0,0.84713733,0.12759390473365784,human_correct_label,14904,1,301.tiff
114,5315.0,3607.0,0.73722154,0.12654094398021698,human_rejected_label,15037,2,301.tiff
115,1098.0,4545.0,0.76120424,0.12650054693222046,non_human_findings,-1,0,301.tiff
116,3430.0,1365.0,0.76646584,0.12638907134532928,non_human_findings,-1,0,301.tiff
117,255.0,4782.0,0.78145975,0.12638059258460999,non_human_findings,-1,0,301.tiff
118,4027.0,2714.0,0.75604784,0.12615957856178284,non_human_findings,-1,0,301.tiff
119,4050.0,967.0,0.74060774,0.12598755955696106,non_human_findings,-1,0,301.tiff
120,1749.0,3656.0,0.8091358,0.12595364451408386,non_human_findings,-1,0,301.tiff
121,2253.0,528.0,0.74906486,0.12591391801834106,human_rejected_label,15033,2,301.tiff
122,2857.0,3211.0,0.8979053,0.12480328232049942,human_correct_label,14942,1,301.tiff
123,499.0,2517.0,0.7489084,0.12479984760284424,non_human_findings,-1,0,301.tiff
124,6380.0,2783.0,0.80970544,0.12459570169448853,human_correct_label,14921,1,301.tiff
125,2347.0,4512.0,0.74862415,0.12393329292535782,non_human_findings,-1,0,301.tiff
126,2074.0,3446.0,0.75328237,0.12391234189271927,human_rejected_label,14941,2,301.tiff
127,4699.0,3598.0,0.746003,0.12389011681079865,non_human_findings,-1,0,301.tiff
128,853.0,1947.0,0.7418643,0.12377463281154633,non_human_findings,-1,0,301.tiff
129,6298.0,2287.0,0.74100196,0.12301705032587051,human_correct_label,14874,1,301.tiff
130,4608.0,428.0,0.8066365,0.12275464087724686,human_correct_label,14764,1,301.tiff
131,4930.0,3450.0,0.7763869,0.12259876728057861,human_correct_label,14958,1,301.tiff
132,370.0,1171.0,0.8105906,0.12216503173112869,non_human_findings,-1,0,301.tiff
133,2181.0,4306.0,0.7441171,0.12210769951343536,non_human_findings,-1,0,301.tiff
134,2181.0,1681.0,0.79799604,0.12181247025728226,human_correct_label,14842,1,301.tiff
135,2914.0,1432.0,0.7607187,0.12157789617776871,non_human_findings,-1,0,301.tiff
136,4609.0,2444.0,0.76849693,0.1215348094701767,human_correct_label,14914,1,301.tiff
137,6258.0,2623.0,0.76749945,0.12146076560020447,non_human_findings,-1,0,301.tiff
138,822.0,2938.0,0.76619434,0.12138514220714569,non_human_findings,-1,0,301.tiff
139,3013.0,227.0,0.8384464,0.1212596595287323,human_rejected_label,15048,2,301.tiff
140,4339.0,1080.0,0.7587233,0.1208588182926178,non_human_findings,-1,0,301.tiff
141,2535.0,960.0,0.745289,0.12078917026519775,non_human_findings,-1,0,301.tiff
142,2453.0,4175.0,0.76181287,0.12067236006259918,human_rejected_label,14990,2,301.tiff
143,6259.0,3912.0,0.8186693,0.12063021957874298,human_rejected_label,14971,2,301.tiff
144,5754.0,2752.0,0.78412277,0.12009808421134949,non_human_findings,-1,0,301.tiff
145,272.0,3117.0,0.7720069,0.11991140246391296,non_human_findings,-1,0,301.tiff
146,6083.0,4267.0,0.8297272,0.11963918805122375,non_human_findings,-1,0,301.tiff
147,2589.0,4137.0,0.76581895,0.11950714886188507,non_human_findings,-1,0,301.tiff
148,1183.0,1871.0,0.75050324,0.11936093866825104,non_human_findings,-1,0,301.tiff
149,3588.0,1630.0,0.8218044,0.11908001452684402,human_correct_label,14856,1,301.tiff
150,913.0,2809.0,0.7868639,0.11899373680353165,non_human_findings,-1,0,301.tiff
151,4324.0,3284.0,0.83231205,0.11877012997865677,non_human_findings,-1,0,301.tiff
152,2368.0,737.0,0.7543704,0.11868049204349518,non_human_findings,-1,0,301.tiff
153,773.0,2946.0,0.7443089,0.11833654344081879,non_human_findings,-1,0,301.tiff
154,3615.0,248.0,0.8313566,0.11829923838376999,human_correct_label,14757,1,301.tiff
155,1677.0,4325.0,0.76188487,0.11828432977199554,non_human_findings,-1,0,301.tiff
156,2959.0,4308.0,0.74679863,0.11823868751525879,non_human_findings,-1,0,301.tiff
157,5471.0,3563.0,0.8060008,0.11821465194225311,non_human_findings,-1,0,301.tiff
158,6060.0,118.0,0.7688235,0.11780115216970444,non_human_findings,-1,0,301.tiff
159,6163.0,3458.0,0.7469788,0.1177864819765091,human_correct_label,14968,1,301.tiff
160,4427.0,1151.0,0.7429339,0.11766953021287918,non_human_findings,-1,0,301.tiff
161,1898.0,1155.0,0.7565434,0.11747490614652634,non_human_findings,-1,0,301.tiff
162,3311.0,1473.0,0.76010877,0.11713089793920517,non_human_findings,-1,0,301.tiff
163,587.0,2657.0,0.7818561,0.11695452779531479,non_human_findings,-1,0,301.tiff
164,4166.0,2254.0,0.7467219,0.11694416403770447,non_human_findings,-1,0,301.tiff
165,3150.0,1120.0,0.75474524,0.11674455553293228,non_human_findings,-1,0,301.tiff
166,2366.0,1390.0,0.80994385,0.11665196716785431,non_human_findings,-1,0,301.tiff
167,2976.0,4417.0,0.7424104,0.11662168800830841,non_human_findings,-1,0,301.tiff
168,1971.0,628.0,0.75955653,0.11645364761352539,non_human_findings,-1,0,301.tiff
169,2892.0,2360.0,0.74203783,0.11629791557788849,non_human_findings,-1,0,301.tiff
170,3152.0,2660.0,0.7472402,0.11616794764995575,non_human_findings,-1,0,301.tiff
171,3982.0,4797.0,0.74909073,0.11612023413181305,non_human_findings,-1,0,301.tiff
172,2825.0,475.0,0.7451526,0.11569016426801682,non_human_findings,-1,0,301.tiff
173,6257.0,4164.0,0.8308345,0.11564996838569641,non_human_findings,-1,0,301.tiff
174,6047.0,259.0,0.74971366,0.11562949419021606,human_correct_label,14778,1,301.tiff
175,797.0,3668.0,0.74826896,0.11543340235948563,non_human_findings,-1,0,301.tiff
176,2116.0,4344.0,0.74826777,0.11522884666919708,non_human_findings,-1,0,301.tiff
177,1493.0,2384.0,0.7392079,0.11514732241630554,non_human_findings,-1,0,301.tiff
178,5960.0,3847.0,0.7541048,0.11500632762908936,non_human_findings,-1,0,301.tiff
179,6092.0,1364.0,0.81758994,0.11497805267572403,non_human_findings,-1,0,301.tiff
180,2476.0,1917.0,0.7390123,0.11487793177366257,non_human_findings,-1,0,301.tiff
181,757.0,2093.0,0.7433527,0.11484125256538391,non_human_findings,-1,0,301.tiff
182,5557.0,2255.0,0.74315125,0.11464294791221619,non_human_findings,-1,0,301.tiff
183,4737.0,2991.0,0.74347264,0.11460592597723007,non_human_findings,-1,0,301.tiff
184,3067.0,1080.0,0.7695992,0.11439167708158493,non_human_findings,-1,0,301.tiff
185,3561.0,2482.0,0.7626531,0.11421336978673935,non_human_findings,-1,0,301.tiff
186,2411.0,3515.0,0.7460783,0.11399805545806885,human_correct_label,14939,1,301.tiff
187,5710.0,1797.0,0.747689,0.11391151696443558,human_correct_label,14869,1,301.tiff
188,1376.0,3183.0,0.7384035,0.1137603148818016,non_human_findings,-1,0,301.tiff
189,687.0,2348.0,0.78268963,0.11370184272527695,non_human_findings,-1,0,301.tiff
190,2161.0,2255.0,0.75571704,0.11361733824014664,non_human_findings,-1,0,301.tiff
191,5774.0,1386.0,0.7677318,0.11349490284919739,non_human_findings,-1,0,301.tiff
192,428.0,3306.0,0.7808043,0.11347874253988266,non_human_findings,-1,0,301.tiff
193,491.0,1974.0,0.7803911,0.11340663582086563,non_human_findings,-1,0,301.tiff
194,4443.0,2787.0,0.7442108,0.11336818337440491,non_human_findings,-1,0,301.tiff
195,619.0,3123.0,0.7461128,0.11325421184301376,non_human_findings,-1,0,301.tiff
196,999.0,2420.0,0.7490677,0.11324594169855118,non_human_findings,-1,0,301.tiff
197,4116.0,3554.0,0.74455005,0.11309848725795746,non_human_findings,-1,0,301.tiff
198,2491.0,364.0,0.77325666,0.11297416687011719,non_human_findings,-1,0,301.tiff
199,678.0,2203.0,0.73850334,0.11293864995241165,non_human_findings,-1,0,301.tiff
200,6297.0,423.0,0.7539507,0.11290721595287323,non_human_findings,-1,0,301.tiff
201,4009.0,2456.0,0.74642307,0.11280035972595215,non_human_findings,-1,0,301.tiff
202,3741.0,3381.0,0.8248341,0.11268557608127594,human_correct_label,14952,1,301.tiff
203,4812.0,385.0,0.7784034,0.11238033324480057,human_rejected_label,14774,2,301.tiff
204,5164.0,1440.0,0.7529606,0.11234225332736969,non_human_findings,-1,0,301.tiff
205,3428.0,3144.0,0.8527437,0.11231797933578491,human_rejected_label,14909,2,301.tiff
206,3871.0,4202.0,0.8694664,0.11217919737100601,human_correct_label,15003,1,301.tiff
207,2749.0,2175.0,0.74487996,0.11209920793771744,non_human_findings,-1,0,301.tiff
208,4380.0,3523.0,0.8045299,0.11202389001846313,non_human_findings,-1,0,301.tiff
209,1851.0,372.0,0.7718672,0.11194317042827606,non_human_findings,-1,0,301.tiff
210,3001.0,1364.0,0.76685315,0.11185512691736221,human_correct_label,14803,1,301.tiff
211,2609.0,400.0,0.79647917,0.11176341772079468,human_rejected_label,15042,2,301.tiff
212,2269.0,2954.0,0.75790155,0.11157466471195221,non_human_findings,-1,0,301.tiff
213,4192.0,4193.0,0.75284916,0.11155455559492111,non_human_findings,-1,0,301.tiff
214,3646.0,3489.0,0.7446107,0.11146701127290726,non_human_findings,-1,0,301.tiff
215,1279.0,1571.0,0.78560317,0.11142677813768387,human_correct_label,14788,1,301.tiff
216,2931.0,1807.0,0.73752457,0.11141739785671234,non_human_findings,-1,0,301.tiff
217,4003.0,3677.0,0.7396728,0.11115317791700363,non_human_findings,-1,0,301.tiff
218,1996.0,288.0,0.7771709,0.11110106110572815,non_human_findings,-1,0,301.tiff
219,1041.0,2710.0,0.780791,0.11109551787376404,non_human_findings,-1,0,301.tiff
220,4635.0,595.0,0.74620956,0.11097342520952225,non_human_findings,-1,0,301.tiff
221,2655.0,3739.0,0.74290884,0.11091940850019455,non_human_findings,-1,0,301.tiff
222,4470.0,3436.0,0.7393051,0.11086931079626083,non_human_findings,-1,0,301.tiff
223,3763.0,3018.0,0.7605148,0.11064466834068298,non_human_findings,-1,0,301.tiff
224,4521.0,1014.0,0.7948334,0.11060111224651337,human_correct_label,14812,1,301.tiff
225,1856.0,1492.0,0.7991615,0.11052750796079636,human_correct_label,14798,1,301.tiff
226,1930.0,3158.0,0.7383897,0.11052082479000092,non_human_findings,-1,0,301.tiff
227,4863.0,3376.0,0.81894445,0.11048709601163864,human_rejected_label,14959,2,301.tiff
228,4310.0,3799.0,0.75216764,0.11048367619514465,non_human_findings,-1,0,301.tiff
229,455.0,488.0,0.7910724,0.11043162643909454,non_human_findings,-1,0,301.tiff
230,546.0,2874.0,0.7433315,0.11027007550001144,non_human_findings,-1,0,301.tiff
231,1532.0,2587.0,0.77125645,0.11026053875684738,non_human_findings,-1,0,301.tiff
232,2109.0,3597.0,0.7712488,0.11025742441415787,non_human_findings,-1,0,301.tiff
