file_name,arm,target_recall,n_gt_mitotic,candidates_to_read,reachable
301.tiff,C_z3_od,0.5,217,,False
301.tiff,C_z3_od,0.7,217,,False
301.tiff,C_z3_od,0.8,217,,False
301.tiff,C_z3_od,0.9,217,,False
301.tiff,C_z3_od,1.0,217,,False
301.tiff,C_z2.5_od,0.5,217,247.0,True
301.tiff,C_z2.5_od,0.7,217,,False
301.tiff,C_z2.5_od,0.8,217,,False
301.tiff,C_z2.5_od,0.9,217,,False
301.tiff,C_z2.5_od,1.0,217,,False
301.tiff,C_z2_od,0.5,217,156.0,True
301.tiff,C_z2_od,0.7,217,647.0,True
301.tiff,C_z2_od,0.8,217,1400.0,True
301.tiff,C_z2_od,0.9,217,7210.0,True
301.tiff,C_z2_od,1.0,217,,False
301.tiff,C_z1.5_od,0.5,217,172.0,True
301.tiff,C_z1.5_od,0.7,217,581.0,True
301.tiff,C_z1.5_od,0.8,217,1320.0,True
301.tiff,C_z1.5_od,0.9,217,3722.0,True
301.tiff,C_z1.5_od,1.0,217,,False
301.tiff,C_z1_od,0.5,217,174.0,True
301.tiff,C_z1_od,0.7,217,616.0,True
301.tiff,C_z1_od,0.8,217,1407.0,True
301.tiff,C_z1_od,0.9,217,3989.0,True
301.tiff,C_z1_od,1.0,217,,False
201.tiff,C_z3_od,0.5,17,,False
201.tiff,C_z3_od,0.7,17,,False
201.tiff,C_z3_od,0.8,17,,False
201.tiff,C_z3_od,0.9,17,,False
201.tiff,C_z3_od,1.0,17,,False
201.tiff,C_z2.5_od,0.5,17,28.0,True
201.tiff,C_z2.5_od,0.7,17,69.0,True
201.tiff,C_z2.5_od,0.8,17,,False
201.tiff,C_z2.5_od,0.9,17,,False
201.tiff,C_z2.5_od,1.0,17,,False
201.tiff,C_z2_od,0.5,17,34.0,True
201.tiff,C_z2_od,0.7,17,71.0,True
201.tiff,C_z2_od,0.8,17,97.0,True
201.tiff,C_z2_od,0.9,17,,False
201.tiff,C_z2_od,1.0,17,,False
201.tiff,C_z1.5_od,0.5,17,35.0,True
201.tiff,C_z1.5_od,0.7,17,76.0,True
201.tiff,C_z1.5_od,0.8,17,104.0,True
201.tiff,C_z1.5_od,0.9,17,,False
201.tiff,C_z1.5_od,1.0,17,,False
201.tiff,C_z1_od,0.5,17,35.0,True
201.tiff,C_z1_od,0.7,17,76.0,True
201.tiff,C_z1_od,0.8,17,104.0,True
201.tiff,C_z1_od,0.9,17,,False
201.tiff,C_z1_od,1.0,17,,False
246.tiff,C_z3_od,0.5,115,,False
246.tiff,C_z3_od,0.7,115,,False
246.tiff,C_z3_od,0.8,115,,False
246.tiff,C_z3_od,0.9,115,,False
246.tiff,C_z3_od,1.0,115,,False
246.tiff,C_z2.5_od,0.5,115,95.0,True
246.tiff,C_z2.5_od,0.7,115,475.0,True
246.tiff,C_z2.5_od,0.8,115,,False
246.tiff,C_z2.5_od,0.9,115,,False
246.tiff,C_z2.5_od,1.0,115,,False
246.tiff,C_z2_od,0.5,115,103.0,True
246.tiff,C_z2_od,0.7,115,320.0,True
246.tiff,C_z2_od,0.8,115,1373.0,True
246.tiff,C_z2_od,0.9,115,,False
246.tiff,C_z2_od,1.0,115,,False
246.tiff,C_z1.5_od,0.5,115,103.0,True
246.tiff,C_z1.5_od,0.7,115,320.0,True
246.tiff,C_z1.5_od,0.8,115,1373.0,True
246.tiff,C_z1.5_od,0.9,115,,False
246.tiff,C_z1.5_od,1.0,115,,False
246.tiff,C_z1_od,0.5,115,103.0,True
246.tiff,C_z1_od,0.7,115,320.0,True
246.tiff,C_z1_od,0.8,115,1373.0,True
246.tiff,C_z1_od,0.9,115,,False
246.tiff,C_z1_od,1.0,115,,False
405.tiff,C_z3_od,0.5,13,,False
405.tiff,C_z3_od,0.7,13,,False
405.tiff,C_z3_od,0.8,13,,False
405.tiff,C_z3_od,0.9,13,,False
405.tiff,C_z3_od,1.0,13,,False
405.tiff,C_z2.5_od,0.5,13,67.0,True
405.tiff,C_z2.5_od,0.7,13,,False
405.tiff,C_z2.5_od,0.8,13,,False
405.tiff,C_z2.5_od,0.9,13,,False
405.tiff,C_z2.5_od,1.0,13,,False
405.tiff,C_z2_od,0.5,13,15.0,True
405.tiff,C_z2_od,0.7,13,119.0,True
405.tiff,C_z2_od,0.8,13,128.0,True
405.tiff,C_z2_od,0.9,13,291.0,True
405.tiff,C_z2_od,1.0,13,900.0,True
405.tiff,C_z1.5_od,0.5,13,15.0,True
405.tiff,C_z1.5_od,0.7,13,134.0,True
405.tiff,C_z1.5_od,0.8,13,146.0,True
405.tiff,C_z1.5_od,0.9,13,345.0,True
405.tiff,C_z1.5_od,1.0,13,1104.0,True
405.tiff,C_z1_od,0.5,13,15.0,True
405.tiff,C_z1_od,0.7,13,136.0,True
405.tiff,C_z1_od,0.8,13,148.0,True
405.tiff,C_z1_od,0.9,13,356.0,True
405.tiff,C_z1_od,1.0,13,1133.0,True
002.tiff,C_z3_od,0.5,8,13.0,True
002.tiff,C_z3_od,0.7,8,,False
002.tiff,C_z3_od,0.8,8,,False
002.tiff,C_z3_od,0.9,8,,False
002.tiff,C_z3_od,1.0,8,,False
002.tiff,C_z2.5_od,0.5,8,8.0,True
002.tiff,C_z2.5_od,0.7,8,41.0,True
002.tiff,C_z2.5_od,0.8,8,45.0,True
002.tiff,C_z2.5_od,0.9,8,160.0,True
002.tiff,C_z2.5_od,1.0,8,160.0,True
002.tiff,C_z2_od,0.5,8,9.0,True
002.tiff,C_z2_od,0.7,8,43.0,True
002.tiff,C_z2_od,0.8,8,48.0,True
002.tiff,C_z2_od,0.9,8,175.0,True
002.tiff,C_z2_od,1.0,8,175.0,True
002.tiff,C_z1.5_od,0.5,8,9.0,True
002.tiff,C_z1.5_od,0.7,8,43.0,True
002.tiff,C_z1.5_od,0.8,8,48.0,True
002.tiff,C_z1.5_od,0.9,8,177.0,True
