file_name,tumor_type,seed_index,seed_ann_id,base_size,n_gt_mitotic,map_median,mad_scale,z_of_0.5,z2.5_cut,floor_limited,n_det_fixed05,recall_fixed05,recall_at_k_fixed05,fixed05_read_50,fixed05_read_80,fixed05_read_100,n_det_z2.5,recall_z25_score,recall_at_k_z25_score,z25_score_read_50,z25_score_read_80,z25_score_read_100,recall_z25_od,recall_at_k_z25_od,z25_od_read_50,z25_od_read_80,z25_od_read_100
301.tiff,canine cutaneous mast cell tumor,0,14976,35,217,-0.0197,0.3026,1.72,0.7368,False,13353,0.9493087557603687,0.30414746543778803,880.0,5104.0,,1258,0.543778801843318,0.30414746543778803,880.0,,,0.543778801843318,0.4838709677419355,247.0,,
301.tiff,canine cutaneous mast cell tumor,1,14754,25,217,-0.0178,0.3282,1.58,0.8027,False,15484,0.967741935483871,0.07834101382488479,3490.0,10073.0,,1221,0.25806451612903225,0.07834101382488479,,,,0.25806451612903225,0.22580645161290322,,,
301.tiff,canine cutaneous mast cell tumor,2,14817,27,217,-0.0207,0.2645,1.97,0.6405,False,14640,0.9124423963133641,0.059907834101382486,6216.0,11567.0,,7807,0.5806451612903226,0.059907834101382486,6216.0,,,0.5806451612903226,0.39631336405529954,734.0,,
301.tiff,canine cutaneous mast cell tumor,3,14787,39,217,-0.0123,0.243,2.11,0.5953,False,9015,0.8894009216589862,0.12903225806451613,1993.0,7231.0,,3516,0.6405529953917051,0.12903225806451613,1993.0,,,0.6405529953917051,0.47465437788018433,313.0,,
301.tiff,canine cutaneous mast cell tumor,4,14816,51,217,-0.0024,0.2048,2.45,0.5095,False,1985,0.3686635944700461,0.10138248847926268,,,,1761,0.3225806451612903,0.10138248847926268,,,,0.3225806451612903,0.271889400921659,,,
201.tiff,canine lung cancer,0,4469,51,17,0.0012,0.139,3.59,0.3488,False,127,0.17647058823529413,0.11764705882352941,,,,3133,0.7058823529411765,0.11764705882352941,994.0,,,0.7058823529411765,0.47058823529411764,28.0,,
201.tiff,canine lung cancer,1,4469,51,17,0.0012,0.139,3.59,0.3488,False,127,0.17647058823529413,0.11764705882352941,,,,3133,0.7058823529411765,0.11764705882352941,994.0,,,0.7058823529411765,0.47058823529411764,28.0,,
201.tiff,canine lung cancer,2,4476,35,17,0.0037,0.1987,2.5,0.5005,False,4219,0.6470588235294118,0.0,1747.0,,,4190,0.6470588235294118,0.0,1747.0,,,0.6470588235294118,0.23529411764705882,200.0,,
201.tiff,canine lung cancer,3,4457,51,17,-0.002,0.1704,2.95,0.4241,False,1053,0.17647058823529413,0.0,,,,2667,0.35294117647058826,0.0,,,,0.35294117647058826,0.35294117647058826,,,
201.tiff,canine lung cancer,4,4479,51,17,0.0063,0.1988,2.48,0.5034,False,1504,0.23529411764705882,0.0,,,,1433,0.23529411764705882,0.0,,,,0.23529411764705882,0.11764705882352941,,,
246.tiff,canine lymphosarcoma,0,6549,51,115,0.0004,0.1101,4.54,0.2755,False,5,0.017391304347826087,0.017391304347826087,,,,4951,0.7304347826086957,0.1391304347826087,1794.0,,,0.7304347826086957,0.5478260869565217,95.0,,
246.tiff,canine lymphosarcoma,1,6599,51,115,-0.0022,0.0997,5.04,0.2471,True,3,0.0,0.0,,,,5268,0.7739130434782608,0.06956521739130435,1876.0,,,0.7739130434782608,0.4608695652173913,175.0,,
