image,n_mit,rank_by,candidates,z2.5_cut,floor_limited,read_for_50pct,read_for_80pct,read_for_100pct,tp_in_topk,lk_in_topk,un_in_topk,n_lookalike_total,n_unannotated_total,auc_tp_vs_unann,auc_lk_vs_unann,auc_tp_vs_lk
301.tiff,217,score,1258,0.7368,False,880,,,66,15,136,32,1108,,,
301.tiff,217,od,1258,0.7368,False,247,,,105,18,94,32,1108,0.973,0.88,0.797
201.tiff,17,score,3133,0.3488,False,994,,,2,2,13,36,3085,,,
201.tiff,17,od,3133,0.3488,False,28,,,8,4,5,36,3085,0.997,0.941,0.833
246.tiff,115,score,4951,0.2755,False,1794,,,16,2,97,59,4808,,,
246.tiff,115,od,4951,0.2755,False,95,,,63,16,36,59,4808,0.988,0.904,0.831
405.tiff,13,score,2126,0.5844,False,1297,,,0,0,13,10,2107,,,
405.tiff,13,od,2126,0.5844,False,67,,,5,3,5,10,2107,0.969,0.912,0.7
002.tiff,8,score,5206,0.4578,False,315,3032.0,4048.0,2,0,6,6,5192,,,
002.tiff,8,od,5206,0.4578,False,8,45.0,160.0,4,2,2,6,5192,0.994,0.965,0.646
506.tiff,11,score,6101,0.3884,False,3122,3664.0,3940.0,1,0,10,10,6080,,,
506.tiff,11,od,6101,0.3884,False,138,461.0,2883.0,2,1,8,10,6080,0.925,0.924,0.527
350.tiff,3,score,5919,0.4088,False,2531,,,0,0,3,13,5904,,,
350.tiff,3,od,5919,0.4088,False,2362,,,0,2,1,13,5904,0.799,0.926,0.269
