file_name,domain,arm,n_gt_mitotic,n_detections,budget_delivered_10,tp_at_10,precision_at_10,budget_delivered_20,tp_at_20,precision_at_20,budget_delivered_30,tp_at_30,precision_at_30,budget_delivered_50,tp_at_50,precision_at_50
300.tiff,canine cutaneous mast cell tumor,tm_score,180,17940,10,7,0.7,20,14,0.7,30,20,0.6667,50,32,0.64
300.tiff,canine cutaneous mast cell tumor,chromatin_od,180,17940,10,9,0.9,20,18,0.9,30,27,0.9,50,43,0.86
300.tiff,canine cutaneous mast cell tumor,od31,180,17940,10,10,1.0,20,19,0.95,30,28,0.9333,50,46,0.92
300.tiff,canine cutaneous mast cell tumor,od_falloff,180,17940,10,10,1.0,20,19,0.95,30,27,0.9,50,44,0.88
300.tiff,canine cutaneous mast cell tumor,mask_od_mean,180,17940,10,9,0.9,20,17,0.85,30,26,0.8667,50,42,0.84
300.tiff,canine cutaneous mast cell tumor,od_contrast,180,17940,10,9,0.9,20,18,0.9,30,26,0.8667,50,44,0.88
301.tiff,canine cutaneous mast cell tumor,tm_score,217,17963,10,9,0.9,20,16,0.8,30,24,0.8,50,38,0.76
301.tiff,canine cutaneous mast cell tumor,chromatin_od,217,17963,10,6,0.6,20,15,0.75,30,25,0.8333,50,41,0.82
301.tiff,canine cutaneous mast cell tumor,od31,217,17963,10,6,0.6,20,16,0.8,30,25,0.8333,50,43,0.86
301.tiff,canine cutaneous mast cell tumor,od_falloff,217,17963,10,10,1.0,20,19,0.95,30,27,0.9,50,43,0.86
301.tiff,canine cutaneous mast cell tumor,mask_od_mean,217,17963,10,4,0.4,20,13,0.65,30,21,0.7,50,34,0.68
301.tiff,canine cutaneous mast cell tumor,od_contrast,217,17963,10,6,0.6,20,15,0.75,30,24,0.8,50,41,0.82
201.tiff,canine lung cancer,tm_score,17,15848,10,3,0.3,20,5,0.25,30,6,0.2,50,11,0.22
201.tiff,canine lung cancer,chromatin_od,17,15848,10,3,0.3,20,6,0.3,30,9,0.3,50,10,0.2
201.tiff,canine lung cancer,od31,17,15848,10,4,0.4,20,7,0.35,30,7,0.2333,50,9,0.18
201.tiff,canine lung cancer,od_falloff,17,15848,10,2,0.2,20,3,0.15,30,4,0.1333,50,6,0.12
201.tiff,canine lung cancer,mask_od_mean,17,15848,10,4,0.4,20,4,0.2,30,5,0.1667,50,8,0.16
201.tiff,canine lung cancer,od_contrast,17,15848,10,4,0.4,20,7,0.35,30,8,0.2667,50,9,0.18
233.tiff,canine lung cancer,tm_score,17,17614,10,4,0.4,20,7,0.35,30,7,0.2333,50,10,0.2
233.tiff,canine lung cancer,chromatin_od,17,17614,10,5,0.5,20,9,0.45,30,10,0.3333,50,10,0.2
233.tiff,canine lung cancer,od31,17,17614,10,7,0.7,20,10,0.5,30,11,0.3667,50,12,0.24
233.tiff,canine lung cancer,od_falloff,17,17614,10,3,0.3,20,4,0.2,30,6,0.2,50,10,0.2
233.tiff,canine lung cancer,mask_od_mean,17,17614,10,6,0.6,20,10,0.5,30,11,0.3667,50,12,0.24
233.tiff,canine lung cancer,od_contrast,17,17614,10,8,0.8,20,10,0.5,30,10,0.3333,50,12,0.24
245.tiff,canine lymphosarcoma,tm_score,89,17552,10,1,0.1,20,1,0.05,30,1,0.0333,50,4,0.08
