check,label,n_items,caps,passed,used_radius,expected_radius,mpp,n_near_seed,match_radius_px
no_cap,013.tiff/tm_score,17200.0,"(2000000,)",True,,,,,
nms_radius,013.tiff/tm_score,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,
no_cap,013.tiff/chromatin_od,17200.0,"(2000000,)",True,,,,,
nms_radius,013.tiff/chromatin_od,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,
no_cap,013.tiff/od31,17200.0,"(2000000,)",True,,,,,
nms_radius,013.tiff/od31,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,
no_cap,013.tiff/od_falloff,17200.0,"(2000000,)",True,,,,,
nms_radius,013.tiff/od_falloff,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,
no_cap,013.tiff/mask_od_mean,17200.0,"(2000000,)",True,,,,,
nms_radius,013.tiff/mask_od_mean,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,
no_cap,013.tiff/od_contrast,17200.0,"(2000000,)",True,,,,,
nms_radius,013.tiff/od_contrast,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,
seed_annulus_empty,013.tiff,,,True,,,,0.0,33.139
no_cap,094.tiff/tm_score,18410.0,"(2000000,)",True,,,,,
nms_radius,094.tiff/tm_score,,,True,32.63031496062992,32.63031496062992,0.22984761284250915,,
no_cap,094.tiff/chromatin_od,18410.0,"(2000000,)",True,,,,,
nms_radius,094.tiff/chromatin_od,,,True,32.63031496062992,32.63031496062992,0.22984761284250915,,
no_cap,094.tiff/od31,18410.0,"(2000000,)",True,,,,,
nms_radius,094.tiff/od31,,,True,32.63031496062992,32.63031496062992,0.22984761284250915,,
no_cap,094.tiff/od_falloff,18410.0,"(2000000,)",True,,,,,
nms_radius,094.tiff/od_falloff,,,True,32.63031496062992,32.63031496062992,0.22984761284250915,,
no_cap,094.tiff/mask_od_mean,18410.0,"(2000000,)",True,,,,,
nms_radius,094.tiff/mask_od_mean,,,True,32.63031496062992,32.63031496062992,0.22984761284250915,,
no_cap,094.tiff/od_contrast,18410.0,"(2000000,)",True,,,,,
nms_radius,094.tiff/od_contrast,,,True,32.63031496062992,32.63031496062992,0.22984761284250915,,
seed_annulus_empty,094.tiff,,,True,,,,0.0,32.63
no_cap,201.tiff/tm_score,15848.0,"(2000000,)",True,,,,,
nms_radius,201.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
no_cap,201.tiff/chromatin_od,15848.0,"(2000000,)",True,,,,,
nms_radius,201.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
no_cap,201.tiff/od31,15848.0,"(2000000,)",True,,,,,
nms_radius,201.tiff/od31,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
no_cap,201.tiff/od_falloff,15848.0,"(2000000,)",True,,,,,
nms_radius,201.tiff/od_falloff,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
no_cap,201.tiff/mask_od_mean,15848.0,"(2000000,)",True,,,,,
nms_radius,201.tiff/mask_od_mean,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
no_cap,201.tiff/od_contrast,15848.0,"(2000000,)",True,,,,,
nms_radius,201.tiff/od_contrast,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
seed_annulus_empty,201.tiff,,,True,,,,0.0,30.222
no_cap,233.tiff/tm_score,17614.0,"(2000000,)",True,,,,,
nms_radius,233.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
no_cap,233.tiff/chromatin_od,17614.0,"(2000000,)",True,,,,,
nms_radius,233.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
no_cap,233.tiff/od31,17614.0,"(2000000,)",True,,,,,
nms_radius,233.tiff/od31,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
no_cap,233.tiff/od_falloff,17614.0,"(2000000,)",True,,,,,
nms_radius,233.tiff/od_falloff,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
no_cap,233.tiff/mask_od_mean,17614.0,"(2000000,)",True,,,,,
nms_radius,233.tiff/mask_od_mean,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
no_cap,233.tiff/od_contrast,17614.0,"(2000000,)",True,,,,,
nms_radius,233.tiff/od_contrast,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
seed_annulus_empty,233.tiff,,,True,,,,0.0,30.222
no_cap,245.tiff/tm_score,17552.0,"(2000000,)",True,,,,,
nms_radius,245.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
no_cap,245.tiff/chromatin_od,17552.0,"(2000000,)",True,,,,,
nms_radius,245.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
no_cap,245.tiff/od31,17552.0,"(2000000,)",True,,,,,
nms_radius,245.tiff/od31,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
no_cap,245.tiff/od_falloff,17552.0,"(2000000,)",True,,,,,
nms_radius,245.tiff/od_falloff,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
no_cap,245.tiff/mask_od_mean,17552.0,"(2000000,)",True,,,,,
nms_radius,245.tiff/mask_od_mean,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
no_cap,245.tiff/od_contrast,17552.0,"(2000000,)",True,,,,,
nms_radius,245.tiff/od_contrast,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
seed_annulus_empty,245.tiff,,,True,,,,0.0,30.222
no_cap,246.tiff/tm_score,17763.0,"(2000000,)",True,,,,,
nms_radius,246.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
no_cap,246.tiff/chromatin_od,17763.0,"(2000000,)",True,,,,,
nms_radius,246.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
no_cap,246.tiff/od31,17763.0,"(2000000,)",True,,,,,
nms_radius,246.tiff/od31,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
no_cap,246.tiff/od_falloff,17763.0,"(2000000,)",True,,,,,
nms_radius,246.tiff/od_falloff,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
no_cap,246.tiff/mask_od_mean,17763.0,"(2000000,)",True,,,,,
nms_radius,246.tiff/mask_od_mean,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
no_cap,246.tiff/od_contrast,17763.0,"(2000000,)",True,,,,,
nms_radius,246.tiff/od_contrast,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
seed_annulus_empty,246.tiff,,,True,,,,0.0,30.222
no_cap,300.tiff/tm_score,17940.0,"(2000000,)",True,,,,,
nms_radius,300.tiff/tm_score,,,True,29.609055118110238,29.609055118110238,0.2533008895448562,,
no_cap,300.tiff/chromatin_od,17940.0,"(2000000,)",True,,,,,
nms_radius,300.tiff/chromatin_od,,,True,29.609055118110238,29.609055118110238,0.2533008895448562,,
no_cap,300.tiff/od31,17940.0,"(2000000,)",True,,,,,
nms_radius,300.tiff/od31,,,True,29.609055118110238,29.609055118110238,0.2533008895448562,,
no_cap,300.tiff/od_falloff,17940.0,"(2000000,)",True,,,,,
nms_radius,300.tiff/od_falloff,,,True,29.609055118110238,29.609055118110238,0.2533008895448562,,
no_cap,300.tiff/mask_od_mean,17940.0,"(2000000,)",True,,,,,
nms_radius,300.tiff/mask_od_mean,,,True,29.609055118110238,29.609055118110238,0.2533008895448562,,
no_cap,300.tiff/od_contrast,17940.0,"(2000000,)",True,,,,,
nms_radius,300.tiff/od_contrast,,,True,29.609055118110238,29.609055118110238,0.2533008895448562,,
seed_annulus_empty,300.tiff,,,True,,,,0.0,29.609
no_cap,301.tiff/tm_score,17963.0,"(2000000,)",True,,,,,
nms_radius,301.tiff/tm_score,,,True,29.609055118110238,29.609055118110238,0.2533008895448562,,
no_cap,301.tiff/chromatin_od,17963.0,"(2000000,)",True,,,,,
nms_radius,301.tiff/chromatin_od,,,True,29.609055118110238,29.609055118110238,0.2533008895448562,,
no_cap,301.tiff/od31,17963.0,"(2000000,)",True,,,,,
nms_radius,301.tiff/od31,,,True,29.609055118110238,29.609055118110238,0.2533008895448562,,
no_cap,301.tiff/od_falloff,17963.0,"(2000000,)",True,,,,,
nms_radius,301.tiff/od_falloff,,,True,29.609055118110238,29.609055118110238,0.2533008895448562,,
no_cap,301.tiff/mask_od_mean,17963.0,"(2000000,)",True,,,,,
nms_radius,301.tiff/mask_od_mean,,,True,29.609055118110238,29.609055118110238,0.2533008895448562,,
no_cap,301.tiff/od_contrast,17963.0,"(2000000,)",True,,,,,
nms_radius,301.tiff/od_contrast,,,True,29.609055118110238,29.609055118110238,0.2533008895448562,,
seed_annulus_empty,301.tiff,,,True,,,,0.0,29.609
no_cap,402.tiff/tm_score,17337.0,"(2000000,)",True,,,,,
nms_radius,402.tiff/tm_score,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,
no_cap,402.tiff/chromatin_od,17337.0,"(2000000,)",True,,,,,
nms_radius,402.tiff/chromatin_od,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,
no_cap,402.tiff/od31,17337.0,"(2000000,)",True,,,,,
nms_radius,402.tiff/od31,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,
no_cap,402.tiff/od_falloff,17337.0,"(2000000,)",True,,,,,
nms_radius,402.tiff/od_falloff,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,
no_cap,402.tiff/mask_od_mean,17337.0,"(2000000,)",True,,,,,
nms_radius,402.tiff/mask_od_mean,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,
no_cap,402.tiff/od_contrast,17337.0,"(2000000,)",True,,,,,
nms_radius,402.tiff/od_contrast,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,
seed_annulus_empty,402.tiff,,,True,,,,0.0,33.139
no_cap,403.tiff/tm_score,17326.0,"(2000000,)",True,,,,,
nms_radius,403.tiff/tm_score,,,True,33.059940944881895,33.059940944881895,0.22686065932495555,,
no_cap,403.tiff/chromatin_od,17326.0,"(2000000,)",True,,,,,
nms_radius,403.tiff/chromatin_od,,,True,33.059940944881895,33.059940944881895,0.22686065932495555,,
no_cap,403.tiff/od31,17326.0,"(2000000,)",True,,,,,
nms_radius,403.tiff/od31,,,True,33.059940944881895,33.059940944881895,0.22686065932495555,,
no_cap,403.tiff/od_falloff,17326.0,"(2000000,)",True,,,,,
nms_radius,403.tiff/od_falloff,,,True,33.059940944881895,33.059940944881895,0.22686065932495555,,
no_cap,403.tiff/mask_od_mean,17326.0,"(2000000,)",True,,,,,
nms_radius,403.tiff/mask_od_mean,,,True,33.059940944881895,33.059940944881895,0.22686065932495555,,
no_cap,403.tiff/od_contrast,17326.0,"(2000000,)",True,,,,,
nms_radius,403.tiff/od_contrast,,,True,33.059940944881895,33.059940944881895,0.22686065932495555,,
seed_annulus_empty,403.tiff,,,True,,,,0.0,33.06
no_cap,459.tiff/tm_score,17994.0,"(2000000,)",True,,,,,
nms_radius,459.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
no_cap,459.tiff/chromatin_od,17994.0,"(2000000,)",True,,,,,
nms_radius,459.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
no_cap,459.tiff/od31,17994.0,"(2000000,)",True,,,,,
nms_radius,459.tiff/od31,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
no_cap,459.tiff/od_falloff,17994.0,"(2000000,)",True,,,,,
nms_radius,459.tiff/od_falloff,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
no_cap,459.tiff/mask_od_mean,17994.0,"(2000000,)",True,,,,,
nms_radius,459.tiff/mask_od_mean,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
no_cap,459.tiff/od_contrast,17994.0,"(2000000,)",True,,,,,
nms_radius,459.tiff/od_contrast,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
seed_annulus_empty,459.tiff,,,True,,,,0.0,30.222
no_cap,460.tiff/tm_score,15339.0,"(2000000,)",True,,,,,
nms_radius,460.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
no_cap,460.tiff/chromatin_od,15339.0,"(2000000,)",True,,,,,
nms_radius,460.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
no_cap,460.tiff/od31,15339.0,"(2000000,)",True,,,,,
nms_radius,460.tiff/od31,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
no_cap,460.tiff/od_falloff,15339.0,"(2000000,)",True,,,,,
nms_radius,460.tiff/od_falloff,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
no_cap,460.tiff/mask_od_mean,15339.0,"(2000000,)",True,,,,,
nms_radius,460.tiff/mask_od_mean,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
no_cap,460.tiff/od_contrast,15339.0,"(2000000,)",True,,,,,
nms_radius,460.tiff/od_contrast,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
seed_annulus_empty,460.tiff,,,True,,,,0.0,30.222
no_cap,529.tiff/tm_score,15862.0,"(2000000,)",True,,,,,
nms_radius,529.tiff/tm_score,,,True,33.0639829123214,33.0639829123214,0.2268329263261596,,
no_cap,529.tiff/chromatin_od,15862.0,"(2000000,)",True,,,,,
nms_radius,529.tiff/chromatin_od,,,True,33.0639829123214,33.0639829123214,0.2268329263261596,,
no_cap,529.tiff/od31,15862.0,"(2000000,)",True,,,,,
nms_radius,529.tiff/od31,,,True,33.0639829123214,33.0639829123214,0.2268329263261596,,
no_cap,529.tiff/od_falloff,15862.0,"(2000000,)",True,,,,,
nms_radius,529.tiff/od_falloff,,,True,33.0639829123214,33.0639829123214,0.2268329263261596,,
no_cap,529.tiff/mask_od_mean,15862.0,"(2000000,)",True,,,,,
nms_radius,529.tiff/mask_od_mean,,,True,33.0639829123214,33.0639829123214,0.2268329263261596,,
no_cap,529.tiff/od_contrast,15862.0,"(2000000,)",True,,,,,
nms_radius,529.tiff/od_contrast,,,True,33.0639829123214,33.0639829123214,0.2268329263261596,,
seed_annulus_empty,529.tiff,,,True,,,,0.0,33.064
no_cap,548.tiff/tm_score,17413.0,"(2000000,)",True,,,,,
nms_radius,548.tiff/tm_score,,,True,32.975303229224245,32.975303229224245,0.22744294261267478,,
no_cap,548.tiff/chromatin_od,17413.0,"(2000000,)",True,,,,,
nms_radius,548.tiff/chromatin_od,,,True,32.975303229224245,32.975303229224245,0.22744294261267478,,
no_cap,548.tiff/od31,17413.0,"(2000000,)",True,,,,,
nms_radius,548.tiff/od31,,,True,32.975303229224245,32.975303229224245,0.22744294261267478,,
no_cap,548.tiff/od_falloff,17413.0,"(2000000,)",True,,,,,
nms_radius,548.tiff/od_falloff,,,True,32.975303229224245,32.975303229224245,0.22744294261267478,,
no_cap,548.tiff/mask_od_mean,17413.0,"(2000000,)",True,,,,,
nms_radius,548.tiff/mask_od_mean,,,True,32.975303229224245,32.975303229224245,0.22744294261267478,,
no_cap,548.tiff/od_contrast,17413.0,"(2000000,)",True,,,,,
nms_radius,548.tiff/od_contrast,,,True,32.975303229224245,32.975303229224245,0.22744294261267478,,
seed_annulus_empty,548.tiff,,,True,,,,0.0,32.975
reproduces_reference_tp_at_budget,ALL,,,True,,,,,
deep_pool_covers_max_budget,ALL,,,True,,,,,
no_starvation_any_budget,ALL,,,True,,,,,
