file_name,tumor_type,image_id,seed_ann_id,base_size,map_median,mad_scale,mpp,arm,rank_key,seeded,z,z_dependent,floor_limited,n_gt_mitotic,n_gt_lookalike,n_detections,coverage_frac,n_lookalike_in_list,largest_tie_block,nan_rate,full_list_recall,match_radius_px,read_50,read_80,read_90,read_95,read_99,read_100,budget,budget_delivered,tp_at_budget,lookalike_at_budget,recall_at_budget,precision_at_budget
013.tiff,human breast cancer,13,254,31,-0.0048,0.12818,0.22632094805310524,tm_score,score,True,-1.5,True,False,17,15,17200,0.9535,15,2,0.0,1.0,33.139,49.0,480.0,893.0,1147.0,1147.0,1147.0,10,10,4,2,0.23529411764705882,0.4
013.tiff,human breast cancer,13,254,31,-0.0048,0.12818,0.22632094805310524,tm_score,score,True,-1.5,True,False,17,15,17200,0.9535,15,2,0.0,1.0,33.139,49.0,480.0,893.0,1147.0,1147.0,1147.0,20,20,5,3,0.29411764705882354,0.25
013.tiff,human breast cancer,13,254,31,-0.0048,0.12818,0.22632094805310524,tm_score,score,True,-1.5,True,False,17,15,17200,0.9535,15,2,0.0,1.0,33.139,49.0,480.0,893.0,1147.0,1147.0,1147.0,30,30,6,3,0.35294117647058826,0.2
013.tiff,human breast cancer,13,254,31,-0.0048,0.12818,0.22632094805310524,tm_score,score,True,-1.5,True,False,17,15,17200,0.9535,15,2,0.0,1.0,33.139,49.0,480.0,893.0,1147.0,1147.0,1147.0,50,50,9,5,0.5294117647058824,0.18
013.tiff,human breast cancer,13,254,31,-0.0048,0.12818,0.22632094805310524,chromatin_od,od51,True,-1.5,True,False,17,15,17200,0.9535,15,2,0.0,1.0,33.139,25.0,68.0,114.0,175.0,175.0,175.0,10,10,5,2,0.29411764705882354,0.5
013.tiff,human breast cancer,13,254,31,-0.0048,0.12818,0.22632094805310524,chromatin_od,od51,True,-1.5,True,False,17,15,17200,0.9535,15,2,0.0,1.0,33.139,25.0,68.0,114.0,175.0,175.0,175.0,20,20,8,3,0.47058823529411764,0.4
013.tiff,human breast cancer,13,254,31,-0.0048,0.12818,0.22632094805310524,chromatin_od,od51,True,-1.5,True,False,17,15,17200,0.9535,15,2,0.0,1.0,33.139,25.0,68.0,114.0,175.0,175.0,175.0,30,30,12,4,0.7058823529411765,0.4
013.tiff,human breast cancer,13,254,31,-0.0048,0.12818,0.22632094805310524,chromatin_od,od51,True,-1.5,True,False,17,15,17200,0.9535,15,2,0.0,1.0,33.139,25.0,68.0,114.0,175.0,175.0,175.0,50,50,13,6,0.7647058823529411,0.26
013.tiff,human breast cancer,13,254,31,-0.0048,0.12818,0.22632094805310524,od31,od31,True,-1.5,True,False,17,15,17200,0.9535,15,2,0.0,1.0,33.139,27.0,72.0,110.0,133.0,133.0,133.0,10,10,5,1,0.29411764705882354,0.5
013.tiff,human breast cancer,13,254,31,-0.0048,0.12818,0.22632094805310524,od31,od31,True,-1.5,True,False,17,15,17200,0.9535,15,2,0.0,1.0,33.139,27.0,72.0,110.0,133.0,133.0,133.0,20,20,7,3,0.4117647058823529,0.35
013.tiff,human breast cancer,13,254,31,-0.0048,0.12818,0.22632094805310524,od31,od31,True,-1.5,True,False,17,15,17200,0.9535,15,2,0.0,1.0,33.139,27.0,72.0,110.0,133.0,133.0,133.0,30,30,10,3,0.5882352941176471,0.3333333333333333
013.tiff,human breast cancer,13,254,31,-0.0048,0.12818,0.22632094805310524,od31,od31,True,-1.5,True,False,17,15,17200,0.9535,15,2,0.0,1.0,33.139,27.0,72.0,110.0,133.0,133.0,133.0,50,50,12,5,0.7058823529411765,0.24
