file_name,domain,n_gt_mitotic,n_detections,z_at_rank_10,budget_delivered_10,tp_at_10,precision_at_10,z_at_rank_20,budget_delivered_20,tp_at_20,precision_at_20,z_at_rank_30,budget_delivered_30,tp_at_30,precision_at_30,z_at_rank_50,budget_delivered_50,tp_at_50,precision_at_50
300.tiff,canine cutaneous mast cell tumor,180,17940,8.523,10,7,0.7,7.794,20,14,0.7,7.577,30,20,0.6667,7.196,50,32,0.64
301.tiff,canine cutaneous mast cell tumor,217,17963,7.078,10,9,0.9,6.83,20,16,0.8,6.634,30,24,0.8,6.431,50,38,0.76
201.tiff,canine lung cancer,17,15848,6.339,10,3,0.3,6.053,20,5,0.25,5.914,30,6,0.2,5.623,50,11,0.22
233.tiff,canine lung cancer,17,17614,10.805,10,4,0.4,10.254,20,7,0.35,10.019,30,7,0.2333,9.462,50,10,0.2
245.tiff,canine lymphosarcoma,89,17552,5.281,10,1,0.1,5.125,20,1,0.05,4.994,30,1,0.0333,4.875,50,4,0.08
246.tiff,canine lymphosarcoma,115,17763,9.72,10,10,1.0,8.791,20,18,0.9,8.404,30,24,0.8,7.667,50,32,0.64
459.tiff,canine soft tissue sarcoma,130,17994,7.604,10,5,0.5,7.008,20,10,0.5,6.886,30,15,0.5,6.495,50,24,0.48
460.tiff,canine soft tissue sarcoma,35,15339,7.557,10,7,0.7,6.937,20,11,0.55,6.551,30,13,0.4333,6.264,50,17,0.34
013.tiff,human breast cancer,17,17200,20.26,10,4,0.4,18.34,20,5,0.25,17.592,30,6,0.2,16.435,50,9,0.18
094.tiff,human breast cancer,81,18410,18.692,10,5,0.5,17.66,20,10,0.5,16.727,30,16,0.5333,15.546,50,25,0.5
529.tiff,human melanoma,19,15862,11.325,10,4,0.4,10.82,20,4,0.2,10.512,30,5,0.1667,10.112,50,6,0.12
548.tiff,human melanoma,238,17413,13.827,10,5,0.5,12.504,20,12,0.6,12.189,30,16,0.5333,11.343,50,31,0.62
402.tiff,human neuroendocrine tumor,104,17337,11.158,10,3,0.3,10.392,20,9,0.45,10.014,30,15,0.5,9.509,50,23,0.46
403.tiff,human neuroendocrine tumor,52,16411,19.399,10,4,0.4,17.707,20,7,0.35,16.83,30,9,0.3,15.271,50,15,0.3
