check,label,n_items,caps,passed,used_radius,expected_radius,mpp,n_near_seed,match_radius_px,n_sentinel_in_valid
no_cap,013.tiff/tm_score_deep_floor,17358.0,"(2000000,)",True,,,,,,
nms_radius,013.tiff/tm_score_deep_floor,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,,
seed_annulus_empty,013.tiff,,,True,,,,0.0,33.139,
no_sentinel_in_valid_sample,013.tiff,,,True,,,,,,0.0
no_cap,094.tiff/tm_score_deep_floor,18594.0,"(2000000,)",True,,,,,,
nms_radius,094.tiff/tm_score_deep_floor,,,True,32.63031496062992,32.63031496062992,0.22984761284250915,,,
seed_annulus_empty,094.tiff,,,True,,,,0.0,32.63,
no_sentinel_in_valid_sample,094.tiff,,,True,,,,,,0.0
no_cap,201.tiff/tm_score_deep_floor,15937.0,"(2000000,)",True,,,,,,
nms_radius,201.tiff/tm_score_deep_floor,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
seed_annulus_empty,201.tiff,,,True,,,,0.0,30.222,
no_sentinel_in_valid_sample,201.tiff,,,True,,,,,,0.0
no_cap,233.tiff/tm_score_deep_floor,17874.0,"(2000000,)",True,,,,,,
nms_radius,233.tiff/tm_score_deep_floor,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
seed_annulus_empty,233.tiff,,,True,,,,0.0,30.222,
no_sentinel_in_valid_sample,233.tiff,,,True,,,,,,0.0
no_cap,245.tiff/tm_score_deep_floor,17601.0,"(2000000,)",True,,,,,,
nms_radius,245.tiff/tm_score_deep_floor,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
seed_annulus_empty,245.tiff,,,True,,,,0.0,30.222,
no_sentinel_in_valid_sample,245.tiff,,,True,,,,,,0.0
no_cap,246.tiff/tm_score_deep_floor,17992.0,"(2000000,)",True,,,,,,
nms_radius,246.tiff/tm_score_deep_floor,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
seed_annulus_empty,246.tiff,,,True,,,,0.0,30.222,
no_sentinel_in_valid_sample,246.tiff,,,True,,,,,,0.0
no_cap,300.tiff/tm_score_deep_floor,18146.0,"(2000000,)",True,,,,,,
nms_radius,300.tiff/tm_score_deep_floor,,,True,29.609055118110238,29.609055118110238,0.2533008895448562,,,
seed_annulus_empty,300.tiff,,,True,,,,0.0,29.609,
no_sentinel_in_valid_sample,300.tiff,,,True,,,,,,0.0
no_cap,301.tiff/tm_score_deep_floor,18221.0,"(2000000,)",True,,,,,,
nms_radius,301.tiff/tm_score_deep_floor,,,True,29.609055118110238,29.609055118110238,0.2533008895448562,,,
seed_annulus_empty,301.tiff,,,True,,,,0.0,29.609,
no_sentinel_in_valid_sample,301.tiff,,,True,,,,,,0.0
no_cap,402.tiff/tm_score_deep_floor,17586.0,"(2000000,)",True,,,,,,
nms_radius,402.tiff/tm_score_deep_floor,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,,
seed_annulus_empty,402.tiff,,,True,,,,0.0,33.139,
no_sentinel_in_valid_sample,402.tiff,,,True,,,,,,0.0
no_cap,403.tiff/tm_score_deep_floor,17419.0,"(2000000,)",True,,,,,,
nms_radius,403.tiff/tm_score_deep_floor,,,True,33.059940944881895,33.059940944881895,0.22686065932495555,,,
seed_annulus_empty,403.tiff,,,True,,,,0.0,33.06,
no_sentinel_in_valid_sample,403.tiff,,,True,,,,,,0.0
no_cap,459.tiff/tm_score_deep_floor,18087.0,"(2000000,)",True,,,,,,
nms_radius,459.tiff/tm_score_deep_floor,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
seed_annulus_empty,459.tiff,,,True,,,,0.0,30.222,
no_sentinel_in_valid_sample,459.tiff,,,True,,,,,,0.0
no_cap,460.tiff/tm_score_deep_floor,15702.0,"(2000000,)",True,,,,,,
nms_radius,460.tiff/tm_score_deep_floor,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
seed_annulus_empty,460.tiff,,,True,,,,0.0,30.222,
no_sentinel_in_valid_sample,460.tiff,,,True,,,,,,0.0
no_cap,529.tiff/tm_score_deep_floor,16115.0,"(2000000,)",True,,,,,,
nms_radius,529.tiff/tm_score_deep_floor,,,True,33.0639829123214,33.0639829123214,0.2268329263261596,,,
seed_annulus_empty,529.tiff,,,True,,,,0.0,33.064,
no_sentinel_in_valid_sample,529.tiff,,,True,,,,,,0.0
no_cap,548.tiff/tm_score_deep_floor,17693.0,"(2000000,)",True,,,,,,
nms_radius,548.tiff/tm_score_deep_floor,,,True,32.975303229224245,32.975303229224245,0.22744294261267478,,,
seed_annulus_empty,548.tiff,,,True,,,,0.0,32.975,
no_sentinel_in_valid_sample,548.tiff,,,True,,,,,,0.0
deep_pool_covers_max_budget,ALL,,,True,,,,,,
no_starvation_any_budget,ALL,,,True,,,,,,
no_sentinel_contamination,ALL,,,True,,,,,,
