file_name,tumor_type,image_id,seed_ann_id,base_size,map_median,mad_scale,mpp,arm,rank_key,seeded,z,z_dependent,floor_limited,n_gt_mitotic,n_gt_lookalike,n_detections,coverage_frac,n_lookalike_in_list,largest_tie_block,nan_rate,full_list_recall,match_radius_px,read_50,read_80,read_90,read_95,read_99,read_100,budget,budget_delivered,tp_at_budget,lookalike_at_budget,recall_at_budget,z_at_rank,precision_at_budget
013.tiff,human breast cancer,13,254,31,0.1171,0.13077,0.22632094805310524,tm_score_deep_floor,score,True,-1.5,True,False,17,15,17663,0.9604,15,2,0.0,1.0,33.139,29.0,113.0,153.0,275.0,275.0,275.0,10,10,5,1,0.29411764705882354,20.692864791570123,0.5
013.tiff,human breast cancer,13,254,31,0.1171,0.13077,0.22632094805310524,tm_score_deep_floor,score,True,-1.5,True,False,17,15,17663,0.9604,15,2,0.0,1.0,33.139,29.0,113.0,153.0,275.0,275.0,275.0,20,20,7,2,0.4117647058823529,17.635229001622594,0.35
013.tiff,human breast cancer,13,254,31,0.1171,0.13077,0.22632094805310524,tm_score_deep_floor,score,True,-1.5,True,False,17,15,17663,0.9604,15,2,0.0,1.0,33.139,29.0,113.0,153.0,275.0,275.0,275.0,30,30,10,3,0.5882352941176471,16.73800397899893,0.3333333333333333
013.tiff,human breast cancer,13,254,31,0.1171,0.13077,0.22632094805310524,tm_score_deep_floor,score,True,-1.5,True,False,17,15,17663,0.9604,15,2,0.0,1.0,33.139,29.0,113.0,153.0,275.0,275.0,275.0,50,50,10,4,0.5882352941176471,15.917677655270486,0.2
094.tiff,human breast cancer,94,2512,25,0.01382,0.04385,0.22984761284250915,tm_score_deep_floor,score,True,-1.5,True,False,81,102,18317,0.9711,102,2,0.0,1.0,32.63,167.0,728.0,1264.0,1659.0,2976.0,2976.0,10,10,5,4,0.06172839506172839,21.427169152539893,0.5
094.tiff,human breast cancer,94,2512,25,0.01382,0.04385,0.22984761284250915,tm_score_deep_floor,score,True,-1.5,True,False,81,102,18317,0.9711,102,2,0.0,1.0,32.63,167.0,728.0,1264.0,1659.0,2976.0,2976.0,20,20,10,7,0.12345679012345678,20.291305194189142,0.5
094.tiff,human breast cancer,94,2512,25,0.01382,0.04385,0.22984761284250915,tm_score_deep_floor,score,True,-1.5,True,False,81,102,18317,0.9711,102,2,0.0,1.0,32.63,167.0,728.0,1264.0,1659.0,2976.0,2976.0,30,30,15,10,0.18518518518518517,19.75172182998268,0.5
094.tiff,human breast cancer,94,2512,25,0.01382,0.04385,0.22984761284250915,tm_score_deep_floor,score,True,-1.5,True,False,81,102,18317,0.9711,102,2,0.0,1.0,32.63,167.0,728.0,1264.0,1659.0,2976.0,2976.0,50,50,22,15,0.2716049382716049,18.076284022664254,0.44
201.tiff,canine lung cancer,201,4457,51,0.40179,0.5845,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,17,49,15532,0.9303,49,2,0.0,1.0,30.222,43.0,146.0,439.0,1196.0,1196.0,1196.0,10,10,3,2,0.17647058823529413,6.96376385371109,0.3
201.tiff,canine lung cancer,201,4457,51,0.40179,0.5845,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,17,49,15532,0.9303,49,2,0.0,1.0,30.222,43.0,146.0,439.0,1196.0,1196.0,1196.0,20,20,6,7,0.35294117647058826,6.50584836615436,0.3
