rule,pair,K,mean_delta_precision,wins,losses,exact_p,holm_p
all_mitoses,gray_bbox - default_51,10,-0.0143,1,3,0.625,0.75
all_mitoses,gray_bbox - default_51,20,-0.0286,0,4,0.125,0.539062
all_mitoses,gray_bbox - default_51,30,-0.0167,3,5,0.296875,0.75
all_mitoses,hem_bbox - default_51,10,-0.0357,0,5,0.0625,0.4375
all_mitoses,hem_bbox - default_51,20,-0.0679,1,11,0.00293,0.026367
all_mitoses,hem_bbox - default_51,30,-0.0429,1,10,0.006836,0.054688
all_mitoses,hem_bbox - gray_bbox,10,-0.0214,0,3,0.25,0.75
all_mitoses,hem_bbox - gray_bbox,20,-0.0393,3,9,0.089844,0.539062
all_mitoses,hem_bbox - gray_bbox,30,-0.0262,3,7,0.097656,0.539062
contested_excluded,gray_bbox - default_51,10,-0.0142,2,3,0.5,0.9375
contested_excluded,gray_bbox - default_51,20,-0.0314,1,5,0.0625,0.4375
contested_excluded,gray_bbox - default_51,30,-0.0185,3,6,0.238281,0.714844
contested_excluded,hem_bbox - default_51,10,-0.0269,1,5,0.15625,0.625
contested_excluded,hem_bbox - default_51,20,-0.0666,1,11,0.003418,0.028564
contested_excluded,hem_bbox - default_51,30,-0.0435,2,12,0.003174,0.028564
contested_excluded,hem_bbox - gray_bbox,10,-0.0127,2,5,0.46875,0.9375
contested_excluded,hem_bbox - gray_bbox,20,-0.0352,3,9,0.114258,0.571289
contested_excluded,hem_bbox - gray_bbox,30,-0.0249,3,9,0.078125,0.46875
contested_as_fp,gray_bbox - default_51,10,0.0,2,2,1.0,1.0
contested_as_fp,gray_bbox - default_51,20,-0.0214,1,5,0.15625,1.0
contested_as_fp,gray_bbox - default_51,30,-0.0167,2,6,0.296875,1.0
contested_as_fp,hem_bbox - default_51,10,-0.0071,2,3,1.0,1.0
contested_as_fp,hem_bbox - default_51,20,-0.0429,3,7,0.064453,0.515625
contested_as_fp,hem_bbox - default_51,30,-0.0357,3,10,0.036865,0.331787
contested_as_fp,hem_bbox - gray_bbox,10,-0.0071,3,4,1.0,1.0
contested_as_fp,hem_bbox - gray_bbox,20,-0.0214,3,6,0.390625,1.0
contested_as_fp,hem_bbox - gray_bbox,30,-0.019,3,9,0.175293,1.0
