rank,cx,cy,score,angle,flip,scale,od,bucket,matched_ann_id,matched_category,file_name,condition
0,3116.0,1382.0,6.2620764,0.0,False,1.0,0.22648033499717712,human_correct_label,268,1,013.tiff,default_51
1,5009.0,4566.0,7.3745794,0.0,False,1.0,0.21892690658569336,human_correct_label,259,1,013.tiff,default_51
2,457.0,4107.0,7.142321,0.0,False,1.0,0.2160908579826355,human_rejected_label,255,2,013.tiff,default_51
3,3724.0,5367.0,5.851864,0.0,False,1.0,0.20322731137275696,human_correct_label,263,1,013.tiff,default_51
4,2533.0,156.0,5.518102,0.0,False,1.0,0.19415229558944702,human_correct_label,240,1,013.tiff,default_51
5,5260.0,3974.0,4.013989,0.0,False,1.0,0.19117219746112823,human_correct_label,260,1,013.tiff,default_51
6,164.0,665.0,4.661532,0.0,False,1.0,0.18850205838680267,human_rejected_label,269,2,013.tiff,default_51
7,7030.0,4601.0,4.0828047,0.0,False,1.0,0.18821153044700623,non_human_findings,-1,0,013.tiff,default_51
8,5242.0,1971.0,6.382639,0.0,False,1.0,0.18448781967163086,human_correct_label,246,1,013.tiff,default_51
9,5569.0,5243.0,5.049673,0.0,False,1.0,0.1814485639333725,human_rejected_label,266,2,013.tiff,default_51
10,4898.0,4451.0,4.9387817,0.0,False,1.0,0.17157402634620667,non_human_findings,-1,0,013.tiff,default_51
11,5324.0,2234.0,5.387726,0.0,False,1.0,0.16946126520633698,human_correct_label,247,1,013.tiff,default_51
12,5905.0,4965.0,4.2813315,0.0,False,1.0,0.1693657785654068,non_human_findings,-1,0,013.tiff,default_51
13,6369.0,2361.0,5.781931,0.0,False,1.0,0.16588781774044037,human_rejected_label,270,2,013.tiff,default_51
14,4626.0,2661.0,5.8735466,0.0,False,1.0,0.1645229011774063,human_correct_label,250,1,013.tiff,default_51
15,3105.0,571.0,3.919733,0.0,False,1.0,0.1625964194536209,non_human_findings,-1,0,013.tiff,default_51
16,5963.0,4913.0,6.4628034,0.0,False,1.0,0.16200725734233856,non_human_findings,-1,0,013.tiff,default_51
17,6748.0,4210.0,4.544041,0.0,False,1.0,0.15846531093120575,non_human_findings,-1,0,013.tiff,default_51
18,6003.0,4495.0,4.330968,0.0,False,1.0,0.1584530770778656,non_human_findings,-1,0,013.tiff,default_51
19,6007.0,4870.0,5.727901,0.0,False,1.0,0.15758708119392395,non_human_findings,-1,0,013.tiff,default_51
20,6681.0,5394.0,5.275102,0.0,False,1.0,0.15712960064411163,non_human_findings,-1,0,013.tiff,default_51
21,2603.0,3915.0,4.992995,0.0,False,1.0,0.15711602568626404,non_human_findings,-1,0,013.tiff,default_51
22,3998.0,2383.0,4.5484295,0.0,False,1.0,0.15700918436050415,non_human_findings,-1,0,013.tiff,default_51
23,6820.0,3775.0,4.2147703,0.0,False,1.0,0.15574108064174652,human_correct_label,254,1,013.tiff,default_51
24,3581.0,4643.0,5.384959,0.0,False,1.0,0.15559826791286469,non_human_findings,-1,0,013.tiff,default_51
25,308.0,4189.0,4.2881584,0.0,False,1.0,0.15517859160900116,non_human_findings,-1,0,013.tiff,default_51
26,3067.0,4945.0,5.0264087,0.0,False,1.0,0.15383580327033997,human_rejected_label,264,2,013.tiff,default_51
27,6249.0,4995.0,4.343174,0.0,False,1.0,0.15305714309215546,non_human_findings,-1,0,013.tiff,default_51
28,1076.0,4359.0,4.14687,0.0,False,1.0,0.1486712545156479,non_human_findings,-1,0,013.tiff,default_51
29,6931.0,4131.0,5.363666,0.0,False,1.0,0.14680983126163483,non_human_findings,-1,0,013.tiff,default_51
0,3119.0,1379.0,3.424869,0.0,False,1.0,0.22648033499717712,human_correct_label,268,1,013.tiff,gray_bbox
1,5010.0,4566.0,4.096166,0.0,False,1.0,0.21892690658569336,human_correct_label,259,1,013.tiff,gray_bbox
2,459.0,4106.0,3.7870343,0.0,False,1.0,0.2160908430814743,human_rejected_label,255,2,013.tiff,gray_bbox
3,3728.0,5365.0,3.012503,0.0,False,1.0,0.20322729647159576,human_correct_label,263,1,013.tiff,gray_bbox
4,2535.0,154.0,2.9192526,0.0,False,1.0,0.19415228068828583,human_correct_label,240,1,013.tiff,gray_bbox
5,5264.0,3972.0,2.3568547,0.0,False,1.0,0.19324126839637756,human_correct_label,260,1,013.tiff,gray_bbox
6,168.0,664.0,2.2864997,0.0,False,1.0,0.18852397799491882,human_rejected_label,269,2,013.tiff,gray_bbox
7,7032.0,4601.0,2.4393137,0.0,False,1.0,0.18821153044700623,non_human_findings,-1,0,013.tiff,gray_bbox
