check,label,n_items,caps,passed,used_radius,expected_radius,mpp,n_near_seed,match_radius_px,note
no_cap,013.tiff/tm_score,17724.0,"(2000000,)",True,,,,,,
nms_radius,013.tiff/tm_score,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,,
no_cap,013.tiff/chromatin_od,17724.0,"(2000000,)",True,,,,,,
nms_radius,013.tiff/chromatin_od,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,,
no_cap,013.tiff/od31,17724.0,"(2000000,)",True,,,,,,
nms_radius,013.tiff/od31,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,,
no_cap,013.tiff/od_falloff,17724.0,"(2000000,)",True,,,,,,
nms_radius,013.tiff/od_falloff,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,,
no_cap,013.tiff/mask_od_mean,17724.0,"(2000000,)",True,,,,,,
nms_radius,013.tiff/mask_od_mean,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,,
no_cap,013.tiff/od_contrast,17724.0,"(2000000,)",True,,,,,,
nms_radius,013.tiff/od_contrast,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,,
seed_annulus_empty,013.tiff,,,True,,,,0.0,33.139,
no_cap,094.tiff/tm_score,18628.0,"(2000000,)",True,,,,,,
nms_radius,094.tiff/tm_score,,,True,32.63031496062992,32.63031496062992,0.22984761284250915,,,
no_cap,094.tiff/chromatin_od,18628.0,"(2000000,)",True,,,,,,
nms_radius,094.tiff/chromatin_od,,,True,32.63031496062992,32.63031496062992,0.22984761284250915,,,
no_cap,094.tiff/od31,18628.0,"(2000000,)",True,,,,,,
nms_radius,094.tiff/od31,,,True,32.63031496062992,32.63031496062992,0.22984761284250915,,,
no_cap,094.tiff/od_falloff,18628.0,"(2000000,)",True,,,,,,
nms_radius,094.tiff/od_falloff,,,True,32.63031496062992,32.63031496062992,0.22984761284250915,,,
no_cap,094.tiff/mask_od_mean,18628.0,"(2000000,)",True,,,,,,
nms_radius,094.tiff/mask_od_mean,,,True,32.63031496062992,32.63031496062992,0.22984761284250915,,,
no_cap,094.tiff/od_contrast,18628.0,"(2000000,)",True,,,,,,
nms_radius,094.tiff/od_contrast,,,True,32.63031496062992,32.63031496062992,0.22984761284250915,,,
seed_annulus_empty,094.tiff,,,True,,,,0.0,32.63,
no_cap,201.tiff/tm_score,15848.0,"(2000000,)",True,,,,,,
nms_radius,201.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
no_cap,201.tiff/chromatin_od,15848.0,"(2000000,)",True,,,,,,
nms_radius,201.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
no_cap,201.tiff/od31,15848.0,"(2000000,)",True,,,,,,
nms_radius,201.tiff/od31,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
no_cap,201.tiff/od_falloff,15848.0,"(2000000,)",True,,,,,,
nms_radius,201.tiff/od_falloff,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
no_cap,201.tiff/mask_od_mean,15848.0,"(2000000,)",True,,,,,,
nms_radius,201.tiff/mask_od_mean,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
