domain,condition,arm,n_roi,K,tp_sum,delivered_sum,precision_pooled,precision_worst_roi,worst_roi_file,worst_roi_tied
canine cutaneous mast cell tumor,gray_bbox,chromatin_od,2,10,17,20,0.85,0.8,301.tiff,False
canine cutaneous mast cell tumor,gray_bbox,chromatin_od,2,20,37,40,0.925,0.9,301.tiff,False
canine cutaneous mast cell tumor,gray_bbox,chromatin_od,2,30,54,60,0.9,0.9,300.tiff,True
canine cutaneous mast cell tumor,gray_bbox,chromatin_od,2,50,87,100,0.87,0.82,301.tiff,False
canine cutaneous mast cell tumor,gray_bbox,od_contrast,2,10,16,20,0.8,0.8,300.tiff,True
canine cutaneous mast cell tumor,gray_bbox,od_contrast,2,20,36,40,0.9,0.9,300.tiff,True
canine cutaneous mast cell tumor,gray_bbox,od_contrast,2,30,55,60,0.9167,0.9,301.tiff,False
canine cutaneous mast cell tumor,gray_bbox,od_contrast,2,50,86,100,0.86,0.82,301.tiff,False
canine cutaneous mast cell tumor,gray_bbox,tm_score,2,10,18,20,0.9,0.9,300.tiff,True
canine cutaneous mast cell tumor,gray_bbox,tm_score,2,20,35,40,0.875,0.85,300.tiff,False
canine cutaneous mast cell tumor,gray_bbox,tm_score,2,30,49,60,0.8167,0.8,301.tiff,False
canine cutaneous mast cell tumor,gray_bbox,tm_score,2,50,80,100,0.8,0.74,301.tiff,False
canine cutaneous mast cell tumor,hem_bbox,chromatin_od,2,10,16,20,0.8,0.8,300.tiff,True
canine cutaneous mast cell tumor,hem_bbox,chromatin_od,2,20,34,40,0.85,0.85,300.tiff,True
canine cutaneous mast cell tumor,hem_bbox,chromatin_od,2,30,53,60,0.8833,0.8667,301.tiff,False
canine cutaneous mast cell tumor,hem_bbox,chromatin_od,2,50,81,100,0.81,0.8,300.tiff,False
canine cutaneous mast cell tumor,hem_bbox,od_contrast,2,10,15,20,0.75,0.7,301.tiff,False
canine cutaneous mast cell tumor,hem_bbox,od_contrast,2,20,33,40,0.825,0.8,301.tiff,False
canine cutaneous mast cell tumor,hem_bbox,od_contrast,2,30,51,60,0.85,0.8333,301.tiff,False
canine cutaneous mast cell tumor,hem_bbox,od_contrast,2,50,81,100,0.81,0.78,300.tiff,False
canine cutaneous mast cell tumor,hem_bbox,tm_score,2,10,19,20,0.95,0.9,301.tiff,False
canine cutaneous mast cell tumor,hem_bbox,tm_score,2,20,34,40,0.85,0.8,300.tiff,False
canine cutaneous mast cell tumor,hem_bbox,tm_score,2,30,49,60,0.8167,0.7667,300.tiff,False
canine cutaneous mast cell tumor,hem_bbox,tm_score,2,50,75,100,0.75,0.68,300.tiff,False
canine lung cancer,gray_bbox,chromatin_od,2,10,11,20,0.55,0.4,201.tiff,False
canine lung cancer,gray_bbox,chromatin_od,2,20,16,40,0.4,0.4,201.tiff,True
canine lung cancer,gray_bbox,chromatin_od,2,30,19,60,0.3167,0.3,201.tiff,False
canine lung cancer,gray_bbox,chromatin_od,2,50,21,100,0.21,0.2,233.tiff,False
canine lung cancer,gray_bbox,od_contrast,2,10,12,20,0.6,0.4,201.tiff,False
canine lung cancer,gray_bbox,od_contrast,2,20,15,40,0.375,0.35,201.tiff,False
canine lung cancer,gray_bbox,od_contrast,2,30,18,60,0.3,0.2667,201.tiff,False
canine lung cancer,gray_bbox,od_contrast,2,50,21,100,0.21,0.2,233.tiff,False
canine lung cancer,gray_bbox,tm_score,2,10,6,20,0.3,0.3,201.tiff,True
canine lung cancer,gray_bbox,tm_score,2,20,10,40,0.25,0.25,201.tiff,True
canine lung cancer,gray_bbox,tm_score,2,30,14,60,0.2333,0.2,201.tiff,False
canine lung cancer,gray_bbox,tm_score,2,50,19,100,0.19,0.16,233.tiff,False
canine lung cancer,hem_bbox,chromatin_od,2,10,10,20,0.5,0.4,201.tiff,False
canine lung cancer,hem_bbox,chromatin_od,2,20,13,40,0.325,0.3,201.tiff,False
canine lung cancer,hem_bbox,chromatin_od,2,30,16,60,0.2667,0.2333,201.tiff,False
canine lung cancer,hem_bbox,chromatin_od,2,50,16,100,0.16,0.14,201.tiff,False
canine lung cancer,hem_bbox,od_contrast,2,10,11,20,0.55,0.4,201.tiff,False
canine lung cancer,hem_bbox,od_contrast,2,20,13,40,0.325,0.3,201.tiff,False
canine lung cancer,hem_bbox,od_contrast,2,30,15,60,0.25,0.2,201.tiff,False
canine lung cancer,hem_bbox,od_contrast,2,50,18,100,0.18,0.16,201.tiff,False
canine lung cancer,hem_bbox,tm_score,2,10,8,20,0.4,0.4,201.tiff,True
canine lung cancer,hem_bbox,tm_score,2,20,11,40,0.275,0.25,201.tiff,False
canine lung cancer,hem_bbox,tm_score,2,30,12,60,0.2,0.1667,201.tiff,False
canine lung cancer,hem_bbox,tm_score,2,50,13,100,0.13,0.12,201.tiff,False
canine lymphosarcoma,gray_bbox,chromatin_od,2,10,11,20,0.55,0.1,245.tiff,False
canine lymphosarcoma,gray_bbox,chromatin_od,2,20,18,40,0.45,0.2,245.tiff,False
canine lymphosarcoma,gray_bbox,chromatin_od,2,30,28,60,0.4667,0.2333,245.tiff,False
canine lymphosarcoma,gray_bbox,chromatin_od,2,50,41,100,0.41,0.16,245.tiff,False
canine lymphosarcoma,gray_bbox,od_contrast,2,10,11,20,0.55,0.1,245.tiff,False
canine lymphosarcoma,gray_bbox,od_contrast,2,20,20,40,0.5,0.25,245.tiff,False
canine lymphosarcoma,gray_bbox,od_contrast,2,30,27,60,0.45,0.2,245.tiff,False
canine lymphosarcoma,gray_bbox,od_contrast,2,50,42,100,0.42,0.16,245.tiff,False
canine lymphosarcoma,gray_bbox,tm_score,2,10,11,20,0.55,0.1,245.tiff,False
canine lymphosarcoma,gray_bbox,tm_score,2,20,20,40,0.5,0.1,245.tiff,False
canine lymphosarcoma,gray_bbox,tm_score,2,30,27,60,0.45,0.1,245.tiff,False
canine lymphosarcoma,gray_bbox,tm_score,2,50,37,100,0.37,0.12,245.tiff,False
canine lymphosarcoma,hem_bbox,chromatin_od,2,10,11,20,0.55,0.1,245.tiff,False
canine lymphosarcoma,hem_bbox,chromatin_od,2,20,18,40,0.45,0.1,245.tiff,False
canine lymphosarcoma,hem_bbox,chromatin_od,2,30,27,60,0.45,0.1667,245.tiff,False
canine lymphosarcoma,hem_bbox,chromatin_od,2,50,41,100,0.41,0.24,245.tiff,False
canine lymphosarcoma,hem_bbox,od_contrast,2,10,11,20,0.55,0.1,245.tiff,False
canine lymphosarcoma,hem_bbox,od_contrast,2,20,19,40,0.475,0.1,245.tiff,False
canine lymphosarcoma,hem_bbox,od_contrast,2,30,24,60,0.4,0.1333,245.tiff,False
canine lymphosarcoma,hem_bbox,od_contrast,2,50,40,100,0.4,0.24,245.tiff,False
canine lymphosarcoma,hem_bbox,tm_score,2,10,11,20,0.55,0.3,245.tiff,False
canine lymphosarcoma,hem_bbox,tm_score,2,20,21,40,0.525,0.35,245.tiff,False
canine lymphosarcoma,hem_bbox,tm_score,2,30,25,60,0.4167,0.3,245.tiff,False
canine lymphosarcoma,hem_bbox,tm_score,2,50,34,100,0.34,0.24,245.tiff,False
canine soft tissue sarcoma,gray_bbox,chromatin_od,2,10,16,20,0.8,0.7,460.tiff,False
canine soft tissue sarcoma,gray_bbox,chromatin_od,2,20,33,40,0.825,0.8,460.tiff,False
canine soft tissue sarcoma,gray_bbox,chromatin_od,2,30,42,60,0.7,0.5667,460.tiff,False
canine soft tissue sarcoma,gray_bbox,chromatin_od,2,50,55,100,0.55,0.4,460.tiff,False
canine soft tissue sarcoma,gray_bbox,od_contrast,2,10,17,20,0.85,0.7,459.tiff,False
canine soft tissue sarcoma,gray_bbox,od_contrast,2,20,28,40,0.7,0.65,460.tiff,False
canine soft tissue sarcoma,gray_bbox,od_contrast,2,30,37,60,0.6167,0.5667,460.tiff,False
canine soft tissue sarcoma,gray_bbox,od_contrast,2,50,53,100,0.53,0.38,460.tiff,False
canine soft tissue sarcoma,gray_bbox,tm_score,2,10,13,20,0.65,0.6,459.tiff,False
canine soft tissue sarcoma,gray_bbox,tm_score,2,20,21,40,0.525,0.5,460.tiff,False
canine soft tissue sarcoma,gray_bbox,tm_score,2,30,31,60,0.5167,0.4,460.tiff,False
canine soft tissue sarcoma,gray_bbox,tm_score,2,50,41,100,0.41,0.3,460.tiff,False
canine soft tissue sarcoma,hem_bbox,chromatin_od,2,10,16,20,0.8,0.7,460.tiff,False
canine soft tissue sarcoma,hem_bbox,chromatin_od,2,20,31,40,0.775,0.7,460.tiff,False
canine soft tissue sarcoma,hem_bbox,chromatin_od,2,30,40,60,0.6667,0.5,460.tiff,False
canine soft tissue sarcoma,hem_bbox,chromatin_od,2,50,47,100,0.47,0.32,460.tiff,False
canine soft tissue sarcoma,hem_bbox,od_contrast,2,10,15,20,0.75,0.7,459.tiff,False
canine soft tissue sarcoma,hem_bbox,od_contrast,2,20,26,40,0.65,0.55,460.tiff,False
canine soft tissue sarcoma,hem_bbox,od_contrast,2,30,35,60,0.5833,0.4667,460.tiff,False
canine soft tissue sarcoma,hem_bbox,od_contrast,2,50,47,100,0.47,0.32,460.tiff,False
canine soft tissue sarcoma,hem_bbox,tm_score,2,10,11,20,0.55,0.4,459.tiff,False
canine soft tissue sarcoma,hem_bbox,tm_score,2,20,18,40,0.45,0.45,459.tiff,True
canine soft tissue sarcoma,hem_bbox,tm_score,2,30,26,60,0.4333,0.3667,460.tiff,False
canine soft tissue sarcoma,hem_bbox,tm_score,2,50,36,100,0.36,0.26,460.tiff,False
human breast cancer,gray_bbox,chromatin_od,2,10,11,20,0.55,0.5,094.tiff,False
human breast cancer,gray_bbox,chromatin_od,2,20,23,40,0.575,0.4,013.tiff,False
human breast cancer,gray_bbox,chromatin_od,2,30,31,60,0.5167,0.3,013.tiff,False
human breast cancer,gray_bbox,chromatin_od,2,50,36,100,0.36,0.18,013.tiff,False
human breast cancer,gray_bbox,od_contrast,2,10,10,20,0.5,0.5,013.tiff,True
