file_name,domain,arm,precision_at_10_hem,precision_at_20_hem,precision_at_30_hem,precision_at_50_hem,precision_at_10_gray,precision_at_20_gray,precision_at_30_gray,precision_at_50_gray,delta_precision_at_10,delta_precision_at_20,delta_precision_at_30,delta_precision_at_50,delta_exact_at_10,delta_exact_at_20,delta_exact_at_30,delta_exact_at_50
300.tiff,canine cutaneous mast cell tumor,tm_score,1.0,0.8,0.7667,0.68,0.9,0.85,0.8333,0.86,0.09999999999999998,-0.04999999999999993,-0.06659999999999999,-0.17999999999999994,0.1,-0.05,-0.06666666666666667,-0.18
300.tiff,canine cutaneous mast cell tumor,chromatin_od,0.8,0.85,0.9,0.8,0.9,0.95,0.9,0.92,-0.09999999999999998,-0.09999999999999998,0.0,-0.12,-0.1,-0.1,0.0,-0.12
300.tiff,canine cutaneous mast cell tumor,od_contrast,0.8,0.85,0.8667,0.78,0.8,0.9,0.9333,0.9,0.0,-0.050000000000000044,-0.06659999999999999,-0.12,0.0,-0.05,-0.06666666666666667,-0.12
301.tiff,canine cutaneous mast cell tumor,tm_score,0.9,0.9,0.8667,0.82,0.9,0.9,0.8,0.74,0.0,0.0,0.06669999999999998,0.07999999999999996,0.0,0.0,0.06666666666666667,0.08
301.tiff,canine cutaneous mast cell tumor,chromatin_od,0.8,0.85,0.8667,0.82,0.8,0.9,0.9,0.82,0.0,-0.050000000000000044,-0.033299999999999996,0.0,0.0,-0.05,-0.03333333333333333,0.0
301.tiff,canine cutaneous mast cell tumor,od_contrast,0.7,0.8,0.8333,0.84,0.8,0.9,0.9,0.82,-0.10000000000000009,-0.09999999999999998,-0.06669999999999998,0.020000000000000018,-0.1,-0.1,-0.06666666666666667,0.02
201.tiff,canine lung cancer,tm_score,0.4,0.25,0.1667,0.12,0.3,0.25,0.2,0.22,0.10000000000000003,0.0,-0.033300000000000024,-0.1,0.1,0.0,-0.03333333333333333,-0.1
201.tiff,canine lung cancer,chromatin_od,0.4,0.3,0.2333,0.14,0.4,0.4,0.3,0.22,0.0,-0.10000000000000003,-0.06669999999999998,-0.07999999999999999,0.0,-0.1,-0.06666666666666667,-0.08
201.tiff,canine lung cancer,od_contrast,0.4,0.3,0.2,0.16,0.4,0.35,0.2667,0.22,0.0,-0.04999999999999999,-0.06669999999999998,-0.06,0.0,-0.05,-0.06666666666666667,-0.06
233.tiff,canine lung cancer,tm_score,0.4,0.3,0.2333,0.14,0.3,0.25,0.2667,0.16,0.10000000000000003,0.04999999999999999,-0.033399999999999985,-0.01999999999999999,0.1,0.05,-0.03333333333333333,-0.02
