file_name,arm,n_hem,n_gray,n_shared,tp_tied
013.tiff,tm_score,6,6,6,True
013.tiff,chromatin_od,6,6,6,True
013.tiff,od_contrast,5,5,5,True
094.tiff,tm_score,5,4,3,False
094.tiff,chromatin_od,5,5,5,True
094.tiff,od_contrast,6,5,5,False
201.tiff,tm_score,4,3,1,False
201.tiff,chromatin_od,4,4,3,True
201.tiff,od_contrast,4,4,4,True
233.tiff,tm_score,4,3,3,False
233.tiff,chromatin_od,6,7,6,False
233.tiff,od_contrast,7,8,7,False
245.tiff,tm_score,3,1,0,False
245.tiff,chromatin_od,1,1,0,True
245.tiff,od_contrast,1,1,0,True
246.tiff,tm_score,8,10,4,False
246.tiff,chromatin_od,10,10,7,True
246.tiff,od_contrast,10,10,8,True
300.tiff,tm_score,10,9,8,False
300.tiff,chromatin_od,8,9,6,False
300.tiff,od_contrast,8,8,5,True
301.tiff,tm_score,9,9,5,True
301.tiff,chromatin_od,8,8,5,True
301.tiff,od_contrast,7,8,5,False
402.tiff,tm_score,3,4,3,False
402.tiff,chromatin_od,7,7,6,True
402.tiff,od_contrast,4,4,4,True
403.tiff,tm_score,4,5,3,False
403.tiff,chromatin_od,4,5,3,False
403.tiff,od_contrast,6,6,3,True
459.tiff,tm_score,4,6,3,False
459.tiff,chromatin_od,9,9,8,True
459.tiff,od_contrast,7,7,6,True
460.tiff,tm_score,7,7,7,True
460.tiff,chromatin_od,7,7,6,True
460.tiff,od_contrast,8,10,8,False
529.tiff,tm_score,2,3,2,False
529.tiff,chromatin_od,6,6,5,True
529.tiff,od_contrast,6,6,6,True
548.tiff,tm_score,4,5,4,False
548.tiff,chromatin_od,8,8,7,True
548.tiff,od_contrast,9,8,8,False
