file_name,tumor_type,image_id,condition,tighten_channel,base_size,tpl_cx,tpl_cy,map_median,mad_scale,mpp,arm,rank_key,seeded,z,z_dependent,floor_limited,n_gt_mitotic,n_gt_lookalike,n_detections,coverage_frac,n_lookalike_in_list,largest_tie_block,nan_rate,full_list_recall,match_radius_px,read_50,read_80,read_90,read_95,read_99,read_100,budget,budget_delivered,tp_at_budget,lookalike_at_budget,recall_at_budget,precision_at_budget
013.tiff,human breast cancer,13,hem_bbox,hematoxylin_od,39,1711.0,2860.5,-0.01286,0.14302,0.22632094805310524,tm_score,score,True,-1.5,True,False,17,15,98,0.0085,8,1,0.0,0.5882352941176471,33.139,76.0,,,,,,10,10,6,1,0.35294117647058826,0.6
013.tiff,human breast cancer,13,hem_bbox,hematoxylin_od,39,1711.0,2860.5,-0.01286,0.14302,0.22632094805310524,tm_score,score,True,-1.5,True,False,17,15,98,0.0085,8,1,0.0,0.5882352941176471,33.139,76.0,,,,,,20,20,6,4,0.35294117647058826,0.3
013.tiff,human breast cancer,13,hem_bbox,hematoxylin_od,39,1711.0,2860.5,-0.01286,0.14302,0.22632094805310524,tm_score,score,True,-1.5,True,False,17,15,98,0.0085,8,1,0.0,0.5882352941176471,33.139,76.0,,,,,,30,30,7,5,0.4117647058823529,0.23333333333333334
013.tiff,human breast cancer,13,hem_bbox,hematoxylin_od,39,1711.0,2860.5,-0.01286,0.14302,0.22632094805310524,tm_score,score,True,-1.5,True,False,17,15,98,0.0085,8,1,0.0,0.5882352941176471,33.139,76.0,,,,,,50,50,7,5,0.4117647058823529,0.14
013.tiff,human breast cancer,13,hem_bbox,hematoxylin_od,39,1711.0,2860.5,-0.01286,0.14302,0.22632094805310524,chromatin_od,od51,True,-1.5,True,False,17,15,98,0.0085,8,1,0.0,0.5882352941176471,33.139,17.0,,,,,,10,10,6,2,0.35294117647058826,0.6
013.tiff,human breast cancer,13,hem_bbox,hematoxylin_od,39,1711.0,2860.5,-0.01286,0.14302,0.22632094805310524,chromatin_od,od51,True,-1.5,True,False,17,15,98,0.0085,8,1,0.0,0.5882352941176471,33.139,17.0,,,,,,20,20,9,3,0.5294117647058824,0.45
013.tiff,human breast cancer,13,hem_bbox,hematoxylin_od,39,1711.0,2860.5,-0.01286,0.14302,0.22632094805310524,chromatin_od,od51,True,-1.5,True,False,17,15,98,0.0085,8,1,0.0,0.5882352941176471,33.139,17.0,,,,,,30,30,10,4,0.5882352941176471,0.3333333333333333
013.tiff,human breast cancer,13,hem_bbox,hematoxylin_od,39,1711.0,2860.5,-0.01286,0.14302,0.22632094805310524,chromatin_od,od51,True,-1.5,True,False,17,15,98,0.0085,8,1,0.0,0.5882352941176471,33.139,17.0,,,,,,50,50,10,6,0.5882352941176471,0.2
013.tiff,human breast cancer,13,hem_bbox,hematoxylin_od,39,1711.0,2860.5,-0.01286,0.14302,0.22632094805310524,od_contrast,od_contrast,True,-1.5,True,False,17,15,98,0.0085,8,1,0.0,0.5882352941176471,33.139,19.0,,,,,,10,10,5,1,0.29411764705882354,0.5
013.tiff,human breast cancer,13,hem_bbox,hematoxylin_od,39,1711.0,2860.5,-0.01286,0.14302,0.22632094805310524,od_contrast,od_contrast,True,-1.5,True,False,17,15,98,0.0085,8,1,0.0,0.5882352941176471,33.139,19.0,,,,,,20,20,9,3,0.5294117647058824,0.45
