file_name,tumor_type,image_id,seed_ann_id,base_size,map_median,mad_scale,mpp,arm,rank_key,seeded,z,z_dependent,floor_limited,n_gt_mitotic,n_gt_lookalike,n_detections,coverage_frac,n_lookalike_in_list,largest_tie_block,nan_rate,full_list_recall,match_radius_px,read_50,read_80,read_90,read_95,read_99,read_100,budget,budget_delivered,tp_at_budget,lookalike_at_budget,recall_at_budget,precision_at_budget
013.tiff,human breast cancer,13,254,31,-0.00496,0.11097,0.22632094805310524,tm_score,score,True,-1.5,True,False,17,15,17656,0.9619,15,2,0.0,1.0,33.139,94.0,437.0,723.0,825.0,825.0,825.0,10,10,4,1,0.23529411764705882,0.4
013.tiff,human breast cancer,13,254,31,-0.00496,0.11097,0.22632094805310524,tm_score,score,True,-1.5,True,False,17,15,17656,0.9619,15,2,0.0,1.0,33.139,94.0,437.0,723.0,825.0,825.0,825.0,20,20,5,2,0.29411764705882354,0.25
013.tiff,human breast cancer,13,254,31,-0.00496,0.11097,0.22632094805310524,tm_score,score,True,-1.5,True,False,17,15,17656,0.9619,15,2,0.0,1.0,33.139,94.0,437.0,723.0,825.0,825.0,825.0,30,30,6,3,0.35294117647058826,0.2
013.tiff,human breast cancer,13,254,31,-0.00496,0.11097,0.22632094805310524,tm_score,score,True,-1.5,True,False,17,15,17656,0.9619,15,2,0.0,1.0,33.139,94.0,437.0,723.0,825.0,825.0,825.0,50,50,6,4,0.35294117647058826,0.12
013.tiff,human breast cancer,13,254,31,-0.00496,0.11097,0.22632094805310524,chromatin_od,od51,True,-1.5,True,False,17,15,17656,0.9619,15,2,0.0,1.0,33.139,20.0,65.0,112.0,172.0,172.0,172.0,10,10,5,2,0.29411764705882354,0.5
013.tiff,human breast cancer,13,254,31,-0.00496,0.11097,0.22632094805310524,chromatin_od,od51,True,-1.5,True,False,17,15,17656,0.9619,15,2,0.0,1.0,33.139,20.0,65.0,112.0,172.0,172.0,172.0,20,20,9,3,0.5294117647058824,0.45
013.tiff,human breast cancer,13,254,31,-0.00496,0.11097,0.22632094805310524,chromatin_od,od51,True,-1.5,True,False,17,15,17656,0.9619,15,2,0.0,1.0,33.139,20.0,65.0,112.0,172.0,172.0,172.0,30,30,12,4,0.7058823529411765,0.4
013.tiff,human breast cancer,13,254,31,-0.00496,0.11097,0.22632094805310524,chromatin_od,od51,True,-1.5,True,False,17,15,17656,0.9619,15,2,0.0,1.0,33.139,20.0,65.0,112.0,172.0,172.0,172.0,50,50,13,6,0.7647058823529411,0.26
013.tiff,human breast cancer,13,254,31,-0.00496,0.11097,0.22632094805310524,od31,od31,True,-1.5,True,False,17,15,17656,0.9619,15,2,0.0,1.0,33.139,26.0,52.0,108.0,118.0,118.0,118.0,10,10,5,1,0.29411764705882354,0.5
013.tiff,human breast cancer,13,254,31,-0.00496,0.11097,0.22632094805310524,od31,od31,True,-1.5,True,False,17,15,17656,0.9619,15,2,0.0,1.0,33.139,26.0,52.0,108.0,118.0,118.0,118.0,20,20,7,3,0.4117647058823529,0.35
