file_name,domain,n_gt_mitotic,n_detections,z_at_rank_10,budget_delivered_10,tp_at_10,precision_at_10,z_at_rank_20,budget_delivered_20,tp_at_20,precision_at_20,z_at_rank_30,budget_delivered_30,tp_at_30,precision_at_30,z_at_rank_50,budget_delivered_50,tp_at_50,precision_at_50
300.tiff,canine cutaneous mast cell tumor,180,17911,8.439,10,7,0.7,7.724,20,15,0.75,7.549,30,20,0.6667,7.149,50,33,0.66
301.tiff,canine cutaneous mast cell tumor,217,17583,6.577,10,9,0.9,6.125,20,16,0.8,5.879,30,22,0.7333,5.673,50,32,0.64
201.tiff,canine lung cancer,17,15779,6.377,10,3,0.3,6.063,20,6,0.3,5.946,30,6,0.2,5.649,50,11,0.22
233.tiff,canine lung cancer,17,17256,9.51,10,3,0.3,9.07,20,6,0.3,8.825,30,7,0.2333,8.525,50,9,0.18
245.tiff,canine lymphosarcoma,89,17684,5.442,10,1,0.1,5.234,20,3,0.15,4.951,30,3,0.1,4.783,50,4,0.08
246.tiff,canine lymphosarcoma,115,18013,9.5,10,10,1.0,8.986,20,18,0.9,8.318,30,24,0.8,7.769,50,31,0.62
459.tiff,canine soft tissue sarcoma,130,17994,7.604,10,5,0.5,7.008,20,10,0.5,6.886,30,15,0.5,6.495,50,24,0.48
460.tiff,canine soft tissue sarcoma,35,15601,7.556,10,7,0.7,6.929,20,11,0.55,6.588,30,12,0.4,6.326,50,15,0.3
013.tiff,human breast cancer,17,17656,21.731,10,4,0.4,20.065,20,5,0.25,19.004,30,6,0.2,17.965,50,6,0.12
094.tiff,human breast cancer,81,18628,19.891,10,4,0.4,18.833,20,10,0.5,18.085,30,16,0.5333,16.44,50,22,0.44
529.tiff,human melanoma,19,16625,12.675,10,3,0.3,12.198,20,4,0.2,11.734,30,5,0.1667,11.15,50,6,0.12
548.tiff,human melanoma,238,17824,15.518,10,4,0.4,14.452,20,10,0.5,13.97,30,16,0.5333,12.851,50,29,0.58
402.tiff,human neuroendocrine tumor,104,17532,11.584,10,4,0.4,10.96,20,9,0.45,10.462,30,14,0.4667,9.992,50,22,0.44
403.tiff,human neuroendocrine tumor,52,16007,18.815,10,5,0.5,17.196,20,7,0.35,16.121,30,8,0.2667,14.833,50,15,0.3
