subset,quantity,condition_or_pair,K,n_roi,estimate,ci_low,ci_high,boot_share_ge_0,boot_share_le_0,n_boot,boot_seed
all_49,pooled_precision,default_51,10,49,0.5693877551020409,0.49183673469387756,0.6428571428571429,,,10000,20260916
all_49,pooled_precision,default_51,20,49,0.4969387755102041,0.4231292517006803,0.569047619047619,,,10000,20260916
all_49,pooled_precision,default_51,30,49,0.4331065759637188,0.36462585034013606,0.5031746031746032,,,10000,20260916
all_49,pooled_precision,gray_bbox,10,49,0.5612244897959183,0.4850340136054422,0.6347108843537412,,,10000,20260916
all_49,pooled_precision,gray_bbox,20,49,0.47346938775510206,0.4003316326530612,0.5479591836734694,,,10000,20260916
all_49,pooled_precision,gray_bbox,30,49,0.41360544217687073,0.34331065759637186,0.4850340136054422,,,10000,20260916
all_49,pooled_precision,hem_bbox,10,49,0.5394557823129251,0.46258503401360546,0.6136054421768707,,,10000,20260916
all_49,pooled_precision,hem_bbox,20,49,0.44047619047619047,0.3697278911564626,0.5129251700680272,,,10000,20260916
all_49,pooled_precision,hem_bbox,30,49,0.3798185941043084,0.31179138321995464,0.44988662131519275,,,10000,20260916
all_49,pooled_delta_precision,gray_bbox - default_51,10,49,-0.00816326530612245,-0.025170068027210883,0.009523809523809525,0.1814,0.8394,10000,20260916
all_49,pooled_delta_precision,gray_bbox - default_51,20,49,-0.02346938775510204,-0.03775510204081633,-0.009183673469387756,0.0005,0.9995,10000,20260916
all_49,pooled_delta_precision,gray_bbox - default_51,30,49,-0.019501133786848073,-0.03106575963718821,-0.007936507936507936,0.0001,0.9999,10000,20260916
all_49,pooled_delta_precision,hem_bbox - default_51,10,49,-0.029931972789115645,-0.05782312925170068,0.0,0.0253,0.9772,10000,20260916
all_49,pooled_delta_precision,hem_bbox - default_51,20,49,-0.05646258503401361,-0.08061224489795918,-0.0336734693877551,0.0,1.0,10000,20260916
all_49,pooled_delta_precision,hem_bbox - default_51,30,49,-0.05328798185941043,-0.07301587301587302,-0.03469387755102041,0.0,1.0,10000,20260916
all_49,pooled_delta_precision,hem_bbox - gray_bbox,10,49,-0.021768707482993196,-0.04149659863945578,-0.003401360544217687,0.011,0.9901,10000,20260916
all_49,pooled_delta_precision,hem_bbox - gray_bbox,20,49,-0.03299319727891156,-0.05204081632653061,-0.017346938775510204,0.0,1.0,10000,20260916
all_49,pooled_delta_precision,hem_bbox - gray_bbox,30,49,-0.03378684807256236,-0.05011337868480726,-0.019727891156462583,0.0,1.0,10000,20260916
original_14,pooled_precision,default_51,10,14,0.6761904761904762,0.5428571428571428,0.8,,,10000,20260916
original_14,pooled_precision,default_51,20,14,0.625,0.492827380952381,0.7488095238095238,,,10000,20260916
original_14,pooled_precision,default_51,30,14,0.5642857142857143,0.4301587301587302,0.6944642857142854,,,10000,20260916
original_14,pooled_precision,gray_bbox,10,14,0.6714285714285714,0.5357142857142857,0.7976190476190477,,,10000,20260916
original_14,pooled_precision,gray_bbox,20,14,0.6035714285714285,0.47023809523809523,0.7333333333333333,,,10000,20260916
original_14,pooled_precision,gray_bbox,30,14,0.5571428571428572,0.4198214285714286,0.6944444444444444,,,10000,20260916
