domain,condition,K,n_roi,n_clicks,tp_sum,precision_pooled,worst_roi_precision,worst_roi_files,worst_click_precision
canine cutaneous mast cell tumor,default_51,10,7,21,149,0.7095,0.4333,339.tiff,0.4
canine cutaneous mast cell tumor,default_51,20,7,21,261,0.6214,0.2667,339.tiff,0.25
canine cutaneous mast cell tumor,default_51,30,7,21,347,0.5508,0.2,339.tiff,0.1667
canine cutaneous mast cell tumor,gray_bbox,10,7,21,152,0.7238,0.4333,339.tiff,0.4
canine cutaneous mast cell tumor,gray_bbox,20,7,21,265,0.631,0.3,339.tiff,0.25
canine cutaneous mast cell tumor,gray_bbox,30,7,21,350,0.5556,0.2,339.tiff,0.1667
canine cutaneous mast cell tumor,hem_bbox,10,7,21,142,0.6762,0.3333,339.tiff,0.2
canine cutaneous mast cell tumor,hem_bbox,20,7,21,232,0.5524,0.2333,339.tiff,0.15
canine cutaneous mast cell tumor,hem_bbox,30,7,21,296,0.4698,0.1556,339.tiff,0.1
canine lung cancer,default_51,10,7,21,72,0.3429,0.0,211.tiff,0.0
canine lung cancer,default_51,20,7,21,118,0.281,0.0,211.tiff,0.0
canine lung cancer,default_51,30,7,21,145,0.2302,0.0,211.tiff,0.0
canine lung cancer,gray_bbox,10,7,21,75,0.3571,0.0,211.tiff,0.0
canine lung cancer,gray_bbox,20,7,21,118,0.281,0.0,211.tiff,0.0
canine lung cancer,gray_bbox,30,7,21,145,0.2302,0.0,211.tiff,0.0
canine lung cancer,hem_bbox,10,7,21,76,0.3619,0.0,211.tiff,0.0
canine lung cancer,hem_bbox,20,7,21,122,0.2905,0.0,211.tiff,0.0
canine lung cancer,hem_bbox,30,7,21,143,0.227,0.0,211.tiff,0.0
canine lymphosarcoma,default_51,10,7,21,111,0.5286,0.0667,245.tiff,0.0
canine lymphosarcoma,default_51,20,7,21,230,0.5476,0.0833,245.tiff,0.0
canine lymphosarcoma,default_51,30,7,21,328,0.5206,0.1,245.tiff,0.0333
canine lymphosarcoma,gray_bbox,10,7,21,113,0.5381,0.1,245.tiff,0.0
canine lymphosarcoma,gray_bbox,20,7,21,227,0.5405,0.1167,245.tiff,0.0
canine lymphosarcoma,gray_bbox,30,7,21,324,0.5143,0.1222,245.tiff,0.0333
canine lymphosarcoma,hem_bbox,10,7,21,117,0.5571,0.1,245.tiff,0.1
