subset,seed_index,condition,K,n_roi,tp_sum,precision_pooled
all_49,0,default_51,10,49,272,0.5551
all_49,0,default_51,20,49,478,0.4878
all_49,0,default_51,30,49,630,0.4286
all_49,0,gray_bbox,10,49,270,0.551
all_49,0,gray_bbox,20,49,460,0.4694
all_49,0,gray_bbox,30,49,589,0.4007
all_49,0,hem_bbox,10,49,266,0.5429
all_49,0,hem_bbox,20,49,437,0.4459
all_49,0,hem_bbox,30,49,560,0.381
all_49,1,default_51,10,49,280,0.5714
all_49,1,default_51,20,49,490,0.5
all_49,1,default_51,30,49,641,0.4361
all_49,1,gray_bbox,10,49,275,0.5612
all_49,1,gray_bbox,20,49,464,0.4735
all_49,1,gray_bbox,30,49,623,0.4238
all_49,1,hem_bbox,10,49,265,0.5408
all_49,1,hem_bbox,20,49,429,0.4378
all_49,1,hem_bbox,30,49,562,0.3823
all_49,2,default_51,10,49,285,0.5816
all_49,2,default_51,20,49,493,0.5031
all_49,2,default_51,30,49,639,0.4347
all_49,2,gray_bbox,10,49,280,0.5714
all_49,2,gray_bbox,20,49,468,0.4776
all_49,2,gray_bbox,30,49,612,0.4163
all_49,2,hem_bbox,10,49,262,0.5347
all_49,2,hem_bbox,20,49,429,0.4378
all_49,2,hem_bbox,30,49,553,0.3762
original_14,0,default_51,10,14,94,0.6714
original_14,0,default_51,20,14,177,0.6321
original_14,0,default_51,30,14,238,0.5667
original_14,0,gray_bbox,10,14,92,0.6571
original_14,0,gray_bbox,20,14,169,0.6036
original_14,0,gray_bbox,30,14,231,0.55
original_14,0,hem_bbox,10,14,89,0.6357
original_14,0,hem_bbox,20,14,158,0.5643
original_14,0,hem_bbox,30,14,220,0.5238
original_14,1,default_51,10,14,93,0.6643
original_14,1,default_51,20,14,174,0.6214
original_14,1,default_51,30,14,242,0.5762
original_14,1,gray_bbox,10,14,94,0.6714
original_14,1,gray_bbox,20,14,168,0.6
original_14,1,gray_bbox,30,14,239,0.569
original_14,1,hem_bbox,10,14,94,0.6714
original_14,1,hem_bbox,20,14,162,0.5786
original_14,1,hem_bbox,30,14,221,0.5262
original_14,2,default_51,10,14,97,0.6929
original_14,2,default_51,20,14,174,0.6214
original_14,2,default_51,30,14,231,0.55
original_14,2,gray_bbox,10,14,96,0.6857
original_14,2,gray_bbox,20,14,170,0.6071
original_14,2,gray_bbox,30,14,232,0.5524
original_14,2,hem_bbox,10,14,91,0.65
original_14,2,hem_bbox,20,14,151,0.5393
original_14,2,hem_bbox,30,14,207,0.4929
testing_35,0,default_51,10,35,178,0.5086
testing_35,0,default_51,20,35,301,0.43
testing_35,0,default_51,30,35,392,0.3733
testing_35,0,gray_bbox,10,35,178,0.5086
testing_35,0,gray_bbox,20,35,291,0.4157
testing_35,0,gray_bbox,30,35,358,0.341
testing_35,0,hem_bbox,10,35,177,0.5057
testing_35,0,hem_bbox,20,35,279,0.3986
testing_35,0,hem_bbox,30,35,340,0.3238
testing_35,1,default_51,10,35,187,0.5343
testing_35,1,default_51,20,35,316,0.4514
testing_35,1,default_51,30,35,399,0.38
testing_35,1,gray_bbox,10,35,181,0.5171
testing_35,1,gray_bbox,20,35,296,0.4229
testing_35,1,gray_bbox,30,35,384,0.3657
testing_35,1,hem_bbox,10,35,171,0.4886
testing_35,1,hem_bbox,20,35,267,0.3814
testing_35,1,hem_bbox,30,35,341,0.3248
testing_35,2,default_51,10,35,188,0.5371
testing_35,2,default_51,20,35,319,0.4557
testing_35,2,default_51,30,35,408,0.3886
testing_35,2,gray_bbox,10,35,184,0.5257
testing_35,2,gray_bbox,20,35,298,0.4257
testing_35,2,gray_bbox,30,35,380,0.3619
testing_35,2,hem_bbox,10,35,171,0.4886
testing_35,2,hem_bbox,20,35,278,0.3971
testing_35,2,hem_bbox,30,35,346,0.3295
