subset,rule,pair,K,n_roi,n_clicks_used,n_clicks_dropped,pooled_delta_precision,mean_roi_summed_delta_precision,wins,losses,ties,n_nonzero,test,p,min_attainable_p,ci_low,ci_high,ci_excludes_0,n_same_direction,majority_of_all_rois,d5_bar_met,holm_family,holm_p
all_49,all_mitoses,gray_bbox - default_51,10,49,147,0,-0.00816326530612245,-0.024489795918367346,15,18,16,33,exact_convolution,0.4042282998561859,2.3283064365386963e-10,-0.025170068027210883,0.009523809523809525,False,18,False,False,all_49/all_mitoses,0.4042282998561859
all_49,all_mitoses,gray_bbox - default_51,20,49,147,0,-0.02346938775510204,-0.07040816326530612,12,32,5,44,exact_convolution,0.0024951234572654357,1.1368683772161603e-13,-0.03775510204081633,-0.009183673469387756,True,32,True,True,all_49/all_mitoses,0.009980493829061743
all_49,all_mitoses,gray_bbox - default_51,30,49,147,0,-0.019501133786848073,-0.058503401360544216,9,29,11,38,exact_convolution,0.0013677925162483007,7.275957614183426e-12,-0.03106575963718821,-0.007936507936507936,True,29,True,True,all_49/all_mitoses,0.006838962581241503
all_49,all_mitoses,hem_bbox - default_51,10,49,147,0,-0.029931972789115645,-0.08979591836734693,11,25,13,36,exact_convolution,0.05212451936677098,2.9103830456733704e-11,-0.05782312925170068,0.0,False,25,True,False,all_49/all_mitoses,0.10424903873354197
all_49,all_mitoses,hem_bbox - default_51,20,49,147,0,-0.05646258503401361,-0.16938775510204082,8,37,4,45,exact_convolution,5.506071431682358e-06,5.684341886080802e-14,-0.08061224489795918,-0.0336734693877551,True,37,True,True,all_49/all_mitoses,3.8542500021776505e-05
all_49,all_mitoses,hem_bbox - default_51,30,49,147,0,-0.05328798185941043,-0.1598639455782313,7,36,6,43,exact_convolution,4.965095286024734e-07,2.2737367544323206e-13,-0.07301587301587302,-0.03469387755102041,True,36,True,True,all_49/all_mitoses,4.468585757422261e-06
all_49,all_mitoses,hem_bbox - gray_bbox,10,49,147,0,-0.021768707482993196,-0.0653061224489796,7,23,19,30,exact_convolution,0.03398502245545387,1.862645149230957e-09,-0.04149659863945578,-0.003401360544217687,True,23,False,False,all_49/all_mitoses,0.10195506736636162
all_49,all_mitoses,hem_bbox - gray_bbox,20,49,147,0,-0.03299319727891156,-0.09897959183673469,8,31,10,39,exact_convolution,5.137519838172011e-05,3.637978807091713e-12,-0.05204081632653061,-0.017346938775510204,True,31,True,True,all_49/all_mitoses,0.00030825119029032066
all_49,all_mitoses,hem_bbox - gray_bbox,30,49,147,0,-0.03378684807256236,-0.10136054421768707,5,33,11,38,exact_convolution,2.1723462850786746e-06,7.275957614183426e-12,-0.05011337868480726,-0.019727891156462583,True,33,True,True,all_49/all_mitoses,1.7378770280629396e-05
all_49,contested_excluded,gray_bbox - default_51,10,49,147,0,-0.007631465284526509,-0.022894395853579528,17,19,13,36,monte_carlo_200000,0.41679791601041993,2.9103830456733704e-11,-0.02575882734045999,0.010619870964258718,False,19,False,False,all_49/contested_excluded,0.41679791601041993
all_49,contested_excluded,gray_bbox - default_51,20,49,147,0,-0.023288922833214234,-0.0698667684996427,12,34,3,46,monte_carlo_200000,0.0025549872250638745,2.842170943040401e-14,-0.037512598765224815,-0.008902348161545262,True,34,True,True,all_49/contested_excluded,0.010219948900255498
all_49,contested_excluded,gray_bbox - default_51,30,49,147,0,-0.020270722720423424,-0.060812168161270275,10,32,7,42,monte_carlo_200000,0.0010849945750271248,4.547473508864641e-13,-0.03139096916225511,-0.008615462618083183,True,32,True,True,all_49/contested_excluded,0.005424972875135624
all_49,contested_excluded,hem_bbox - default_51,10,49,147,0,-0.02358546593240471,-0.07075639779721413,14,24,11,38,monte_carlo_200000,0.129639351803241,7.275957614183426e-12,-0.05352351257963502,0.006428368966634261,False,24,False,False,all_49/contested_excluded,0.38891805540972296
all_49,contested_excluded,hem_bbox - default_51,20,49,147,0,-0.053124634247083226,-0.15937390274124968,11,35,3,46,monte_carlo_200000,6.999965000175e-05,2.842170943040401e-14,-0.07794993198832367,-0.029680958468355004,True,35,True,True,all_49/contested_excluded,0.00048999755001225
all_49,contested_excluded,hem_bbox - default_51,30,49,147,0,-0.05267225970749154,-0.1580167791224746,9,37,3,46,monte_carlo_200000,4.9999750001249995e-06,2.842170943040401e-14,-0.07148071813930186,-0.035024707399477925,True,37,True,True,all_49/contested_excluded,4.4999775001124996e-05
all_49,contested_excluded,hem_bbox - gray_bbox,10,49,147,0,-0.0159540006478782,-0.047862001943634595,12,24,13,36,monte_carlo_200000,0.13186934065329672,2.9103830456733704e-11,-0.03696786254184213,0.003549900118777669,False,24,False,False,all_49/contested_excluded,0.38891805540972296
all_49,contested_excluded,hem_bbox - gray_bbox,20,49,147,0,-0.029835711413868992,-0.08950713424160697,9,33,7,42,monte_carlo_200000,0.0006649966750166249,4.547473508864641e-13,-0.0492618407537928,-0.012850260702980742,True,33,True,True,all_49/contested_excluded,0.00398998005009975
all_49,contested_excluded,hem_bbox - gray_bbox,30,49,147,0,-0.032401536987068116,-0.09720461096120435,9,34,6,43,monte_carlo_200000,4.9999750001249995e-06,2.2737367544323206e-13,-0.04760822688742781,-0.01926179674824851,True,34,True,True,all_49/contested_excluded,4.4999775001124996e-05
all_49,contested_as_fp,gray_bbox - default_51,10,49,147,0,-0.0020408163265306124,-0.006122448979591836,15,16,18,31,exact_convolution,0.8742644637823105,9.313225746154785e-10,-0.018367346938775512,0.014285714285714285,False,16,False,False,all_49/contested_as_fp,0.8742644637823105
all_49,contested_as_fp,gray_bbox - default_51,20,49,147,0,-0.019727891156462583,-0.05918367346938776,13,31,5,44,exact_convolution,0.004752842189532203,1.1368683772161603e-13,-0.03231292517006803,-0.006802721088435374,True,31,True,True,all_49/contested_as_fp,0.01901136875812881
all_49,contested_as_fp,gray_bbox - default_51,30,49,147,0,-0.018820861678004536,-0.05646258503401361,7,30,12,37,exact_convolution,0.0001442905777366832,1.4551915228366852e-11,-0.027664399092970523,-0.009750566893424037,True,30,True,True,all_49/contested_as_fp,0.0008657434664200991
all_49,contested_as_fp,hem_bbox - default_51,10,49,147,0,-0.0163265306122449,-0.04897959183673469,16,20,13,36,exact_convolution,0.20131333352765068,2.9103830456733704e-11,-0.04013605442176871,0.006802721088435374,False,20,False,False,all_49/contested_as_fp,0.40262666705530137
all_49,contested_as_fp,hem_bbox - default_51,20,49,147,0,-0.04523809523809524,-0.1357142857142857,10,34,5,44,exact_convolution,4.2838469653361244e-05,1.1368683772161603e-13,-0.06666666666666667,-0.024829931972789116,True,34,True,True,all_49/contested_as_fp,0.0002998692875735287
all_49,contested_as_fp,hem_bbox - default_51,30,49,147,0,-0.048752834467120185,-0.14625850340136054,6,38,5,44,exact_convolution,1.2123450687795412e-08,1.1368683772161603e-13,-0.06507936507936508,-0.033560090702947847,True,38,True,True,all_49/contested_as_fp,1.091110561901587e-07
all_49,contested_as_fp,hem_bbox - gray_bbox,10,49,147,0,-0.014285714285714285,-0.04285714285714286,14,21,14,35,exact_convolution,0.12657769059296697,5.820766091346741e-11,-0.03197278911564626,0.0013605442176870747,False,21,False,False,all_49/contested_as_fp,0.3797330717789009
all_49,contested_as_fp,hem_bbox - gray_bbox,20,49,147,0,-0.025510204081632654,-0.07653061224489796,8,27,14,35,exact_convolution,0.0020849484717473388,5.820766091346741e-11,-0.04285714285714286,-0.009863945578231292,True,27,True,True,all_49/contested_as_fp,0.010424742358736694
all_49,contested_as_fp,hem_bbox - gray_bbox,30,49,147,0,-0.029931972789115645,-0.08979591836734693,6,32,11,38,exact_convolution,1.1385272955521941e-06,7.275957614183426e-12,-0.043310657596371885,-0.01813492063492072,True,32,True,True,all_49/contested_as_fp,9.108218364417553e-06
original_14,all_mitoses,gray_bbox - default_51,10,14,42,0,-0.004761904761904762,-0.014285714285714285,5,5,4,10,exact_convolution,0.875,0.001953125,-0.03333333333333333,0.023809523809523808,False,5,False,False,,
original_14,all_mitoses,gray_bbox - default_51,20,14,42,0,-0.02142857142857143,-0.06428571428571428,4,9,1,13,exact_convolution,0.18359375,0.000244140625,-0.04645833333333331,0.005952380952380952,False,9,True,False,,
original_14,all_mitoses,gray_bbox - default_51,30,14,42,0,-0.007142857142857143,-0.02142857142857143,5,8,1,13,exact_convolution,0.630126953125,0.000244140625,-0.029365079365079365,0.01746031746031746,False,8,True,False,,
original_14,all_mitoses,hem_bbox - default_51,10,14,42,0,-0.023809523809523808,-0.07142857142857142,5,5,4,10,exact_convolution,0.447265625,0.001953125,-0.07380952380952381,0.01904761904761905,False,5,False,False,,
original_14,all_mitoses,hem_bbox - default_51,20,14,42,0,-0.06428571428571428,-0.19285714285714287,3,11,0,14,exact_convolution,0.0126953125,0.0001220703125,-0.1261904761904762,-0.01904761904761905,True,11,True,True,,
original_14,all_mitoses,hem_bbox - default_51,30,14,42,0,-0.05,-0.15,3,9,2,12,exact_convolution,0.04248046875,0.00048828125,-0.0992063492063492,-0.009523809523809525,True,9,True,True,,
original_14,all_mitoses,hem_bbox - gray_bbox,10,14,42,0,-0.01904761904761905,-0.05714285714285714,3,5,6,8,exact_convolution,0.6171875,0.0078125,-0.06428571428571428,0.011904761904761904,False,5,False,False,,
original_14,all_mitoses,hem_bbox - gray_bbox,20,14,42,0,-0.04285714285714286,-0.12857142857142856,3,10,1,13,exact_convolution,0.0458984375,0.000244140625,-0.0988095238095238,-0.005952380952380952,True,10,True,True,,
original_14,all_mitoses,hem_bbox - gray_bbox,30,14,42,0,-0.04285714285714286,-0.12857142857142856,2,11,1,13,exact_convolution,0.017578125,0.000244140625,-0.08571428571428572,-0.011904761904761904,True,11,True,True,,
original_14,contested_excluded,gray_bbox - default_51,10,14,42,0,-0.0018613000755857898,-0.00558390022675737,6,5,3,11,monte_carlo_200000,0.9143354283228584,0.0009765625,-0.03109434051398337,0.02865811602418743,False,5,False,False,,
original_14,contested_excluded,gray_bbox - default_51,20,14,42,0,-0.020652418330436906,-0.06195725499131072,4,10,0,14,monte_carlo_200000,0.17859410702946485,0.0001220703125,-0.04566482161711043,0.007732492053174255,False,10,True,False,,
original_14,contested_excluded,gray_bbox - default_51,30,14,42,0,-0.006924502396782013,-0.02077350719034604,6,8,0,14,monte_carlo_200000,0.6350918245408773,0.0001220703125,-0.031258820514157126,0.020449435309803053,False,8,True,False,,
original_14,contested_excluded,hem_bbox - default_51,10,14,42,0,-0.015249433106575963,-0.04574829931972789,7,5,2,12,monte_carlo_200000,0.6187269063654681,0.00048828125,-0.07043910619803477,0.03110355253212396,False,5,False,False,,
original_14,contested_excluded,hem_bbox - default_51,20,14,42,0,-0.06262858014019004,-0.18788574042057013,3,11,0,14,monte_carlo_200000,0.01687491562542187,0.0001220703125,-0.126271586551952,-0.016443799143793653,True,11,True,True,,
original_14,contested_excluded,hem_bbox - default_51,30,14,42,0,-0.052114971438670936,-0.1563449143160128,4,10,0,14,monte_carlo_200000,0.029689851550742247,0.0001220703125,-0.09949013150837974,-0.012208576363566108,True,10,True,True,,
original_14,contested_excluded,hem_bbox - gray_bbox,10,14,42,0,-0.013388133030990174,-0.040164399092970524,5,6,3,11,monte_carlo_200000,0.680561597192014,0.0009765625,-0.06359906462585034,0.02575680272108842,False,6,False,False,,
original_14,contested_excluded,hem_bbox - gray_bbox,20,14,42,0,-0.041976161809753144,-0.1259284854292594,4,10,0,14,monte_carlo_200000,0.06554967225163874,0.0001220703125,-0.09864191217422642,-0.00334635608629417,True,10,True,True,,
original_14,contested_excluded,hem_bbox - gray_bbox,30,14,42,0,-0.04519046904188892,-0.13557140712566676,4,10,0,14,monte_carlo_200000,0.006579967100164499,0.0001220703125,-0.08476958708623443,-0.0160362514439503,True,10,True,True,,
original_14,contested_as_fp,gray_bbox - default_51,10,14,42,0,0.004761904761904762,0.014285714285714285,5,4,5,9,exact_convolution,0.859375,0.00390625,-0.02142857142857143,0.030952380952380953,False,5,False,False,,
original_14,contested_as_fp,gray_bbox - default_51,20,14,42,0,-0.013095238095238096,-0.039285714285714285,4,9,1,13,exact_convolution,0.436279296875,0.000244140625,-0.036904761904761905,0.015476190476190477,False,9,True,False,,
original_14,contested_as_fp,gray_bbox - default_51,30,14,42,0,-0.009523809523809525,-0.02857142857142857,5,8,1,13,exact_convolution,0.43896484375,0.000244140625,-0.02857142857142857,0.011904761904761904,False,8,True,False,,
original_14,contested_as_fp,hem_bbox - default_51,10,14,42,0,-0.011904761904761904,-0.03571428571428571,7,4,3,11,exact_convolution,0.71484375,0.0009765625,-0.05952380952380952,0.02857142857142857,False,4,False,False,,
original_14,contested_as_fp,hem_bbox - default_51,20,14,42,0,-0.05119047619047619,-0.15357142857142858,3,10,1,13,exact_convolution,0.042236328125,0.000244140625,-0.10714285714285714,-0.009523809523809525,True,10,True,True,,
original_14,contested_as_fp,hem_bbox - default_51,30,14,42,0,-0.05,-0.15,3,10,1,13,exact_convolution,0.01708984375,0.000244140625,-0.09206349206349207,-0.015873015873015872,True,10,True,True,,
original_14,contested_as_fp,hem_bbox - gray_bbox,10,14,42,0,-0.016666666666666666,-0.05,6,6,2,12,exact_convolution,0.57568359375,0.00048828125,-0.05952380952380952,0.01904761904761905,False,6,False,False,,
original_14,contested_as_fp,hem_bbox - gray_bbox,20,14,42,0,-0.0380952380952381,-0.11428571428571428,5,9,0,14,exact_convolution,0.0855712890625,0.0001220703125,-0.0880952380952381,-0.002380952380952381,True,9,True,True,,
original_14,contested_as_fp,hem_bbox - gray_bbox,30,14,42,0,-0.04047619047619048,-0.12142857142857143,3,11,0,14,exact_convolution,0.0093994140625,0.0001220703125,-0.0761904761904762,-0.014285714285714285,True,11,True,True,,
testing_35,all_mitoses,gray_bbox - default_51,10,35,105,0,-0.009523809523809525,-0.02857142857142857,10,13,12,23,exact_convolution,0.44310808181762695,2.384185791015625e-07,-0.030476190476190476,0.012380952380952381,False,13,False,False,testing_35/all_mitoses,0.44310808181762695
testing_35,all_mitoses,gray_bbox - default_51,20,35,105,0,-0.024285714285714285,-0.07285714285714286,8,23,4,31,exact_convolution,0.008120142854750156,9.313225746154785e-10,-0.040952380952380955,-0.007619047619047619,True,23,True,True,testing_35/all_mitoses,0.032480571419000626
testing_35,all_mitoses,gray_bbox - default_51,30,35,105,0,-0.024444444444444446,-0.07333333333333333,4,21,10,25,exact_convolution,0.00019669532775878906,5.960464477539063e-08,-0.0381031746031746,-0.012698412698412698,True,21,True,True,testing_35/all_mitoses,0.0013768672943115234
testing_35,all_mitoses,hem_bbox - default_51,10,35,105,0,-0.03238095238095238,-0.09714285714285714,6,20,9,26,exact_convolution,0.0952170193195343,2.9802322387695312e-08,-0.06571428571428571,0.004761904761904762,False,20,True,False,testing_35/all_mitoses,0.1904340386390686
testing_35,all_mitoses,hem_bbox - default_51,20,35,105,0,-0.05333333333333334,-0.16,5,26,4,31,exact_convolution,0.00020505115389823914,9.313225746154785e-10,-0.07714285714285714,-0.029047619047619048,True,26,True,True,testing_35/all_mitoses,0.0013768672943115234
testing_35,all_mitoses,hem_bbox - default_51,30,35,105,0,-0.054603174603174605,-0.16380952380952382,4,27,4,31,exact_convolution,3.1189993023872375e-06,9.313225746154785e-10,-0.07587301587301587,-0.035555555555555556,True,27,True,True,testing_35/all_mitoses,2.8070993721485138e-05
testing_35,all_mitoses,hem_bbox - gray_bbox,10,35,105,0,-0.022857142857142857,-0.06857142857142857,4,18,13,22,exact_convolution,0.05773353576660156,4.76837158203125e-07,-0.04380952380952381,-0.0009523809523809524,True,18,True,True,testing_35/all_mitoses,0.1732006072998047
testing_35,all_mitoses,hem_bbox - gray_bbox,20,35,105,0,-0.029047619047619048,-0.08714285714285715,5,21,9,26,exact_convolution,0.0007341206073760986,2.9802322387695312e-08,-0.04428571428571428,-0.014285714285714285,True,21,True,True,testing_35/all_mitoses,0.003670603036880493
testing_35,all_mitoses,hem_bbox - gray_bbox,30,35,105,0,-0.03015873015873016,-0.09047619047619047,3,22,10,25,exact_convolution,6.693601608276367e-05,5.960464477539063e-08,-0.04666666666666667,-0.01619047619047619,True,22,True,True,testing_35/all_mitoses,0.0005354881286621094
testing_35,contested_excluded,gray_bbox - default_51,10,35,105,0,-0.009939531368102796,-0.02981859410430839,11,14,10,25,monte_carlo_200000,0.3939380303098485,5.960464477539063e-08,-0.031761526832955404,0.012804799697656832,False,14,False,False,testing_35/contested_excluded,0.41828790856045717
testing_35,contested_excluded,gray_bbox - default_51,20,35,105,0,-0.024343524634325164,-0.0730305739029755,8,24,3,32,monte_carlo_200000,0.007644961775191124,4.656612873077393e-10,-0.04107596620314997,-0.0072911680703034235,True,24,True,True,testing_35/contested_excluded,0.030579847100764498
testing_35,contested_excluded,gray_bbox - default_51,30,35,105,0,-0.02560921084987999,-0.07682763254963997,4,24,7,28,monte_carlo_200000,3.9999800000999996e-05,7.450580596923828e-09,-0.03815978978919811,-0.014494539553737966,True,24,True,True,testing_35/contested_excluded,0.00031999840000799997
testing_35,contested_excluded,hem_bbox - default_51,10,35,105,0,-0.026919879062736206,-0.08075963718820861,7,19,9,26,monte_carlo_200000,0.15750421247893762,2.9802322387695312e-08,-0.061542422524565384,0.010744992441421006,False,19,True,False,testing_35/contested_excluded,0.41828790856045717
testing_35,contested_excluded,hem_bbox - default_51,20,35,105,0,-0.0493230558898405,-0.1479691676695215,8,24,3,32,monte_carlo_200000,0.0006949965250173749,4.656612873077393e-10,-0.07521897491360671,-0.023807150380292807,True,24,True,True,testing_35/contested_excluded,0.004169979150104249
testing_35,contested_excluded,hem_bbox - default_51,30,35,105,0,-0.05289517501501978,-0.15868552504505934,5,27,3,32,monte_carlo_200000,4.9999750001249995e-06,4.656612873077393e-10,-0.07289068962723536,-0.03506362683130241,True,27,True,True,testing_35/contested_excluded,4.4999775001124996e-05
testing_35,contested_excluded,hem_bbox - gray_bbox,10,35,105,0,-0.01698034769463341,-0.050941043083900225,7,18,10,25,monte_carlo_200000,0.13942930285348573,5.960464477539063e-08,-0.038534013605442174,0.004535241874527587,False,18,True,False,testing_35/contested_excluded,0.41828790856045717
testing_35,contested_excluded,hem_bbox - gray_bbox,20,35,105,0,-0.024979531255515334,-0.074938593766546,5,23,7,28,monte_carlo_200000,0.0057799711001444995,7.450580596923828e-09,-0.04227323372402983,-0.008418639688321256,True,23,True,True,testing_35/contested_excluded,0.028899855500722497
testing_35,contested_excluded,hem_bbox - gray_bbox,30,35,105,0,-0.027285964165139794,-0.08185789249541937,5,24,6,29,monte_carlo_200000,3.9999800000999996e-05,3.725290298461914e-09,-0.04320210024554271,-0.014564751137524859,True,24,True,True,testing_35/contested_excluded,0.00031999840000799997
testing_35,contested_as_fp,gray_bbox - default_51,10,35,105,0,-0.004761904761904762,-0.014285714285714285,10,12,13,22,exact_convolution,0.7245683670043945,4.76837158203125e-07,-0.024761904761904763,0.01619047619047619,False,12,False,False,testing_35/contested_as_fp,0.7245683670043945
testing_35,contested_as_fp,gray_bbox - default_51,20,35,105,0,-0.02238095238095238,-0.06714285714285714,9,22,4,31,exact_convolution,0.004799021407961845,9.313225746154785e-10,-0.03666666666666667,-0.008571428571428572,True,22,True,True,testing_35/contested_as_fp,0.023995107039809227
testing_35,contested_as_fp,gray_bbox - default_51,30,35,105,0,-0.02253968253968254,-0.06761904761904762,2,22,11,24,exact_convolution,1.0371208190917969e-05,1.1920928955078125e-07,-0.032063492063492065,-0.013650793650793651,True,22,True,True,testing_35/contested_as_fp,8.296966552734375e-05
testing_35,contested_as_fp,hem_bbox - default_51,10,35,105,0,-0.018095238095238095,-0.054285714285714284,9,16,10,25,exact_convolution,0.23703020811080933,5.960464477539063e-08,-0.04476190476190476,0.010476190476190476,False,16,False,False,testing_35/contested_as_fp,0.5470612049102783
testing_35,contested_as_fp,hem_bbox - default_51,20,35,105,0,-0.04285714285714286,-0.12857142857142856,7,24,4,31,exact_convolution,0.0006175152957439423,9.313225746154785e-10,-0.06476190476190476,-0.02142857142857143,True,24,True,True,testing_35/contested_as_fp,0.0037050917744636536
testing_35,contested_as_fp,hem_bbox - default_51,30,35,105,0,-0.04825396825396826,-0.14476190476190476,3,28,4,31,exact_convolution,1.387670636177063e-07,9.313225746154785e-10,-0.0653968253968254,-0.03301587301587302,True,28,True,True,testing_35/contested_as_fp,1.2489035725593567e-06
testing_35,contested_as_fp,hem_bbox - gray_bbox,10,35,105,0,-0.013333333333333334,-0.04,8,15,12,23,exact_convolution,0.18235373497009277,2.384185791015625e-07,-0.03142857142857143,0.002857142857142857,False,15,False,False,testing_35/contested_as_fp,0.5470612049102783
testing_35,contested_as_fp,hem_bbox - gray_bbox,20,35,105,0,-0.020476190476190478,-0.06142857142857143,3,18,14,21,exact_convolution,0.0161895751953125,9.5367431640625e-07,-0.03619047619047619,-0.004761904761904762,True,18,True,True,testing_35/contested_as_fp,0.06475830078125
testing_35,contested_as_fp,hem_bbox - gray_bbox,30,35,105,0,-0.025714285714285714,-0.07714285714285714,3,21,11,24,exact_convolution,6.914138793945312e-05,1.1920928955078125e-07,-0.03968253968253968,-0.013968253968253968,True,21,True,True,testing_35/contested_as_fp,0.0004839897155761719
