scope,group,pair,K,n_roi,n_clicks,pooled_delta_precision,mean_roi_summed_delta_tp,wins,losses,ties,ties_cancelling,n_nonzero,exact_p,min_attainable_p,mc_p,mc_extreme,mc_agrees,holm_family,holm_p,ci_low,ci_high,boot_share_ge_0,boot_share_le_0,t_ci_low,t_ci_high,n_same_direction,ci_excludes_0,majority_of_all_rois,majority_of_nonzero_rois,d5_bar_met,t_ci_excludes_0,boot_share_0_or_opposite,d5_robustness
subset,all_49,gray_bbox - default_51,10,49,147,-0.00816326530612245,-0.24489795918367346,15,18,16,0,33,0.4042282998561859,2.3283064365386963e-10,0.4044279778601107,80885,True,all_49,0.4042282998561859,-0.025170068027210883,0.009523809523809525,0.1814,0.8394,-0.025918066091528774,0.009591535479283875,18,False,False,True,False,False,0.1814,not met
subset,all_49,gray_bbox - default_51,20,49,147,-0.02346938775510204,-1.4081632653061225,12,32,5,0,44,0.0024951234572654357,1.1368683772161603e-13,0.002324988375058125,464,True,all_49,0.009980493829061743,-0.03775510204081633,-0.009183673469387756,0.0005,0.9995,-0.03809193839581579,-0.00884683711438829,32,True,True,True,True,True,0.0005,met
subset,all_49,gray_bbox - default_51,30,49,147,-0.019501133786848073,-1.7551020408163265,9,29,11,6,38,0.0013677925162483007,7.275957614183426e-12,0.0013149934250328748,262,True,all_49,0.006838962581241503,-0.03106575963718821,-0.007936507936507936,0.0001,0.9999,-0.031487457126074855,-0.007514810447621282,29,True,True,True,True,True,0.0001,met
subset,all_49,hem_bbox - default_51,10,49,147,-0.029931972789115645,-0.8979591836734694,11,25,13,3,36,0.05212451936677098,2.9103830456733704e-11,0.05216473917630412,10432,True,all_49,0.10424903873354197,-0.05782312925170068,0.0,0.0253,0.9772,-0.059651667920122,-0.00021227765810928959,25,False,True,True,False,True,0.0253,borderline
subset,all_49,hem_bbox - default_51,20,49,147,-0.05646258503401361,-3.3877551020408165,8,37,4,2,45,5.506071431682358e-06,5.684341886080802e-14,4.9999750001249995e-06,0,True,all_49,3.8542500021776505e-05,-0.08061224489795918,-0.0336734693877551,0.0,1.0,-0.08057392906513575,-0.03235124100289147,37,True,True,True,True,True,0.0,met
subset,all_49,hem_bbox - default_51,30,49,147,-0.05328798185941043,-4.795918367346939,7,36,6,4,43,4.965095286024734e-07,2.2737367544323206e-13,4.9999750001249995e-06,0,True,all_49,4.468585757422261e-06,-0.07301587301587302,-0.03469387755102041,0.0,1.0,-0.0732717378337638,-0.03330422588505705,36,True,True,True,True,True,0.0,met
subset,all_49,hem_bbox - gray_bbox,10,49,147,-0.021768707482993196,-0.6530612244897959,7,23,19,3,30,0.03398502245545387,1.862645149230957e-09,0.03338483307583462,6676,True,all_49,0.10195506736636162,-0.04149659863945578,-0.003401360544217687,0.011,0.9901,-0.04146345493270847,-0.0020739600332779357,23,True,False,True,False,True,0.011,not met
subset,all_49,hem_bbox - gray_bbox,20,49,147,-0.03299319727891156,-1.9795918367346939,8,31,10,4,39,5.137519838172011e-05,3.637978807091713e-12,7.999960000199999e-05,15,True,all_49,0.00030825119029032066,-0.05204081632653061,-0.017346938775510204,0.0,1.0,-0.05110389552655445,-0.014882499031268676,31,True,True,True,True,True,0.0,met
subset,all_49,hem_bbox - gray_bbox,30,49,147,-0.03378684807256236,-3.0408163265306123,5,33,11,5,38,2.1723462850786746e-06,7.275957614183426e-12,4.9999750001249995e-06,0,True,all_49,1.7378770280629396e-05,-0.05011337868480726,-0.019727891156462583,0.0,1.0,-0.04956989931772354,-0.018003796827401178,33,True,True,True,True,True,0.0,met
subset,original_14,gray_bbox - default_51,10,14,42,-0.004761904761904762,-0.14285714285714285,5,5,4,0,10,0.875,0.001953125,0.8749956250218749,174999,True,,,-0.03333333333333333,0.023809523809523808,0.4022,0.6529,-0.03754303041141527,0.02801922088760575,5,False,False,False,False,False,0.4022,not met
subset,original_14,gray_bbox - default_51,20,14,42,-0.02142857142857143,-1.2857142857142858,4,9,1,0,13,0.18359375,0.000244140625,0.1836440817795911,36728,True,,,-0.04645833333333331,0.005952380952380952,0.0698,0.9419,-0.05242259082530362,0.009565447968160768,9,False,True,True,False,False,0.0698,not met
subset,original_14,gray_bbox - default_51,30,14,42,-0.007142857142857143,-0.6428571428571429,5,8,1,1,13,0.630126953125,0.000244140625,0.6286468567657162,125729,True,,,-0.029365079365079365,0.01746031746031746,0.2826,0.7382,-0.034315209600014225,0.020029495314299938,8,False,True,True,False,False,0.2826,not met
subset,original_14,hem_bbox - default_51,10,14,42,-0.023809523809523808,-0.7142857142857143,5,5,4,2,10,0.447265625,0.001953125,0.44911275443622783,89822,True,,,-0.07380952380952381,0.01904761904761905,0.1733,0.8549,-0.07741686275995277,0.02979781514090515,5,False,False,False,False,False,0.1733,not met
subset,original_14,hem_bbox - default_51,20,14,42,-0.06428571428571428,-3.857142857142857,3,11,0,0,14,0.0126953125,0.0001220703125,0.012709936450317748,2541,True,,,-0.1261904761904762,-0.01904761904761905,0.0013,0.9993,-0.12663386618357536,-0.0019375623878532394,11,True,True,True,True,True,0.0013,met
subset,original_14,hem_bbox - default_51,30,14,42,-0.05,-4.5,3,9,2,2,12,0.04248046875,0.00048828125,0.04174479127604362,8348,True,,,-0.0992063492063492,-0.009523809523809525,0.0077,0.9933,-0.10112204321238678,0.0011220432123867918,9,True,True,True,True,False,0.0077,borderline
subset,original_14,hem_bbox - gray_bbox,10,14,42,-0.01904761904761905,-0.5714285714285714,3,5,6,3,8,0.6171875,0.0078125,0.6186469067654662,123729,True,,,-0.06428571428571428,0.011904761904761904,0.1943,0.8519,-0.06352508476872343,0.025429846673485332,5,False,False,True,False,False,0.1943,not met
subset,original_14,hem_bbox - gray_bbox,20,14,42,-0.04285714285714286,-2.5714285714285716,3,10,1,1,13,0.0458984375,0.000244140625,0.045769771151144244,9153,True,,,-0.0988095238095238,-0.005952380952380952,0.0073,0.9949,-0.09738670483750048,0.011672419123214768,10,True,True,True,True,False,0.0073,borderline
subset,original_14,hem_bbox - gray_bbox,30,14,42,-0.04285714285714286,-3.857142857142857,2,11,1,1,13,0.017578125,0.000244140625,0.017739911300443497,3547,True,,,-0.08571428571428572,-0.011904761904761904,0.0016,0.9985,-0.08525213661685846,-0.0004621490974272488,11,True,True,True,True,True,0.0016,met
subset,testing_35,gray_bbox - default_51,10,35,105,-0.009523809523809525,-0.2857142857142857,10,13,12,0,23,0.44310808181762695,2.384185791015625e-07,0.4415777921110394,88315,True,testing_35,0.44310808181762695,-0.030476190476190476,0.012380952380952381,0.1933,0.8305,-0.03166633773928245,0.012618718691663408,13,False,False,True,False,False,0.1933,not met
