subset,file_name,domain,image_id,seed_index,condition,seed_ann_id,click_cx,click_cy,base_size,tpl_cx,tpl_cy,tpl_offset_px,tpl_sha1,n_agreement_pool,n_after_border,n_joint_valid,n_seed_pool,n_retries,refused_draws,contested_seed_tier,n_gt_mitotic,nearest_other_ann_px,n_peaks,max_peaks_binding,n_detections,n_blanked_px,n_near_click,near_click_detail,od_nan,od_descending,match_radius_px,mpp,t_pipeline_s,tp_at_10,tp_at_20,tp_at_30,precision_at_10,precision_at_20,precision_at_30
original_14,300.tiff,canine cutaneous mast cell tumor,300,0,default_51,14499,1411.0,3551.0,51,1411.0,3551.0,0.0,9b97486771e4d1e64d8f23bf9a699769d9b79586,131,127,99,127,1,14581:hem_bbox,False,180,150.03,100,True,100,2601,0,,0,True,29.609055118110238,0.2533008895448562,3.6,9,19,27,0.9,0.95,0.9
original_14,300.tiff,canine cutaneous mast cell tumor,300,0,gray_bbox,14499,1411.0,3551.0,49,1413.0,3549.5,2.5,7679d7584dc85e1919f319dbc6bb05273d215240,131,127,99,127,1,14581:hem_bbox,False,180,150.03,100,True,100,2401,0,,0,True,29.609055118110238,0.2533008895448562,3.5,9,19,27,0.9,0.95,0.9
original_14,300.tiff,canine cutaneous mast cell tumor,300,0,hem_bbox,14499,1411.0,3551.0,25,1412.0,3555.0,4.123,956ec0a91f59e143d2b1709195ae24c83873ebc1,131,127,99,127,1,14581:hem_bbox,False,180,150.03,100,True,100,625,0,,0,True,29.609055118110238,0.2533008895448562,3.3,8,17,27,0.8,0.85,0.9
original_14,300.tiff,canine cutaneous mast cell tumor,300,1,default_51,14578,4652.0,2817.0,51,4652.0,2817.0,0.0,72c93fa5c4c2e1d5e9365e10efcf32bd7e7fccc6,131,127,99,126,1,14577:hem_bbox,False,180,76.66,100,True,100,2601,0,,0,True,29.609055118110238,0.2533008895448562,3.4,9,19,27,0.9,0.95,0.9
original_14,300.tiff,canine cutaneous mast cell tumor,300,1,gray_bbox,14578,4652.0,2817.0,27,4651.0,2813.5,3.64,eab0df7fc0a405591bce8ff2805740dc0b74d43b,131,127,99,126,1,14577:hem_bbox,False,180,76.66,100,True,98,729,0,,0,True,29.609055118110238,0.2533008895448562,3.3,10,19,29,1.0,0.95,0.9666666666666667
original_14,300.tiff,canine cutaneous mast cell tumor,300,1,hem_bbox,14578,4652.0,2817.0,21,4650.0,2814.5,3.202,538ab25daaa417c1e525abf9e581311069159cf7,131,127,99,126,1,14577:hem_bbox,False,180,76.66,100,True,96,441,0,,0,True,29.609055118110238,0.2533008895448562,3.3,10,19,26,1.0,0.95,0.8666666666666667
original_14,300.tiff,canine cutaneous mast cell tumor,300,2,default_51,14553,3995.0,564.0,51,3995.0,564.0,0.0,7707a565945709dcb6075d4dca17c2b287cc266b,131,127,99,125,1,14614:gray_bbox+hem_bbox,False,180,162.59,100,True,100,2601,0,,0,True,29.609055118110238,0.2533008895448562,3.2,9,18,27,0.9,0.9,0.9
original_14,300.tiff,canine cutaneous mast cell tumor,300,2,gray_bbox,14553,3995.0,564.0,43,3997.0,565.5,2.5,0e29d0d45be28a59ab882a62c069aa208a29d762,131,127,99,125,1,14614:gray_bbox+hem_bbox,False,180,162.59,100,True,100,1849,0,,0,True,29.609055118110238,0.2533008895448562,3.3,10,19,28,1.0,0.95,0.9333333333333333
original_14,300.tiff,canine cutaneous mast cell tumor,300,2,hem_bbox,14553,3995.0,564.0,25,3997.0,565.0,2.236,5cd993e19eb39c4fad84072ab5fb5afa032aaded,131,127,99,125,1,14614:gray_bbox+hem_bbox,False,180,162.59,100,True,100,625,0,,0,True,29.609055118110238,0.2533008895448562,3.0,10,18,27,1.0,0.9,0.9
original_14,301.tiff,canine cutaneous mast cell tumor,301,0,default_51,14969,5911.0,3548.0,51,5911.0,3548.0,0.0,97f410f43bb8c4613c96a140a5203a1937f5ae29,164,162,122,162,0,,False,217,144.17,100,True,100,2601,0,,0,True,29.609055118110238,0.2533008895448562,3.8,8,18,26,0.8,0.9,0.8666666666666667
