analysis,subset,pair,K,n_units,delta_pts,wins,losses,ties,test,p,min_attainable_p,main_delta_pts,main_exact_p,main_holm_p,level_a,level_b,human_delta_pts,canine_delta_pts,holm_p
recall_at_k,all_49,gray_bbox - default_51,10,49,-0.581125375110942,15.0,18.0,16.0,monte_carlo_200000_float,0.07538962305188474,,-0.8163265306122449,0.4042282998561859,0.4042282998561859,,,,,0.07538962305188474
worst_click,all_49,gray_bbox - default_51,10,49,-2.2448979591836733,5.0,13.0,31.0,exact_convolution,0.08003997802734375,7.62939453125e-06,-0.8163265306122449,0.4042282998561859,0.4042282998561859,0.5020408163265306,0.5244897959183673,,,0.1600799560546875
recall_at_k,all_49,gray_bbox - default_51,20,49,-1.8939069748594417,12.0,32.0,5.0,monte_carlo_200000_float,0.00034999825000874994,,-2.3469387755102042,0.0024951234572654357,0.009980493829061743,,,,,0.0020999895000524994
worst_click,all_49,gray_bbox - default_51,20,49,-3.061224489795918,6.0,23.0,20.0,exact_convolution,0.00855986401438713,3.725290298461914e-09,-2.3469387755102042,0.0024951234572654357,0.009980493829061743,0.4204081632653061,0.45102040816326533,,,0.051359184086322784
recall_at_k,all_49,gray_bbox - default_51,30,49,-2.17255863523502,9.0,29.0,11.0,monte_carlo_200000_float,1.4999925000374999e-05,,-1.9501133786848073,0.0013677925162483007,0.006838962581241503,,,,,0.00010499947500262499
worst_click,all_49,gray_bbox - default_51,30,49,-2.312925170068027,8.0,24.0,17.0,exact_convolution,0.01537143625319004,4.656612873077393e-10,-1.9501133786848073,0.0013677925162483007,0.006838962581241503,0.37006802721088433,0.39319727891156464,,,0.06148574501276016
recall_at_k,all_49,hem_bbox - default_51,10,49,-1.3837790546274151,11.0,25.0,13.0,monte_carlo_200000_float,0.00212998935005325,,-2.9931972789115644,0.05212451936677098,0.10424903873354197,,,,,0.00638996805015975
worst_click,all_49,hem_bbox - default_51,10,49,-5.3061224489795915,6.0,24.0,19.0,exact_convolution,0.021185951307415962,1.862645149230957e-09,-2.9931972789115644,0.05212451936677098,0.10424903873354197,0.4714285714285714,0.5244897959183673,,,0.06355785392224789
recall_at_k,all_49,hem_bbox - default_51,20,49,-3.658544116242408,8.0,37.0,4.0,monte_carlo_200000_float,4.9999750001249995e-06,,-5.646258503401361,5.506071431682358e-06,3.8542500021776505e-05,,,,,4.4999775001124996e-05
worst_click,all_49,hem_bbox - default_51,20,49,-6.530612244897959,7.0,33.0,9.0,exact_convolution,0.00022902479213371407,1.8189894035458565e-12,-5.646258503401361,5.506071431682358e-06,3.8542500021776505e-05,0.38571428571428573,0.45102040816326533,,,0.0016031735449359985
recall_at_k,all_49,hem_bbox - default_51,30,49,-4.719040752860573,7.0,36.0,6.0,monte_carlo_200000_float,4.9999750001249995e-06,,-5.328798185941043,4.965095286024734e-07,4.468585757422261e-06,,,,,4.4999775001124996e-05
worst_click,all_49,hem_bbox - default_51,30,49,-6.258503401360544,6.0,33.0,10.0,exact_convolution,2.3298558517126366e-05,3.637978807091713e-12,-5.328798185941043,4.965095286024734e-07,4.468585757422261e-06,0.3306122448979592,0.39319727891156464,,,0.0002096870266541373
recall_at_k,all_49,hem_bbox - gray_bbox,10,49,-0.8026536795164733,7.0,23.0,19.0,monte_carlo_200000_float,0.004724976375118125,,-2.1768707482993195,0.03398502245545387,0.10195506736636162,,,,,0.00944995275023625
worst_click,all_49,hem_bbox - gray_bbox,10,49,-3.061224489795918,5.0,16.0,28.0,exact_convolution,0.0915060043334961,9.5367431640625e-07,-2.1768707482993195,0.03398502245545387,0.10195506736636162,0.4714285714285714,0.5020408163265306,,,0.1600799560546875
recall_at_k,all_49,hem_bbox - gray_bbox,20,49,-1.7646371413829662,8.0,31.0,10.0,monte_carlo_200000_float,0.0012449937750311248,,-3.2993197278911564,5.137519838172011e-05,0.00030825119029032066,,,,,0.004979975100124499
worst_click,all_49,hem_bbox - gray_bbox,20,49,-3.4693877551020407,8.0,25.0,16.0,exact_convolution,0.012174761155620217,2.3283064365386963e-10,-3.2993197278911564,5.137519838172011e-05,0.00030825119029032066,0.38571428571428573,0.4204081632653061,,,0.06087380577810109
recall_at_k,all_49,hem_bbox - gray_bbox,30,49,-2.546482117625551,5.0,33.0,11.0,monte_carlo_200000_float,0.00046999765001174993,,-3.378684807256236,2.1723462850786746e-06,1.7378770280629396e-05,,,,,0.0023499882500587497
worst_click,all_49,hem_bbox - gray_bbox,30,49,-3.945578231292517,4.0,29.0,16.0,exact_convolution,7.884739898145199e-05,2.3283064365386963e-10,-3.378684807256236,2.1723462850786746e-06,1.7378770280629396e-05,0.3306122448979592,0.37006802721088433,,,0.0006307791918516159
