subset,condition,K,n_roi,n_clicks,tp_sum,delivered_sum,precision_pooled,worst_roi_precision,n_roi_at_worst,worst_roi_files,best_roi_precision,worst_click_precision,n_clicks_at_worst,worst_clicks
all_49,default_51,10,49,147,837,1470,0.5694,0.0,1,211.tiff,1.0,0.0,8,211.tiff/s0;211.tiff/s1;211.tiff/s2;242.tiff/s0;242.tiff/s2;245.tiff/s1;291.tiff/s0;462.tiff/s0
all_49,default_51,20,49,147,1461,2940,0.4969,0.0,1,211.tiff,0.9333,0.0,4,211.tiff/s0;211.tiff/s1;211.tiff/s2;245.tiff/s1
all_49,default_51,30,49,147,1910,4410,0.4331,0.0,1,211.tiff,0.9,0.0,3,211.tiff/s0;211.tiff/s1;211.tiff/s2
all_49,gray_bbox,10,49,147,825,1470,0.5612,0.0,1,211.tiff,1.0,0.0,5,211.tiff/s0;211.tiff/s1;211.tiff/s2;242.tiff/s0;245.tiff/s1
all_49,gray_bbox,20,49,147,1392,2940,0.4735,0.0,1,211.tiff,0.95,0.0,5,211.tiff/s0;211.tiff/s1;211.tiff/s2;242.tiff/s0;245.tiff/s1
all_49,gray_bbox,30,49,147,1824,4410,0.4136,0.0,1,211.tiff,0.9333,0.0,4,211.tiff/s0;211.tiff/s1;211.tiff/s2;242.tiff/s0
all_49,hem_bbox,10,49,147,793,1470,0.5395,0.0,1,211.tiff,1.0,0.0,6,211.tiff/s0;211.tiff/s1;211.tiff/s2;242.tiff/s0;242.tiff/s2;546.tiff/s1
all_49,hem_bbox,20,49,147,1295,2940,0.4405,0.0,1,211.tiff,0.9,0.0,4,211.tiff/s0;211.tiff/s1;211.tiff/s2;242.tiff/s0
all_49,hem_bbox,30,49,147,1675,4410,0.3798,0.0,1,211.tiff,0.8889,0.0,4,211.tiff/s0;211.tiff/s1;211.tiff/s2;242.tiff/s0
original_14,default_51,10,14,42,284,420,0.6762,0.0667,1,245.tiff,1.0,0.0,1,245.tiff/s1
original_14,default_51,20,14,42,525,840,0.625,0.0833,1,245.tiff,0.9333,0.0,1,245.tiff/s1
original_14,default_51,30,14,42,711,1260,0.5643,0.1,1,245.tiff,0.9,0.0333,2,245.tiff/s1;245.tiff/s2
original_14,gray_bbox,10,14,42,282,420,0.6714,0.1,1,245.tiff,1.0,0.0,1,245.tiff/s1
original_14,gray_bbox,20,14,42,507,840,0.6036,0.1167,1,245.tiff,0.95,0.0,1,245.tiff/s1
original_14,gray_bbox,30,14,42,702,1260,0.5571,0.1222,1,245.tiff,0.9333,0.0333,1,245.tiff/s1
original_14,hem_bbox,10,14,42,274,420,0.6524,0.1,1,245.tiff,1.0,0.1,3,245.tiff/s0;245.tiff/s1;245.tiff/s2
original_14,hem_bbox,20,14,42,471,840,0.5607,0.1,1,245.tiff,0.9,0.1,3,245.tiff/s0;245.tiff/s1;245.tiff/s2
original_14,hem_bbox,30,14,42,648,1260,0.5143,0.1111,1,245.tiff,0.8889,0.0667,1,245.tiff/s2
testing_35,default_51,10,35,105,553,1050,0.5267,0.0,1,211.tiff,0.9,0.0,7,211.tiff/s0;211.tiff/s1;211.tiff/s2;242.tiff/s0;242.tiff/s2;291.tiff/s0;462.tiff/s0
testing_35,default_51,20,35,105,936,2100,0.4457,0.0,1,211.tiff,0.85,0.0,3,211.tiff/s0;211.tiff/s1;211.tiff/s2
testing_35,default_51,30,35,105,1199,3150,0.3806,0.0,1,211.tiff,0.8778,0.0,3,211.tiff/s0;211.tiff/s1;211.tiff/s2
testing_35,gray_bbox,10,35,105,543,1050,0.5171,0.0,1,211.tiff,0.9,0.0,4,211.tiff/s0;211.tiff/s1;211.tiff/s2;242.tiff/s0
testing_35,gray_bbox,20,35,105,885,2100,0.4214,0.0,1,211.tiff,0.8333,0.0,4,211.tiff/s0;211.tiff/s1;211.tiff/s2;242.tiff/s0
testing_35,gray_bbox,30,35,105,1122,3150,0.3562,0.0,1,211.tiff,0.8111,0.0,4,211.tiff/s0;211.tiff/s1;211.tiff/s2;242.tiff/s0
testing_35,hem_bbox,10,35,105,519,1050,0.4943,0.0,1,211.tiff,0.9333,0.0,6,211.tiff/s0;211.tiff/s1;211.tiff/s2;242.tiff/s0;242.tiff/s2;546.tiff/s1
testing_35,hem_bbox,20,35,105,824,2100,0.3924,0.0,1,211.tiff,0.8333,0.0,4,211.tiff/s0;211.tiff/s1;211.tiff/s2;242.tiff/s0
testing_35,hem_bbox,30,35,105,1027,3150,0.326,0.0,1,211.tiff,0.7778,0.0,4,211.tiff/s0;211.tiff/s1;211.tiff/s2;242.tiff/s0
