file_name,seed_index,seed_ann_id,rect_y0,rect_y1,rect_x0,rect_x1,rect_h,rect_w,n_kept_px,n_filled_px,kept_share,m_kept,m_outside,delta_m,w_shape,n_blanked_px,fill_fill_alpha_m1,fill_fill_alpha_0,fill_fill_alpha_1,fill_fill_alpha_2,ring_share_fill_alpha_m1,ring_share_fill_alpha_0,ring_share_fill_alpha_1,ring_share_fill_alpha_2,mass_to_shape_fill_alpha_m1,mass_to_shape_fill_alpha_0,mass_to_shape_fill_alpha_1,mass_to_shape_fill_alpha_2
300.tiff,0,14499,17,42,20,33,25,13,325,2276,0.1249519415609381,0.1295229919999838,0.022253340876313366,0.10726965112367043,15.312572979778052,2601,0.2367926388978958,0.12952299416065216,0.022253340110182762,-0.08501631021499634,0.49963416078678313,4.012870904267388e-08,0.49805784994028096,0.5,-2.276732764717782,0.0,2.276732764717782,4.553465529435564
300.tiff,1,14578,16,30,13,34,14,21,294,2307,0.11303344867358708,0.08689817504127365,0.018016452834558303,0.06888172220671535,15.313504818807907,2601,0.1557798981666565,0.08689817786216736,0.018016451969742775,-0.05086527019739151,0.4596086523348116,4.803598208910006e-08,0.4706223164193941,0.5,-1.3224422866215408,0.0,1.3224422866215408,2.6448845732430817
300.tiff,2,14553,16,37,15,40,21,25,525,2076,0.20184544405997693,0.0976413586545026,0.01533384040774488,0.08230751824675772,20.526681402452468,2601,0.17994888126850128,0.09764135628938675,0.015333840623497963,-0.06697367876768112,0.4893615164426389,4.828141188536353e-08,0.485374211463377,0.5,-2.1051355663553597,0.0,2.1051355663553597,4.210271132710719
301.tiff,0,14969,14,46,12,39,32,27,864,1737,0.33217993079584773,0.05256345304637425,0.028485410232292778,0.02407804281408147,22.42050733072562,2601,0.0766414925456047,0.05256345123052597,0.028485409915447235,0.004407367203384638,0.3522837996267008,4.6731240689932754e-08,0.3694683845761615,0.48255157230428014,-0.9278750335348948,0.0,0.9278750335348948,1.8557500670697895
301.tiff,1,14874,11,35,12,37,24,25,600,2001,0.2306805074971165,0.07347460134946839,0.019851890229366963,0.05362271112010142,23.47934332749981,2601,0.12709730863571167,0.07347460091114044,0.019851889461278915,-0.03377082198858261,0.4266750018109058,8.61729983989338e-09,0.4628038806724904,0.5000000000000001,-1.3702949960435222,0.0,1.3702949960435222,2.7405899920870445
301.tiff,2,14782,23,33,17,36,10,19,190,2411,0.07304882737408688,0.05378356142900884,0.02346880900739939,0.030314752421609453,6.021856089308858,2601,0.08409831672906876,0.053783562034368515,0.023468809202313423,-0.006845943629741669,0.4123589299417758,1.7704903620512155e-08,0.4454066640349445,0.49999999999999994,-0.956482997049978,0.0,0.956482997049978,1.912965994099956
322.tiff,0,16292,12,36,16,40,24,24,576,2025,0.22145328719723184,0.11165409581574043,0.01448467766173794,0.09716941815400248,39.961000157529874,2601,0.20882351696491241,0.11165409535169601,0.014484677463769913,-0.08268474042415619,0.47021179713990263,5.2075127907233915e-09,0.46648952765046114,0.5,-1.400605205977535,0.0,1.400605205977535,2.80121041195507
322.tiff,1,16270,13,42,17,33,29,16,464,2137,0.17839292579777008,0.11969514268714883,0.019621719045693646,0.10007342364145519,26.42305787395137,2601,0.21976856887340546,0.11969514191150665,0.019621718674898148,-0.08045170456171036,0.4950342995796733,1.1190783525772054e-08,0.4875696706379302,0.5,-1.7573313728919802,0.0,1.7573313728919802,3.5146627457839603
322.tiff,2,16265,12,39,19,35,27,16,432,2169,0.16608996539792387,0.16023668750184933,0.016378245611956548,0.14385844188989277,24.78756203431921,2601,0.3040951192378998,0.1602366864681244,0.016378246247768402,-0.12748019397258759,0.49999999999999994,1.50236026875043e-08,0.4969673638738452,0.5000000000000001,-2.507178673335816,0.0,2.507178673335816,5.014357346671632
337.tiff,0,17124,18,37,17,32,19,15,285,2316,0.10957324106113034,0.11090357246351217,0.019117657924898075,0.0917859145386141,12.434855231972769,2601,0.20268948376178741,0.11090357601642609,0.019117657095193863,-0.07266825437545776,0.49864342923482263,7.250817734258885e-08,0.49638543602235485,0.5,-2.1036823634459747,0.0,2.1036823634459747,4.207364726891949
337.tiff,1,17129,19,32,16,36,13,20,260,2341,0.09996155324875049,0.07864209453826054,0.012794174790336645,0.0658479197479239,10.542388696549459,2601,0.14449001848697662,0.0786420926451683,0.012794175185263157,-0.05305374413728714,0.4828624199225951,4.2021074728355015e-08,0.4969759206175279,0.5000000000000001,-1.6239639447238146,0.0,1.6239639447238146,3.247927889447629
337.tiff,2,17118,17,37,17,37,20,20,400,2201,0.15378700499807765,0.08962177373410668,0.015923407219078818,0.07369836651502787,21.803771678562043,2601,0.1633201390504837,0.08962177485227585,0.015923406928777695,-0.05777496099472046,0.44951676354174214,1.7358634908492168e-08,0.48212934658391116,0.5,-1.352029687368076,0.0,1.352029687368076,2.704059374736152
339.tiff,0,17152,10,34,9,40,24,31,744,1857,0.28604382929642447,0.07238888348874949,0.008451947265637635,0.06393693622311185,41.51945260934307,2601,0.13632582128047943,0.07238887995481491,0.008451947011053562,-0.055484987795352936,0.40500490660035576,4.5211753620282114e-08,0.42782071819800455,0.5,-1.145705869428799,0.0,1.145705869428799,2.291411738857598
