subset,domain,file_name,pair,K,delta_tp_s0,delta_tp_s1,delta_tp_s2,delta_tp_sum
original_14,canine cutaneous mast cell tumor,300.tiff,fill_alpha_0 - fill_alpha_1,10,-1,0,0,-1
original_14,canine cutaneous mast cell tumor,300.tiff,fill_alpha_0 - fill_alpha_1,20,0,1,-1,0
original_14,canine cutaneous mast cell tumor,300.tiff,fill_alpha_0 - fill_alpha_1,30,1,3,0,4
original_14,canine cutaneous mast cell tumor,301.tiff,fill_alpha_0 - fill_alpha_1,10,3,0,2,5
original_14,canine cutaneous mast cell tumor,301.tiff,fill_alpha_0 - fill_alpha_1,20,3,0,2,5
original_14,canine cutaneous mast cell tumor,301.tiff,fill_alpha_0 - fill_alpha_1,30,3,-1,1,3
testing_35,canine cutaneous mast cell tumor,322.tiff,fill_alpha_0 - fill_alpha_1,10,0,0,0,0
testing_35,canine cutaneous mast cell tumor,322.tiff,fill_alpha_0 - fill_alpha_1,20,-1,0,0,-1
testing_35,canine cutaneous mast cell tumor,322.tiff,fill_alpha_0 - fill_alpha_1,30,-3,0,-2,-5
testing_35,canine cutaneous mast cell tumor,337.tiff,fill_alpha_0 - fill_alpha_1,10,0,-2,-2,-4
testing_35,canine cutaneous mast cell tumor,337.tiff,fill_alpha_0 - fill_alpha_1,20,-2,-4,-3,-9
testing_35,canine cutaneous mast cell tumor,337.tiff,fill_alpha_0 - fill_alpha_1,30,-2,-4,-5,-11
testing_35,canine cutaneous mast cell tumor,339.tiff,fill_alpha_0 - fill_alpha_1,10,-2,-1,-2,-5
testing_35,canine cutaneous mast cell tumor,339.tiff,fill_alpha_0 - fill_alpha_1,20,-1,-1,-2,-4
testing_35,canine cutaneous mast cell tumor,339.tiff,fill_alpha_0 - fill_alpha_1,30,-3,-1,-2,-6
testing_35,canine cutaneous mast cell tumor,343.tiff,fill_alpha_0 - fill_alpha_1,10,-1,-2,-3,-6
testing_35,canine cutaneous mast cell tumor,343.tiff,fill_alpha_0 - fill_alpha_1,20,1,-3,-4,-6
testing_35,canine cutaneous mast cell tumor,343.tiff,fill_alpha_0 - fill_alpha_1,30,-3,-1,-5,-9
testing_35,canine cutaneous mast cell tumor,344.tiff,fill_alpha_0 - fill_alpha_1,10,1,2,0,3
testing_35,canine cutaneous mast cell tumor,344.tiff,fill_alpha_0 - fill_alpha_1,20,-1,-5,1,-5
testing_35,canine cutaneous mast cell tumor,344.tiff,fill_alpha_0 - fill_alpha_1,30,-7,-9,-4,-20
original_14,canine lung cancer,201.tiff,fill_alpha_0 - fill_alpha_1,10,1,0,2,3
original_14,canine lung cancer,201.tiff,fill_alpha_0 - fill_alpha_1,20,-1,0,2,1
original_14,canine lung cancer,201.tiff,fill_alpha_0 - fill_alpha_1,30,-3,-1,1,-3
original_14,canine lung cancer,233.tiff,fill_alpha_0 - fill_alpha_1,10,0,0,-1,-1
original_14,canine lung cancer,233.tiff,fill_alpha_0 - fill_alpha_1,20,-1,2,0,1
original_14,canine lung cancer,233.tiff,fill_alpha_0 - fill_alpha_1,30,-1,3,1,3
testing_35,canine lung cancer,211.tiff,fill_alpha_0 - fill_alpha_1,10,0,0,0,0
testing_35,canine lung cancer,211.tiff,fill_alpha_0 - fill_alpha_1,20,0,0,0,0
testing_35,canine lung cancer,211.tiff,fill_alpha_0 - fill_alpha_1,30,0,0,0,0
testing_35,canine lung cancer,220.tiff,fill_alpha_0 - fill_alpha_1,10,1,-1,-1,-1
testing_35,canine lung cancer,220.tiff,fill_alpha_0 - fill_alpha_1,20,0,-1,-1,-2
testing_35,canine lung cancer,220.tiff,fill_alpha_0 - fill_alpha_1,30,-6,1,-3,-8
testing_35,canine lung cancer,230.tiff,fill_alpha_0 - fill_alpha_1,10,0,0,0,0
testing_35,canine lung cancer,230.tiff,fill_alpha_0 - fill_alpha_1,20,0,0,0,0
testing_35,canine lung cancer,230.tiff,fill_alpha_0 - fill_alpha_1,30,0,-1,-1,-2
testing_35,canine lung cancer,235.tiff,fill_alpha_0 - fill_alpha_1,10,0,-1,-1,-2
testing_35,canine lung cancer,235.tiff,fill_alpha_0 - fill_alpha_1,20,-1,-1,-1,-3
testing_35,canine lung cancer,235.tiff,fill_alpha_0 - fill_alpha_1,30,-2,-3,-2,-7
testing_35,canine lung cancer,242.tiff,fill_alpha_0 - fill_alpha_1,10,0,1,0,1
testing_35,canine lung cancer,242.tiff,fill_alpha_0 - fill_alpha_1,20,-1,1,0,0
testing_35,canine lung cancer,242.tiff,fill_alpha_0 - fill_alpha_1,30,-1,1,0,0
original_14,canine lymphosarcoma,245.tiff,fill_alpha_0 - fill_alpha_1,10,-1,1,0,0
original_14,canine lymphosarcoma,245.tiff,fill_alpha_0 - fill_alpha_1,20,-1,3,-1,1
original_14,canine lymphosarcoma,245.tiff,fill_alpha_0 - fill_alpha_1,30,0,2,-3,-1
original_14,canine lymphosarcoma,246.tiff,fill_alpha_0 - fill_alpha_1,10,0,-2,0,-2
original_14,canine lymphosarcoma,246.tiff,fill_alpha_0 - fill_alpha_1,20,0,-6,-2,-8
original_14,canine lymphosarcoma,246.tiff,fill_alpha_0 - fill_alpha_1,30,-1,-9,-3,-13
testing_35,canine lymphosarcoma,249.tiff,fill_alpha_0 - fill_alpha_1,10,-1,0,-1,-2
testing_35,canine lymphosarcoma,249.tiff,fill_alpha_0 - fill_alpha_1,20,0,1,-2,-1
testing_35,canine lymphosarcoma,249.tiff,fill_alpha_0 - fill_alpha_1,30,-2,0,-3,-5
testing_35,canine lymphosarcoma,284.tiff,fill_alpha_0 - fill_alpha_1,10,-1,0,-1,-2
testing_35,canine lymphosarcoma,284.tiff,fill_alpha_0 - fill_alpha_1,20,-4,-2,0,-6
testing_35,canine lymphosarcoma,284.tiff,fill_alpha_0 - fill_alpha_1,30,-6,-3,0,-9
testing_35,canine lymphosarcoma,289.tiff,fill_alpha_0 - fill_alpha_1,10,0,-1,2,1
testing_35,canine lymphosarcoma,289.tiff,fill_alpha_0 - fill_alpha_1,20,-1,-3,2,-2
testing_35,canine lymphosarcoma,289.tiff,fill_alpha_0 - fill_alpha_1,30,-1,-1,2,0
testing_35,canine lymphosarcoma,291.tiff,fill_alpha_0 - fill_alpha_1,10,2,-1,0,1
testing_35,canine lymphosarcoma,291.tiff,fill_alpha_0 - fill_alpha_1,20,-3,-5,-3,-11
testing_35,canine lymphosarcoma,291.tiff,fill_alpha_0 - fill_alpha_1,30,-6,-9,-5,-20
testing_35,canine lymphosarcoma,293.tiff,fill_alpha_0 - fill_alpha_1,10,4,5,3,12
