pair,K,n_roi,n_clicks,pooled_delta_precision,wins,losses,ties,n_nonzero,exact_p,min_attainable_p,holm_family,holm_p,ci_low,ci_high,boot_share_ge_0,boot_share_le_0,boot_share_0_or_opposite,t_ci_low,t_ci_high,ci_excludes_0,t_ci_excludes_0,n_same_direction,majority_of_all_rois,d5_bar_met,d5_robustness
fill_alpha_0 - fill_alpha_1,10,49,147,-0.0326530612244898,11,28,10,39,0.035010561121453065,3.637978807091713e-12,primary_6,0.07002112224290613,-0.06054421768707483,-0.0027210884353741495,0.0187,0.9838,0.0187,-0.06258054779731537,-0.002725574651664217,True,True,28,True,True,met
fill_alpha_0 - fill_alpha_1,20,49,147,-0.06292517006802721,6,35,8,41,1.6366357158403844e-06,9.094947017729282e-13,primary_6,8.183178579201922e-06,-0.0884438775510204,-0.03877551020408163,0.0,1.0,0.0,-0.08846823217072936,-0.037382107965325075,True,True,35,True,True,met
fill_alpha_0 - fill_alpha_1,30,49,147,-0.06326530612244897,7,37,5,44,9.618941021471983e-08,1.1368683772161603e-13,primary_6,5.77136461288319e-07,-0.08480725623582766,-0.042630385487528344,0.0,1.0,0.0,-0.08525341008693912,-0.04127720215795882,True,True,37,True,True,met
fill_alpha_2 - fill_alpha_0,10,49,147,0.027210884353741496,27,12,10,39,0.17083407083555358,3.637978807091713e-12,primary_6,0.17083407083555358,-0.012244897959183673,0.061224489795918366,0.9263,0.0779,0.0779,-0.010669426400085825,0.06509119510756883,False,False,27,True,False,not met
fill_alpha_2 - fill_alpha_0,20,49,147,0.0673469387755102,36,7,6,43,2.68795936335664e-05,2.2737367544323206e-13,primary_6,8.06387809006992e-05,0.03706632653061225,0.09727891156462586,1.0,0.0,0.0,0.03641527436136429,0.09827860318965612,True,True,36,True,True,met
fill_alpha_2 - fill_alpha_0,30,49,147,0.06258503401360545,36,7,6,43,2.516044332878664e-06,2.2737367544323206e-13,primary_6,1.0064177331514657e-05,0.03945578231292517,0.08616780045351474,1.0,0.0,0.0,0.03811675600407359,0.0870533120231373,True,True,36,True,True,met
fill_alpha_m1 - fill_alpha_1,10,49,147,-0.28503401360544217,0,46,3,46,2.842170943040401e-14,2.842170943040401e-14,secondary_vs_alpha1_6,1.1368683772161603e-13,-0.33945578231292517,-0.23197278911564626,0.0,1.0,0.0,-0.34103504705330845,-0.22903298015757587,True,True,46,True,True,met
fill_alpha_m1 - fill_alpha_1,20,49,147,-0.28843537414965986,0,48,1,48,7.105427357601002e-15,7.105427357601002e-15,secondary_vs_alpha1_6,4.263256414560601e-14,-0.33877551020408164,-0.23944727891156475,0.0,1.0,0.0,-0.3403939039825766,-0.23647684431674315,True,True,48,True,True,met
fill_alpha_m1 - fill_alpha_1,30,49,147,-0.26780045351473925,0,48,1,48,7.105427357601002e-15,7.105427357601002e-15,secondary_vs_alpha1_6,4.263256414560601e-14,-0.319733560090703,-0.21723356009070294,0.0,1.0,0.0,-0.32110175501961813,-0.21449915200986036,True,True,48,True,True,met
fill_alpha_2 - fill_alpha_1,10,49,147,-0.005442176870748299,9,12,28,21,0.5011253356933594,9.5367431640625e-07,secondary_vs_alpha1_6,1.0,-0.017687074829931974,0.004081632653061225,0.1848,0.8483,0.1848,-0.01706158948532877,0.006177235743832172,False,False,12,False,False,not met
fill_alpha_2 - fill_alpha_1,20,49,147,0.004421768707482994,20,9,20,29,0.4435030482709408,3.725290298461914e-09,secondary_vs_alpha1_6,1.0,-0.005782312925170068,0.013265306122448979,0.8329,0.186,0.186,-0.005532874832552468,0.014376412247518455,False,False,20,False,False,not met
fill_alpha_2 - fill_alpha_1,30,49,147,-0.0006802721088435374,22,15,12,37,0.8939568560745101,1.4551915228366852e-11,secondary_vs_alpha1_6,1.0,-0.007482993197278911,0.005215419501133787,0.4456,0.5825,0.4456,-0.007304944830418127,0.005944400612731052,False,False,15,False,False,not met
fill_alpha_m1 - default_51,10,49,147,-0.2836734693877551,1,45,3,46,1.4210854715202004e-13,2.842170943040401e-14,secondary_vs_default_12,1.4210854715202004e-12,-0.33741496598639453,-0.23129251700680273,0.0,1.0,0.0,-0.33892126264350725,-0.22842567613200299,True,True,45,True,True,met
fill_alpha_m1 - default_51,20,49,147,-0.28469387755102044,1,46,2,47,2.842170943040401e-14,1.4210854715202004e-14,secondary_vs_default_12,3.126388037344441e-13,-0.33537414965986395,-0.23401360544217686,0.0,1.0,0.0,-0.33727021293999054,-0.23211754216205033,True,True,46,True,True,met
fill_alpha_m1 - default_51,30,49,147,-0.26077097505668934,1,47,1,48,1.4210854715202004e-14,7.105427357601002e-15,secondary_vs_default_12,1.7053025658242404e-13,-0.31201814058956917,-0.2113378684807256,0.0,1.0,0.0,-0.312688210771284,-0.20885373934209467,True,True,47,True,True,met
fill_alpha_0 - default_51,10,49,147,-0.031292517006802724,11,27,11,38,0.05800990160059882,7.275957614183426e-12,secondary_vs_default_12,0.40606931120419176,-0.061224489795918366,0.0006802721088435374,0.0295,0.9731,0.0295,-0.06307191748600535,0.0004868834723999113,False,False,27,True,False,not met
fill_alpha_0 - default_51,20,49,147,-0.05918367346938776,7,35,7,42,1.454395805922104e-05,4.547473508864641e-13,secondary_vs_default_12,0.00011635166447376832,-0.08571428571428572,-0.034013605442176874,0.0,1.0,0.0,-0.08592832432870424,-0.032439022610071255,True,True,35,True,True,met
fill_alpha_0 - default_51,30,49,147,-0.05623582766439909,8,37,4,45,1.6603586345809163e-06,5.684341886080802e-14,secondary_vs_default_12,1.4943227711228246e-05,-0.07800453514739229,-0.03537414965986395,0.0,1.0,0.0,-0.07847538012797804,-0.03399627520082013,True,True,37,True,True,met
fill_alpha_1 - default_51,10,49,147,0.0013605442176870747,9,9,31,18,0.9220657348632812,7.62939453125e-06,secondary_vs_default_12,1.0,-0.011564625850340135,0.014965986394557823,0.5944,0.4502,0.4502,-0.01203216808605543,0.01475325652142958,False,False,9,False,False,not met
fill_alpha_1 - default_51,20,49,147,0.0037414965986394557,18,16,15,34,0.6267131965141743,1.1641532182693481e-10,secondary_vs_default_12,1.0,-0.005782312925170068,0.01598639455782313,0.7449,0.2806,0.2806,-0.007454254956831699,0.014937248154110612,False,False,18,False,False,not met
fill_alpha_1 - default_51,30,49,147,0.007029478458049887,19,16,14,35,0.16739312594290823,5.820766091346741e-11,secondary_vs_default_12,1.0,-0.0013605442176870747,0.017233560090702947,0.9454,0.0612,0.0612,-0.002626493428557119,0.01668545034465689,False,False,19,False,False,not met
fill_alpha_2 - default_51,10,49,147,-0.004081632653061225,11,18,20,29,0.7033642455935478,3.725290298461914e-09,secondary_vs_default_12,1.0,-0.02108843537414966,0.012244897959183673,0.3249,0.7051,0.3249,-0.021412078466992314,0.01324881316086987,False,False,18,False,False,not met
