subset,domain,file_name,condition,n_clicks,tp_at_10,tp_at_20,tp_at_30,precision_at_10,precision_at_20,precision_at_30
original_14,canine cutaneous mast cell tumor,300.tiff,default_51,3,27,56,81,0.9,0.9333333333333333,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,fill_alpha_m1,3,25,36,40,0.8333333333333334,0.6,0.4444444444444444
original_14,canine cutaneous mast cell tumor,300.tiff,fill_alpha_0,3,26,54,83,0.8666666666666667,0.9,0.9222222222222223
original_14,canine cutaneous mast cell tumor,300.tiff,fill_alpha_1,3,27,54,79,0.9,0.9,0.8777777777777778
original_14,canine cutaneous mast cell tumor,300.tiff,fill_alpha_2,3,26,53,78,0.8666666666666667,0.8833333333333333,0.8666666666666667
original_14,canine cutaneous mast cell tumor,301.tiff,default_51,3,22,48,73,0.7333333333333333,0.8,0.8111111111111111
original_14,canine cutaneous mast cell tumor,301.tiff,fill_alpha_m1,3,18,31,39,0.6,0.5166666666666667,0.43333333333333335
original_14,canine cutaneous mast cell tumor,301.tiff,fill_alpha_0,3,27,55,83,0.9,0.9166666666666666,0.9222222222222223
original_14,canine cutaneous mast cell tumor,301.tiff,fill_alpha_1,3,22,50,80,0.7333333333333333,0.8333333333333334,0.8888888888888888
original_14,canine cutaneous mast cell tumor,301.tiff,fill_alpha_2,3,21,50,78,0.7,0.8333333333333334,0.8666666666666667
testing_35,canine cutaneous mast cell tumor,322.tiff,default_51,3,24,41,46,0.8,0.6833333333333333,0.5111111111111111
testing_35,canine cutaneous mast cell tumor,322.tiff,fill_alpha_m1,3,18,22,22,0.6,0.36666666666666664,0.24444444444444444
testing_35,canine cutaneous mast cell tumor,322.tiff,fill_alpha_0,3,24,41,43,0.8,0.6833333333333333,0.4777777777777778
testing_35,canine cutaneous mast cell tumor,322.tiff,fill_alpha_1,3,24,42,48,0.8,0.7,0.5333333333333333
testing_35,canine cutaneous mast cell tumor,322.tiff,fill_alpha_2,3,24,42,47,0.8,0.7,0.5222222222222223
testing_35,canine cutaneous mast cell tumor,337.tiff,default_51,3,24,33,38,0.8,0.55,0.4222222222222222
testing_35,canine cutaneous mast cell tumor,337.tiff,fill_alpha_m1,3,11,11,13,0.36666666666666664,0.18333333333333332,0.14444444444444443
testing_35,canine cutaneous mast cell tumor,337.tiff,fill_alpha_0,3,20,24,27,0.6666666666666666,0.4,0.3
testing_35,canine cutaneous mast cell tumor,337.tiff,fill_alpha_1,3,24,33,38,0.8,0.55,0.4222222222222222
testing_35,canine cutaneous mast cell tumor,337.tiff,fill_alpha_2,3,24,33,35,0.8,0.55,0.3888888888888889
testing_35,canine cutaneous mast cell tumor,339.tiff,default_51,3,13,16,18,0.43333333333333335,0.26666666666666666,0.2
testing_35,canine cutaneous mast cell tumor,339.tiff,fill_alpha_m1,3,3,5,6,0.1,0.08333333333333333,0.06666666666666667
testing_35,canine cutaneous mast cell tumor,339.tiff,fill_alpha_0,3,9,12,12,0.3,0.2,0.13333333333333333
testing_35,canine cutaneous mast cell tumor,339.tiff,fill_alpha_1,3,14,16,18,0.4666666666666667,0.26666666666666666,0.2
testing_35,canine cutaneous mast cell tumor,339.tiff,fill_alpha_2,3,14,17,20,0.4666666666666667,0.2833333333333333,0.2222222222222222
testing_35,canine cutaneous mast cell tumor,343.tiff,default_51,3,21,26,32,0.7,0.43333333333333335,0.35555555555555557
testing_35,canine cutaneous mast cell tumor,343.tiff,fill_alpha_m1,3,0,0,0,0.0,0.0,0.0
testing_35,canine cutaneous mast cell tumor,343.tiff,fill_alpha_0,3,16,18,23,0.5333333333333333,0.3,0.25555555555555554
testing_35,canine cutaneous mast cell tumor,343.tiff,fill_alpha_1,3,22,24,32,0.7333333333333333,0.4,0.35555555555555557
testing_35,canine cutaneous mast cell tumor,343.tiff,fill_alpha_2,3,22,26,33,0.7333333333333333,0.43333333333333335,0.36666666666666664
testing_35,canine cutaneous mast cell tumor,344.tiff,default_51,3,18,41,59,0.6,0.6833333333333333,0.6555555555555556
testing_35,canine cutaneous mast cell tumor,344.tiff,fill_alpha_m1,3,8,15,15,0.26666666666666666,0.25,0.16666666666666666
testing_35,canine cutaneous mast cell tumor,344.tiff,fill_alpha_0,3,21,35,38,0.7,0.5833333333333334,0.4222222222222222
testing_35,canine cutaneous mast cell tumor,344.tiff,fill_alpha_1,3,18,40,58,0.6,0.6666666666666666,0.6444444444444445
testing_35,canine cutaneous mast cell tumor,344.tiff,fill_alpha_2,3,18,40,56,0.6,0.6666666666666666,0.6222222222222222
original_14,canine lung cancer,201.tiff,default_51,3,11,21,26,0.36666666666666664,0.35,0.28888888888888886
original_14,canine lung cancer,201.tiff,fill_alpha_m1,3,4,5,5,0.13333333333333333,0.08333333333333333,0.05555555555555555
original_14,canine lung cancer,201.tiff,fill_alpha_0,3,12,21,22,0.4,0.35,0.24444444444444444
original_14,canine lung cancer,201.tiff,fill_alpha_1,3,9,20,25,0.3,0.3333333333333333,0.2777777777777778
