subset,domain,file_name,image_id,seed_index,condition,seed_ann_id,click_cx,click_cy,mpp,match_radius_px,margin_px,n_gt_mitotic,tpl_sha1,n_peaks,n_detections,n_self_hits,n_near_click,near_click_detail,od_nan,od_descending,t_run_s,tp_at_10,tp_at_20,tp_at_30,n_od_bit_exact,precision_at_10,precision_at_20,precision_at_30
original_14,canine cutaneous mast cell tumor,300.tiff,300,0,default_51,14499,1411.0,3551.0,0.2533008895448562,29.609055118110238,4,180,9b97486771e4d1e64d8f23bf9a699769d9b79586,100,99,1,0,,0,True,4.803,9,19,27,30.0,0.9,0.95,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,0,hem_rect_fill,14499,1411.0,3551.0,0.2533008895448562,29.609055118110238,4,180,3f38c1d5894fd143169e2372b0f2005ea9396ec2,100,99,1,0,,0,True,3.06,9,18,26,30.0,0.9,0.9,0.8666666666666667
original_14,canine cutaneous mast cell tumor,300.tiff,300,0,hem_rect_fill_1um,14499,1411.0,3551.0,0.2533008895448562,29.609055118110238,4,180,d341225d9e47fb46a19c105a3d3e020b558405d3,100,99,1,0,,0,True,4.586,9,18,26,,0.9,0.9,0.8666666666666667
original_14,canine cutaneous mast cell tumor,300.tiff,300,1,default_51,14578,4652.0,2817.0,0.2533008895448562,29.609055118110238,4,180,72c93fa5c4c2e1d5e9365e10efcf32bd7e7fccc6,100,99,1,0,,0,True,7.193,9,19,27,30.0,0.9,0.95,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,1,hem_rect_fill,14578,4652.0,2817.0,0.2533008895448562,29.609055118110238,4,180,2299902a3f36249c4457cf4d831d90c16e471894,100,98,1,0,,0,True,5.226,9,18,26,30.0,0.9,0.9,0.8666666666666667
original_14,canine cutaneous mast cell tumor,300.tiff,300,1,hem_rect_fill_1um,14578,4652.0,2817.0,0.2533008895448562,29.609055118110238,4,180,47896775a7a49bc3d8654ccebdf100f89a1413f6,100,98,1,0,,0,True,3.677,10,19,27,,1.0,0.95,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,2,default_51,14553,3995.0,564.0,0.2533008895448562,29.609055118110238,4,180,7707a565945709dcb6075d4dca17c2b287cc266b,100,99,1,0,,0,True,3.292,9,18,27,30.0,0.9,0.9,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,2,hem_rect_fill,14553,3995.0,564.0,0.2533008895448562,29.609055118110238,4,180,3a1f06275ab65ed2e6efe8dc85eab719febeba62,100,98,1,0,,0,True,4.115,9,18,27,30.0,0.9,0.9,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,2,hem_rect_fill_1um,14553,3995.0,564.0,0.2533008895448562,29.609055118110238,4,180,3abefe6648e74574a14bd902d79867e9366d6bc4,100,99,1,0,,0,True,4.695,10,19,28,,1.0,0.95,0.9333333333333333
original_14,canine cutaneous mast cell tumor,301.tiff,301,0,default_51,14969,5911.0,3548.0,0.2533008895448562,29.609055118110238,4,217,97f410f43bb8c4613c96a140a5203a1937f5ae29,100,99,1,0,,0,True,5.108,8,18,26,30.0,0.8,0.9,0.8666666666666667
