rank,cx,cy,score,od,bucket,matched_ann_id,matched_category,file_name,seed_index,condition
0,5206.0,3075.0,4.7094283,0.19470727443695068,human_correct_label,14609,1,300.tiff,0,default_51
1,4213.0,1382.0,3.9496343,0.18282127380371094,human_correct_label,14561,1,300.tiff,0,default_51
2,5359.0,1168.0,4.2617707,0.181596577167511,human_correct_label,14632,1,300.tiff,0,default_51
3,5858.0,3544.0,3.482155,0.1807204633951187,human_correct_label,14607,1,300.tiff,0,default_51
4,1475.0,4337.0,3.863425,0.18035611510276794,human_correct_label,14503,1,300.tiff,0,default_51
5,935.0,4139.0,3.3278635,0.17753061652183533,human_correct_label,14502,1,300.tiff,0,default_51
6,4622.0,3191.0,3.6702769,0.17660290002822876,human_correct_label,14586,1,300.tiff,0,default_51
7,5401.0,4471.0,4.407094,0.17600326240062714,non_human_findings,-1,0,300.tiff,0,default_51
8,5894.0,914.0,4.072917,0.1755707710981369,human_correct_label,14637,1,300.tiff,0,default_51
9,5120.0,1981.0,4.923272,0.17548270523548126,human_correct_label,14626,1,300.tiff,0,default_51
10,170.0,1722.0,4.0818987,0.17470626533031464,human_correct_label,14477,1,300.tiff,0,default_51
11,1458.0,1226.0,4.6941,0.1734342724084854,human_correct_label,14475,1,300.tiff,0,default_51
12,1675.0,810.0,4.6705284,0.1727648824453354,human_correct_label,14545,1,300.tiff,0,default_51
13,5653.0,4204.0,3.5346446,0.1724788248538971,human_correct_label,14600,1,300.tiff,0,default_51
14,3307.0,1065.0,4.0328426,0.1723620891571045,human_correct_label,14559,1,300.tiff,0,default_51
15,4787.0,586.0,4.421946,0.17129012942314148,human_correct_label,14642,1,300.tiff,0,default_51
16,3482.0,1165.0,3.501125,0.17124536633491516,human_correct_label,14563,1,300.tiff,0,default_51
17,3307.0,2633.0,3.1710846,0.1688164919614792,human_correct_label,14583,1,300.tiff,0,default_51
18,4492.0,4338.0,4.77728,0.168381467461586,human_correct_label,14594,1,300.tiff,0,default_51
19,4378.0,1824.0,3.730656,0.16824446618556976,human_correct_label,14568,1,300.tiff,0,default_51
20,4478.0,2800.0,4.140798,0.16669565439224243,human_correct_label,14580,1,300.tiff,0,default_51
21,4340.0,776.0,4.1095753,0.16648538410663605,human_rejected_label,14566,2,300.tiff,0,default_51
22,5719.0,3805.0,3.4779768,0.16550181806087494,human_correct_label,14605,1,300.tiff,0,default_51
23,5215.0,645.0,3.468043,0.1653144508600235,human_correct_label,14634,1,300.tiff,0,default_51
24,6105.0,4531.0,4.657577,0.1652766466140747,human_correct_label,14598,1,300.tiff,0,default_51
25,6088.0,1029.0,3.966051,0.1650671511888504,human_correct_label,14639,1,300.tiff,0,default_51
26,768.0,3495.0,3.4540935,0.1638723760843277,human_correct_label,14501,1,300.tiff,0,default_51
27,6213.0,627.0,3.8715262,0.16383196413516998,human_correct_label,14641,1,300.tiff,0,default_51
28,5397.0,2272.0,3.8245404,0.16360288858413696,human_correct_label,14620,1,300.tiff,0,default_51
29,4906.0,1571.0,4.1599274,0.1630316972732544,human_rejected_label,14680,2,300.tiff,0,default_51
0,5206.0,3075.0,4.497089,0.19470727443695068,human_correct_label,14609,1,300.tiff,0,hem_rect_fill
1,4212.0,1382.0,3.6700413,0.18282127380371094,human_correct_label,14561,1,300.tiff,0,hem_rect_fill
2,5359.0,1168.0,4.211677,0.181596577167511,human_correct_label,14632,1,300.tiff,0,hem_rect_fill
3,5857.0,3543.0,3.319432,0.1807204633951187,human_correct_label,14607,1,300.tiff,0,hem_rect_fill
4,1475.0,4336.0,3.6658325,0.18040849268436432,human_correct_label,14503,1,300.tiff,0,hem_rect_fill
5,934.0,4139.0,3.2177207,0.17790010571479797,human_correct_label,14502,1,300.tiff,0,hem_rect_fill
6,4621.0,3191.0,3.6907668,0.1763501614332199,human_correct_label,14586,1,300.tiff,0,hem_rect_fill
7,5401.0,4471.0,4.1139283,0.17600326240062714,non_human_findings,-1,0,300.tiff,0,hem_rect_fill
8,5894.0,914.0,3.9261925,0.1755707710981369,human_correct_label,14637,1,300.tiff,0,hem_rect_fill
9,5120.0,1982.0,4.750244,0.17501871287822723,human_correct_label,14626,1,300.tiff,0,hem_rect_fill
10,6442.0,620.0,3.5091472,0.17486660182476044,human_rejected_label,14648,2,300.tiff,0,hem_rect_fill
11,168.0,1721.0,3.8382134,0.17470628023147583,human_correct_label,14477,1,300.tiff,0,hem_rect_fill
12,1459.0,1225.0,4.7398973,0.17293508350849152,human_correct_label,14475,1,300.tiff,0,hem_rect_fill
13,1674.0,810.0,4.6752534,0.1727648824453354,human_correct_label,14545,1,300.tiff,0,hem_rect_fill
14,5654.0,4204.0,3.2556732,0.1724788248538971,human_correct_label,14600,1,300.tiff,0,hem_rect_fill
15,3307.0,1066.0,4.0301228,0.1721101701259613,human_correct_label,14559,1,300.tiff,0,hem_rect_fill
16,4787.0,587.0,4.531083,0.17129014432430267,human_correct_label,14642,1,300.tiff,0,hem_rect_fill
17,3482.0,1166.0,3.6311378,0.17124536633491516,human_correct_label,14563,1,300.tiff,0,hem_rect_fill
18,4492.0,4338.0,4.803691,0.168381467461586,human_correct_label,14594,1,300.tiff,0,hem_rect_fill
19,4378.0,1824.0,3.8850055,0.16824446618556976,human_correct_label,14568,1,300.tiff,0,hem_rect_fill
20,4478.0,2800.0,4.0713296,0.16669565439224243,human_correct_label,14580,1,300.tiff,0,hem_rect_fill
21,4340.0,776.0,3.7895865,0.16648538410663605,human_rejected_label,14566,2,300.tiff,0,hem_rect_fill
22,5719.0,3806.0,3.4580913,0.16554756462574005,human_correct_label,14605,1,300.tiff,0,hem_rect_fill
23,5215.0,645.0,3.400819,0.1653144508600235,human_correct_label,14634,1,300.tiff,0,hem_rect_fill
24,6105.0,4531.0,4.454694,0.1652766466140747,human_correct_label,14598,1,300.tiff,0,hem_rect_fill
25,6088.0,1029.0,3.8996596,0.1650671511888504,human_correct_label,14639,1,300.tiff,0,hem_rect_fill
26,6213.0,627.0,3.624204,0.16383196413516998,human_correct_label,14641,1,300.tiff,0,hem_rect_fill
27,767.0,3495.0,3.717213,0.16375677287578583,human_correct_label,14501,1,300.tiff,0,hem_rect_fill
