domain,K,n_roi,delta_tp_sum,pooled_delta_precision,wins,losses,ties,n_nonzero,exact_p,ci_low,ci_high,t_ci_low,t_ci_high,ci_excludes_0,t_ci_excludes_0,n_same_direction,majority,bar_met,holm_p
canine cutaneous mast cell tumor,10,7,2,0.009523809523809525,2,0,5,2,0.5,0.0,0.023809523809523808,-0.005518807697019091,0.024566426744638138,False,False,2,False,False,1.0
canine cutaneous mast cell tumor,20,7,-2,-0.004761904761904762,2,3,2,5,0.8125,-0.02142857142857143,0.011904761904761904,-0.027821800299462355,0.01829799077565283,False,False,3,False,False,1.0
canine cutaneous mast cell tumor,30,7,6,0.009523809523809525,2,2,3,4,0.75,-0.009523809523809525,0.03492063492063492,-0.020976413272348823,0.04002403231996787,False,False,2,False,False,1.0
canine lung cancer,10,7,3,0.014285714285714285,3,1,3,4,0.625,-0.01904761904761905,0.047619047619047616,-0.03232213049799941,0.06089355906942799,False,False,3,False,False,1.0
canine lung cancer,20,7,5,0.011904761904761904,3,1,3,4,0.375,-0.002380952380952381,0.02857142857142857,-0.009368711382521,0.03317823519204481,False,False,3,False,False,1.0
canine lung cancer,30,7,12,0.01904761904761905,4,1,2,5,0.125,0.0031746031746031746,0.03492063492063492,-0.002107338145993412,0.040202576241231504,True,False,4,True,True,0.875
canine lymphosarcoma,10,7,2,0.009523809523809525,3,2,2,5,0.875,-0.06666666666666667,0.09047619047619047,-0.09534384123954628,0.11439146028716535,False,False,3,False,False,1.0
canine lymphosarcoma,20,7,12,0.02857142857142857,3,4,0,7,0.640625,-0.023809523809523808,0.1,-0.05618941479425966,0.11333227193711681,False,False,3,False,False,1.0
canine lymphosarcoma,30,7,22,0.03492063492063492,5,2,0,7,0.34375,-0.009523809523809525,0.09523809523809523,-0.038087302672708975,0.10792857251397882,False,False,5,True,False,1.0
canine soft tissue sarcoma,10,7,-1,-0.004761904761904762,1,2,4,3,1.0,-0.01904761904761905,0.009523809523809525,-0.026035378049187662,0.016511568525378138,False,False,2,False,False,1.0
canine soft tissue sarcoma,20,7,-1,-0.002380952380952381,3,3,1,6,1.0,-0.016666666666666666,0.011904761904761904,-0.021108859789981633,0.016346955028076874,False,False,3,False,False,1.0
canine soft tissue sarcoma,30,7,2,0.0031746031746031746,3,2,2,5,0.75,-0.004761904761904762,0.011111111111111112,-0.008259545148304747,0.014608751497511095,False,False,3,False,False,1.0
human breast cancer,10,7,0,0.0,0,0,7,0,1.0,0.0,0.0,0.0,0.0,False,False,0,False,False,1.0
human breast cancer,20,7,1,0.002380952380952381,2,1,4,3,1.0,-0.004761904761904762,0.009523809523809525,-0.008255784262689069,0.013017689024593831,False,False,2,False,False,1.0
human breast cancer,30,7,1,0.0015873015873015873,2,2,3,4,1.0,-0.006349206349206349,0.009523809523809525,-0.009398272780383084,0.012572875954986257,False,False,2,False,False,1.0
human melanoma,10,7,0,0.0,1,1,5,2,1.0,-0.014285714285714285,0.014285714285714285,-0.017798664725010058,0.017798664725010058,False,False,0,False,False,1.0
human melanoma,20,7,6,0.014285714285714285,5,0,2,5,0.0625,0.007142857142857143,0.02142857142857143,0.0036489776420728353,0.024922450929355737,True,True,5,True,True,0.4375
human melanoma,30,7,6,0.009523809523809525,4,1,2,5,0.25,0.0,0.020634920634920634,-0.0042994017515860464,0.023347020799205094,False,False,4,True,False,1.0
human neuroendocrine tumor,10,7,-3,-0.014285714285714285,0,3,4,3,0.25,-0.02857142857142857,-0.004761904761904762,-0.030764075837241295,0.0021926472658127215,True,False,3,False,False,1.0
human neuroendocrine tumor,20,7,-7,-0.016666666666666666,1,4,2,5,0.25,-0.03571428571428571,0.0,-0.04183777971290749,0.00850444637957416,False,False,4,True,False,1.0
human neuroendocrine tumor,30,7,-8,-0.012698412698412698,0,4,3,4,0.125,-0.023809523809523808,-0.0031746031746031746,-0.026521623973808268,0.001124798576982871,True,False,4,True,True,0.875
