domain,K,top_roi,top_roi_delta,domain_delta_sum,domain_pooled_pts,share_of_domain_sum,rest_sum,rest_pooled_pts,sign_flips
canine cutaneous mast cell tumor,10,339.tiff,1,2,0.9523809523809523,0.5,1,0.5555555555555556,False
canine cutaneous mast cell tumor,20,300.tiff,-2,-2,-0.47619047619047616,1.0,0,0.0,False
canine cutaneous mast cell tumor,30,301.tiff,7,6,0.9523809523809523,1.1666666666666667,-1,-0.18518518518518517,True
canine lung cancer,10,220.tiff,3,3,1.4285714285714286,1.0,0,0.0,False
canine lung cancer,20,230.tiff,3,5,1.1904761904761905,0.6,2,0.5555555555555556,False
canine lung cancer,30,220.tiff,4,12,1.9047619047619047,0.3333333333333333,8,1.4814814814814814,False
canine lymphosarcoma,10,291.tiff,6,2,0.9523809523809523,3.0,-4,-2.2222222222222223,True
canine lymphosarcoma,20,291.tiff,13,12,2.857142857142857,1.0833333333333333,-1,-0.2777777777777778,True
canine lymphosarcoma,30,291.tiff,18,22,3.492063492063492,0.8181818181818182,4,0.7407407407407407,False
canine soft tissue sarcoma,10,460.tiff,1,-1,-0.47619047619047616,-1.0,-2,-1.1111111111111112,False
canine soft tissue sarcoma,20,499.tiff,-2,-1,-0.23809523809523808,2.0,1,0.2777777777777778,True
canine soft tissue sarcoma,30,459.tiff,2,2,0.31746031746031744,1.0,0,0.0,False
human breast cancer,10,013.tiff,0,0,0.0,,0,0.0,False
human breast cancer,20,100.tiff,1,1,0.23809523809523808,1.0,0,0.0,False
human breast cancer,30,123.tiff,2,1,0.15873015873015872,2.0,-1,-0.18518518518518517,True
human melanoma,10,529.tiff,-1,0,0.0,,1,0.5555555555555556,False
human melanoma,20,527.tiff,2,6,1.4285714285714286,0.3333333333333333,4,1.1111111111111112,False
human melanoma,30,509.tiff,3,6,0.9523809523809523,0.5,3,0.5555555555555556,False
human neuroendocrine tumor,10,402.tiff,-1,-3,-1.4285714285714286,0.3333333333333333,-2,-1.1111111111111112,False
human neuroendocrine tumor,20,402.tiff,-4,-7,-1.6666666666666667,0.5714285714285714,-3,-0.8333333333333334,False
human neuroendocrine tumor,30,402.tiff,-3,-8,-1.2698412698412698,0.375,-5,-0.9259259259259259,False
