file_name,seed_index,seed_ann_id,rect_y0,rect_y1,rect_x0,rect_x1,rect_h,rect_w,rect_touches_window_edge,n_filled_px,filled_share,fill_value,tpl_mean_default,tpl_mean_filled
300.tiff,0,14499,17,42,20,33,25,13,False,2276,0.8750480584390619,0.022253340110182762,0.035656892054780454,0.03565689138437935
300.tiff,1,14578,16,30,13,34,14,21,False,2307,0.8869665513264129,0.018016451969742775,0.025802391446159346,0.025802390679096898
300.tiff,2,14553,16,37,15,40,21,25,False,2076,0.798154555940023,0.015333840623497963,0.03194723797773635,0.03194723814994065
301.tiff,0,14969,14,46,12,39,32,27,False,1737,0.6678200692041523,0.028485409915447235,0.03648365282797382,0.03648365261637801
301.tiff,1,14874,11,35,12,37,24,25,False,2001,0.7693194925028836,0.019851889461278915,0.03222160444392323,0.03222160385301812
301.tiff,2,14782,23,33,17,36,10,19,False,2411,0.9269511726259131,0.023468809202313423,0.02568326612393372,0.025683266304609514
322.tiff,0,16292,12,36,16,40,24,24,False,2025,0.7785467128027682,0.014484677463769913,0.036003164726984165,0.03600316457285681
322.tiff,1,16270,13,42,17,33,29,16,False,2137,0.8216070742022299,0.019621718674898148,0.03747410988369257,0.037474109579044367
322.tiff,2,16265,12,39,19,35,27,16,False,2169,0.8339100346020761,0.016378246247768402,0.04027168924764808,0.040271689777857965
337.tiff,0,17124,18,37,17,32,19,15,False,2316,0.8904267589388697,0.019117657095193863,0.029174938064653943,0.029174937325863112
337.tiff,1,17129,19,32,16,36,13,20,False,2341,0.9000384467512496,0.012794175185263157,0.019376435126538187,0.019376435481987232
337.tiff,2,17118,17,37,17,37,20,20,False,2201,0.8462129950019224,0.015923406928777695,0.027257258278675568,0.027257258033018983
339.tiff,0,17152,10,34,9,40,24,31,False,1857,0.7139561707035755,0.008451947011053562,0.026740713336377817,0.026740713154615948
339.tiff,1,17149,13,44,11,36,31,25,False,1826,0.7020376778162245,0.011381865479052067,0.02934104726619307,0.02934104702902091
339.tiff,2,17151,22,30,18,37,8,19,False,2449,0.9415609381007305,0.0072001866064965725,0.01202566587125106,0.012025665983261226
343.tiff,0,17382,18,38,7,27,20,20,False,2201,0.8462129950019224,0.026896443217992783,0.03546035409924145,0.03546035415330341
343.tiff,1,17363,21,35,16,34,14,18,False,2349,0.903114186851211,0.0173353161662817,0.021226439850014413,0.021226440169661413
343.tiff,2,17368,13,36,21,33,23,12,False,2325,0.8938869665513264,0.015479527413845062,0.026667078045747947,0.026667077748498084
344.tiff,0,17457,18,37,16,35,19,19,False,2240,0.8612072279892349,0.018264135345816612,0.033497033266266865,0.033497033187165653
344.tiff,1,17469,17,33,14,34,16,20,False,2281,0.8769703960015379,0.01926523633301258,0.032866200882784406,0.03286620020319989
344.tiff,2,17460,17,37,16,35,20,19,False,2221,0.8539023452518262,0.017942186444997787,0.03018497358041319,0.030184972973181415
201.tiff,0,4457,11,40,7,34,29,27,False,1818,0.698961937716263,0.041272763162851334,0.05707690085725658,0.05707690091585028
201.tiff,1,4469,11,41,12,35,30,23,False,1911,0.734717416378316,0.05434849113225937,0.07334817509400986,0.07334817415414831
201.tiff,2,4476,13,39,8,41,26,33,False,1743,0.6701268742791234,0.040064334869384766,0.06843562823102303,0.06843562711483911
233.tiff,0,5761,14,37,14,37,23,23,False,2072,0.7966166858900423,0.03777970373630524,0.05558882984078068,0.05558882910050724
233.tiff,1,5760,13,40,12,41,27,29,False,1818,0.698961937716263,0.028182145208120346,0.05350238953142537,0.05350238975582903
