subset,domain,file_name,image_id,seed_index,condition,seed_ann_id,click_cx,click_cy,mpp,match_radius_px,n_gt_mitotic,tpl_sha1,n_peaks,n_detections,n_self_hits,n_near_click,near_click_detail,od_nan,od_descending,t_run_s,tp_at_10,tp_at_20,tp_at_30,n_od_bit_exact,precision_at_10,precision_at_20,precision_at_30
original_14,canine cutaneous mast cell tumor,300.tiff,300,0,default_51,14499,1411.0,3551.0,0.2533008895448562,29.609055118110238,180,9b97486771e4d1e64d8f23bf9a699769d9b79586,100,99,1,0,,0,True,3.225,9,19,27,30.0,0.9,0.95,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,0,hem_rect_fill,14499,1411.0,3551.0,0.2533008895448562,29.609055118110238,180,3f38c1d5894fd143169e2372b0f2005ea9396ec2,100,99,1,0,,0,True,3.156,9,18,26,,0.9,0.9,0.8666666666666667
original_14,canine cutaneous mast cell tumor,300.tiff,300,1,default_51,14578,4652.0,2817.0,0.2533008895448562,29.609055118110238,180,72c93fa5c4c2e1d5e9365e10efcf32bd7e7fccc6,100,99,1,0,,0,True,3.287,9,19,27,30.0,0.9,0.95,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,1,hem_rect_fill,14578,4652.0,2817.0,0.2533008895448562,29.609055118110238,180,2299902a3f36249c4457cf4d831d90c16e471894,100,98,1,0,,0,True,3.243,9,18,26,,0.9,0.9,0.8666666666666667
original_14,canine cutaneous mast cell tumor,300.tiff,300,2,default_51,14553,3995.0,564.0,0.2533008895448562,29.609055118110238,180,7707a565945709dcb6075d4dca17c2b287cc266b,100,99,1,0,,0,True,3.126,9,18,27,30.0,0.9,0.9,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,2,hem_rect_fill,14553,3995.0,564.0,0.2533008895448562,29.609055118110238,180,3a1f06275ab65ed2e6efe8dc85eab719febeba62,100,98,1,0,,0,True,2.81,9,18,27,,0.9,0.9,0.9
original_14,canine cutaneous mast cell tumor,301.tiff,301,0,default_51,14969,5911.0,3548.0,0.2533008895448562,29.609055118110238,217,97f410f43bb8c4613c96a140a5203a1937f5ae29,100,99,1,0,,0,True,2.932,8,18,26,30.0,0.8,0.9,0.8666666666666667
original_14,canine cutaneous mast cell tumor,301.tiff,301,0,hem_rect_fill,14969,5911.0,3548.0,0.2533008895448562,29.609055118110238,217,b49d1dec64fa02dcc14c2c94dffdfbcec8d70d30,100,100,0,0,,0,True,3.135,6,15,25,,0.6,0.75,0.8333333333333334
original_14,canine cutaneous mast cell tumor,301.tiff,301,1,default_51,14874,6301.0,2294.0,0.2533008895448562,29.609055118110238,217,bed4023cf45d5d21f0d843d95f2cd237c7cdaaf5,100,99,1,0,,0,True,3.188,8,17,26,30.0,0.8,0.85,0.8666666666666667
original_14,canine cutaneous mast cell tumor,301.tiff,301,1,hem_rect_fill,14874,6301.0,2294.0,0.2533008895448562,29.609055118110238,217,8f7bed1d9d17fcd00be33335551837e6bcc96921,100,99,1,0,,0,True,3.058,8,17,27,,0.8,0.85,0.9
