file_name,seed_index,seed_ann_id,rect_y0,rect_y1,rect_x0,rect_x1,rect_h,rect_w,n_kept_px,n_filled_px,kept_share,m_kept,m_outside,delta_m,w_shape,mass_to_shape,n_blanked_px,sha_default_51,sha_fill_alpha_0,sha_mass_only,sha_fill_alpha_1
300.tiff,0,14499,17,42,20,33,25,13,325,2276,0.1249519415609381,0.1295229919999838,0.022253340876313366,0.10726965112367043,15.312572979778052,2.276732764717782,2601,9b97486771e4d1e64d8f23bf9a699769d9b79586,3a1c6a767048928f4f72d0a0cd8e44975d386109,0488f32dda25a8dae16ecb256a29e904895c81dd,3f38c1d5894fd143169e2372b0f2005ea9396ec2
300.tiff,1,14578,16,30,13,34,14,21,294,2307,0.11303344867358708,0.08689817504127365,0.018016452834558303,0.06888172220671535,15.313504818807907,1.3224422866215408,2601,72c93fa5c4c2e1d5e9365e10efcf32bd7e7fccc6,97a07bd2f12028e5c214e3eadea299d8b38ce3e8,2e19370c30508afc8fb4fe0cce011b16c4b711ca,2299902a3f36249c4457cf4d831d90c16e471894
300.tiff,2,14553,16,37,15,40,21,25,525,2076,0.20184544405997693,0.0976413586545026,0.01533384040774488,0.08230751824675772,20.526681402452468,2.1051355663553597,2601,7707a565945709dcb6075d4dca17c2b287cc266b,a592aa31ddfd6e42b6ededa837990ec617530ca9,80c2161b7289017c2970d09de75afa8f8787f9cc,3a1f06275ab65ed2e6efe8dc85eab719febeba62
301.tiff,0,14969,14,46,12,39,32,27,864,1737,0.33217993079584773,0.05256345304637425,0.028485410232292778,0.02407804281408147,22.42050733072562,0.9278750335348948,2601,97f410f43bb8c4613c96a140a5203a1937f5ae29,ab8027f2327474ff008122668a3768249c7ab169,3405c1e7cef4b66372c45a4676d804c687bd62bd,b49d1dec64fa02dcc14c2c94dffdfbcec8d70d30
301.tiff,1,14874,11,35,12,37,24,25,600,2001,0.2306805074971165,0.07347460134946839,0.019851890229366963,0.05362271112010142,23.47934332749981,1.3702949960435222,2601,bed4023cf45d5d21f0d843d95f2cd237c7cdaaf5,2f0d5e58d897eb17a6e6ae0ef5dd9f1340443458,2ca2dbc0d73082deb7822010ada41dbab5585ced,8f7bed1d9d17fcd00be33335551837e6bcc96921
301.tiff,2,14782,23,33,17,36,10,19,190,2411,0.07304882737408688,0.05378356142900884,0.02346880900739939,0.030314752421609453,6.021856089308858,0.956482997049978,2601,9600ff68b2d3d3254f743b518d7c3969107d2226,5c3b523f531b97ca73197b3df60b15443a250fff,2918254e15e4e838cb84e67134b0ce5201b2b3ff,d13e958db108e84ddfec66d442d5085c81d7df54
322.tiff,0,16292,12,36,16,40,24,24,576,2025,0.22145328719723184,0.11165409581574043,0.01448467766173794,0.09716941815400248,39.961000157529874,1.400605205977535,2601,ed220061df4d6d8e95189123d2b53908948adfe9,23ba350565e02a309977b412ae360dfc2ebe4104,dd7ae0d86a9f7f70e01edd19ae61a56cc1ad85a7,95486a089b0a82534bae322d15789a15e6f8a88b
322.tiff,1,16270,13,42,17,33,29,16,464,2137,0.17839292579777008,0.11969514268714883,0.019621719045693646,0.10007342364145519,26.42305787395137,1.7573313728919802,2601,270970a472f29471b5c475feec5a0e3cf3e118a2,0fad5d5946dc2c7232e7979d9070f40ebaddea13,4176023217a48a41367a8a90590ecaf1a32ec1d2,666973bded1fad7844877c0bb35f4ee09e521369
322.tiff,2,16265,12,39,19,35,27,16,432,2169,0.16608996539792387,0.16023668750184933,0.016378245611956548,0.14385844188989277,24.78756203431921,2.507178673335816,2601,b50d97a204611772e6fcbd5dda16f08406a02e91,12674dc0e203af82ae91ac9fbbf975cf1ed267e9,911619637b9281536176de96164957b9036bd37c,6161efce771a77bf44e5ff8a2e2bad44eb110175
337.tiff,0,17124,18,37,17,32,19,15,285,2316,0.10957324106113034,0.11090357246351217,0.019117657924898075,0.0917859145386141,12.434855231972769,2.1036823634459747,2601,e0a54924c6e475d75dfa8f644a8b0866d76cf759,59b76aa693d080eb819efd2096301016a810306f,aced282a4696ff539ecd494f952d3f151234b6b5,1e5b43386b6c38805bc33724e331ba01b439927d
337.tiff,1,17129,19,32,16,36,13,20,260,2341,0.09996155324875049,0.07864209453826054,0.012794174790336645,0.0658479197479239,10.542388696549459,1.6239639447238146,2601,762dbb4ecf240b07be6ff242198f7a8622abb274,c0268812d99730db4941f685a327a332f32824d0,dd23b360d06a9638626a7e0de8992805342be1fc,4bf2f606df3c5d7045e909c0937547ebe732eb6c
337.tiff,2,17118,17,37,17,37,20,20,400,2201,0.15378700499807765,0.08962177373410668,0.015923407219078818,0.07369836651502787,21.803771678562043,1.352029687368076,2601,2bcfdb350d19012a13d821c9fbaec76f88bd57b0,14c18f636f28ac05b0eca8169e322e7efc7c5dfc,db58da34c0343bb9ce48c72e1023668630c99c37,f639dd346001779587d679b6dea38f8b9f45bb2f
339.tiff,0,17152,10,34,9,40,24,31,744,1857,0.28604382929642447,0.07238888348874949,0.008451947265637635,0.06393693622311185,41.51945260934307,1.145705869428799,2601,16ad063e052f9384fcfe7853f9ae7193697ef1ce,2fcb48ab4e656231a68ad0d04b2e639ecfb346e3,be501b49cd959f6dc16616c59b232af0568ca0a5,3654e1ea061efa92eaae0fad9414bcb2dbefa797
339.tiff,1,17149,13,44,11,36,31,25,775,1826,0.2979623221837755,0.07165519607449589,0.011381865816886015,0.06027333025760987,36.319004476236856,1.2861539467638963,2601,38beb41eb8ec6e2a146b623b80157d7ed89ed0f0,f63435b827a0537a7c8a936db8213c40e0c41dfa,072ded1c2a165078f3fda3123e520e51644c3b53,f496b3496fb602287a408ebdafb57e77346f1318
339.tiff,2,17151,22,30,18,37,8,19,152,2449,0.058439061899269514,0.08977302778389697,0.007200186487534369,0.0825728412963626,5.041848805353144,2.489378869061109,2601,d0b63c871f08a1d8deded9e96de17d1e1e7bcd10,b8b806cfae5797bcd6ce17607f1655fd8250a4fe,52cad8ac9ee36ba757557bc7cc594878737af71f,fafa6f80857d1eeae39318b58d7ac6d7a58dd7bc
343.tiff,0,17382,18,38,7,27,20,20,400,2201,0.15378700499807765,0.08258327407485012,0.02689644315410584,0.05568683092074428,16.04436971856234,1.3883208102919262,2601,b774afe99b8c4f96ce18b56d8dea55e11395d6f6,6bcafe57d7cd3744ad8c6663b89aca19ceb193df,31fc1dff8aa03de6be48d2cb760ca988979b29fc,993e97288ccf2160805601bc0b5841397c59ef86
343.tiff,1,17363,21,35,16,34,14,18,252,2349,0.09688581314878893,0.0574972746297366,0.017335315812343068,0.040161958817393525,9.628239296787392,1.051159335576561,2601,6ece88324204eb4bf947a1e6e2d193312caddd58,b975a4f40d40f4d0dbe8a6d7e1f616b265183f5a,c5274d6ab279a6f4d09c849e26107ebfb67b3cfc,4b502ac39ae5424bf6558e46548c6ab9216126d7
343.tiff,2,17368,13,36,21,33,23,12,276,2325,0.1061130334486736,0.12091002893715125,0.015479527746381361,0.10543050119076988,13.688042606206853,2.1258567909087023,2601,74ac1062665f7ba02c13de668f7facc9a3d70f60,59ffc5d0c7c4813c0a581db84683ea4780120713,eac8755527afc8ccbf6190dbd8843630265eb8be,fc0718adae5b0c252a278153541986a2c2a360e3
344.tiff,0,17457,18,37,16,35,19,19,361,2240,0.1387927720107651,0.12801695331077187,0.01826413543766583,0.10975281787310603,23.251676849528135,1.703996125036261,2601,8a5236e8821278f3c63e7cfc2a07b82597ed3e28,2ae860b4e38b2f5a2bd286f2c62fa106c9e2140d,e2ad30860ffa7425cae40271d27ba6c4cebb47c1,b78a85bb02ac6cca3d2712c126f393a262a3572b
344.tiff,1,17469,17,33,14,34,16,20,320,2281,0.12302960399846213,0.12981557079037884,0.01926523710793556,0.11055033368244327,19.220769095281142,1.8405146330521693,2601,90f14f7f33a951d6bb335b2f8cf871a54ded930e,47c7f5b42c9ce798d9e1e2cff83ca81470fcd5b5,45f151275e84b65be7c82728a29819999c5b5c5c,8436d17061392762f6f872bb7b78044a0d6916e5
344.tiff,2,17460,17,37,16,35,20,19,380,2221,0.14609765474817377,0.10174083844448624,0.017942187156123342,0.08379865128836289,19.049123330685568,1.6716510747915805,2601,44e5c3f4a0cbdac0ce2bcf54b904482c38e0091c,4990f25d40f35a07828a1e89c15e6873881621ae,5e22d9caadc4aeeeb83a8d2a9d02fb2cd2ae73d5,abf9196e1fddf483ac347bd6e17845d683908e22
201.tiff,0,4457,11,40,7,34,29,27,783,1818,0.30103806228373703,0.09377156558373288,0.04127276307902174,0.052498802504711145,35.28741223831808,1.1649072503126714,2601,dc31b3172070f5ffdc292ab322a31903f7836050,63c959eae7ce8bdeb1d8107e392eae765c5a7396,26451ffe71a660b8c9035eaa801b9f60d70570a8,e1b4d97ec6fd2dbad95b97e2f9e2c95292f64f6a
201.tiff,1,4469,11,41,12,35,30,23,690,1911,0.26528258362168394,0.12596903539303203,0.054348492411474374,0.07162054298155765,45.49581121392548,1.0862137269056702,2601,b0fb00fb617ddc39a18881027a185e52b1677859,90e4c410d3e3f8242847772b132196f292e03286,a06f6d35385e54708621e03c6820937423d05b14,3a97f4a7f30873a7bdb6296a5c761e15f7056926
201.tiff,2,4476,13,39,8,41,26,33,858,1743,0.32987312572087657,0.12607101450857677,0.04006433653501552,0.08600667797356126,53.11098806100728,1.3894249080162193,2601,154edfbb1045a8ec6390b1149d2826c7ec6169e6,5376e70f12de907e705c113cc1cea1d3a0372b26,f1c27307796198797f763ad0c870fe902431113f,14fee8366a9c53cb0be24ffc842a78e1d3ec1405
233.tiff,0,5761,14,37,14,37,23,23,529,2072,0.20338331410995772,0.1253440422472493,0.037779704665577056,0.08756433758167223,23.846959169524492,1.9424503665818227,2601,063f798be41263e5f4710f762858fc2ad25fc61a,062e6b1da92f6ecbba20b17c8fa4c50352b17072,2c765fdbbfa7ebf8543253826ca52a559d5e2e46,96051db23981462005f2a7636d95a467763edb64
233.tiff,1,5760,13,40,12,41,27,29,783,1818,0.30103806228373703,0.11229192307349746,0.028182144887067592,0.08410977818642987,31.668757547939613,2.0795876257627084,2601,fd9cdb60da83936e38d5a7409cfa20907b0a4ff7,833d977fa54b3b89903db403b3fa4111d191e59e,50c81385a401c5fdca0b8f7894f0216037313a8b,d896705bec4df248bc6ed20bf146d49da1a12cda
233.tiff,2,5770,12,37,12,43,25,31,775,1826,0.2979623221837755,0.11252942681459019,0.03507928496251867,0.07745014185207152,38.52479502434511,1.558057866302062,2601,6544f4315b685f4ee35429723a871a0c2338faa1,c8fc55c3dea31f316e7b2876bf27558215536cb2,de89949456d0885dbf863450b3ed52eff227b5cb,33829e48f3ba9ebc4763dd43758e0a1c82479f82
211.tiff,0,4916,14,37,16,34,23,18,414,2187,0.15916955017301038,0.10955129877848614,0.03613836527046552,0.07341293350802063,15.294043865792705,1.9872412253438534,2601,8087e4a07329c48e942fae3217ab307e930a0f66,21f47d4fe806f4933290162b7d7fd302dce64639,8e0d7610bbea1dcc83ebaeb717f42afd27bb85a4,a71b7e0fd8c0cacd1fc278d6fed1466bc30d635e
211.tiff,1,4919,12,36,12,38,24,26,624,1977,0.23990772779700115,0.1126658473080263,0.039387738988129445,0.07327810831989685,29.839133852042067,1.532401705034289,2601,43775fae15e408e914b405eaf6c434be382a9d49,c2427dcc358029987dd8cd0b386cdcec93991dd5,ff6fcf773470cbf063722464443533cec83e29d4,4cbcc0afd2d342391180dee5fda5d65438e536b4
211.tiff,2,4909,14,38,17,34,24,17,408,2193,0.1568627450980392,0.07992838642231244,0.040338752000611544,0.039589634421700895,10.23768328634255,1.5777564505831212,2601,949a0a7d28beb45703bdb71660ba1123e112b03c,c6896941f420298e804bc7f05c35f693bff4f914,3bd341be13776bff2e933cd88a8469403dd4a507,a7a7aa96a4c3a5608c58edcf04ff232e5bc04634
