rank_key,subset,domain,file_name,pair,K,delta_tp_s0,delta_tp_s1,delta_tp_s2,delta_tp_sum
chromatin_od,original_14,canine cutaneous mast cell tumor,300.tiff,mass_only - fill_alpha_1,10,-1,0,-1,-2
chromatin_od,original_14,canine cutaneous mast cell tumor,300.tiff,mass_only - fill_alpha_1,20,0,0,-1,-1
chromatin_od,original_14,canine cutaneous mast cell tumor,300.tiff,mass_only - fill_alpha_1,30,0,1,-1,0
chromatin_od,original_14,canine cutaneous mast cell tumor,301.tiff,mass_only - fill_alpha_1,10,0,0,0,0
chromatin_od,original_14,canine cutaneous mast cell tumor,301.tiff,mass_only - fill_alpha_1,20,0,1,-1,0
chromatin_od,original_14,canine cutaneous mast cell tumor,301.tiff,mass_only - fill_alpha_1,30,-4,1,-2,-5
chromatin_od,testing_35,canine cutaneous mast cell tumor,322.tiff,mass_only - fill_alpha_1,10,0,0,0,0
chromatin_od,testing_35,canine cutaneous mast cell tumor,322.tiff,mass_only - fill_alpha_1,20,0,0,0,0
chromatin_od,testing_35,canine cutaneous mast cell tumor,322.tiff,mass_only - fill_alpha_1,30,0,-1,-1,-2
chromatin_od,testing_35,canine cutaneous mast cell tumor,337.tiff,mass_only - fill_alpha_1,10,0,0,0,0
chromatin_od,testing_35,canine cutaneous mast cell tumor,337.tiff,mass_only - fill_alpha_1,20,0,0,0,0
chromatin_od,testing_35,canine cutaneous mast cell tumor,337.tiff,mass_only - fill_alpha_1,30,-1,0,-2,-3
chromatin_od,testing_35,canine cutaneous mast cell tumor,339.tiff,mass_only - fill_alpha_1,10,0,0,0,0
chromatin_od,testing_35,canine cutaneous mast cell tumor,339.tiff,mass_only - fill_alpha_1,20,1,0,1,2
chromatin_od,testing_35,canine cutaneous mast cell tumor,339.tiff,mass_only - fill_alpha_1,30,-1,1,2,2
chromatin_od,testing_35,canine cutaneous mast cell tumor,343.tiff,mass_only - fill_alpha_1,10,0,0,0,0
chromatin_od,testing_35,canine cutaneous mast cell tumor,343.tiff,mass_only - fill_alpha_1,20,2,0,0,2
chromatin_od,testing_35,canine cutaneous mast cell tumor,343.tiff,mass_only - fill_alpha_1,30,-1,1,2,2
chromatin_od,testing_35,canine cutaneous mast cell tumor,344.tiff,mass_only - fill_alpha_1,10,0,0,0,0
chromatin_od,testing_35,canine cutaneous mast cell tumor,344.tiff,mass_only - fill_alpha_1,20,1,0,-1,0
chromatin_od,testing_35,canine cutaneous mast cell tumor,344.tiff,mass_only - fill_alpha_1,30,-1,0,-2,-3
chromatin_od,original_14,canine lung cancer,201.tiff,mass_only - fill_alpha_1,10,1,2,0,3
chromatin_od,original_14,canine lung cancer,201.tiff,mass_only - fill_alpha_1,20,0,0,-1,-1
chromatin_od,original_14,canine lung cancer,201.tiff,mass_only - fill_alpha_1,30,0,1,-2,-1
chromatin_od,original_14,canine lung cancer,233.tiff,mass_only - fill_alpha_1,10,2,1,1,4
chromatin_od,original_14,canine lung cancer,233.tiff,mass_only - fill_alpha_1,20,0,0,0,0
chromatin_od,original_14,canine lung cancer,233.tiff,mass_only - fill_alpha_1,30,-1,0,-1,-2
chromatin_od,testing_35,canine lung cancer,211.tiff,mass_only - fill_alpha_1,10,0,0,0,0
